Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# New Application Form: Publisher's Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,new_application_form/publishers_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BL.1,----------,## PAGE 1 - Open access compliance,----------
BL.1.1.,publisher,Go to the application form,
BL.1.2.,publisher,Click the question mark next to the questions.,
BL.1.2.1.,publisher,,A pop-up help box appears 'You can click the link in the help box'
BL.1.3.,publisher,Click close,
BL.1.3.1.,publisher,,The pop-up box disappears
BL.1.4.,publisher,Click Next,
BL.1.5.,publisher,Click Yes on the first question,
BL.1.5.1.,publisher,,The error message disappears
BL.1.6.,publisher,Click No on the first question,
BL.1.6.1.,publisher,,You see the error message: 'DOAJ only indexes open access journals which comply with the statement above. Please check and update the open access statement of your journal. You may return to this application at any time.'
BL.1.7.,publisher,Click Yes on the first question,
BL.1.7.1.,publisher,,The error message disappears
BL.1.8.,publisher,Type XXX into the box for question 2,
BL.1.8.1.,publisher,,The error message changes: 'This value should be a valid URL'
BL.1.9.,publisher,Type https://doaj.org into the box,
BL.1.9.1.,publisher,,The URL is shown underneath the box and is clickable
BL.1.10.,publisher,Click Next,
BL.1.10.1.,publisher,,An error message appears under the last questions indicating that you must answer them
BL.1.11.,publisher,Type 1800,
BL.1.12.,publisher,Click Next,
BL.1.12.1.,publisher,,You see the error message: 'This value should be between 1900 and 2023'
BL.1.13.,publisher,Type 2100,
BL.1.14.,publisher,Click Next,
BL.1.14.1.,publisher,,You see the error message: 'This value should be between 1900 and 2023'
BL.1.15.,publisher,Type 2000,
BL.1.16.,publisher,Click Next,
BL.1.16.1.,publisher,,"You're taken to the ""About"" page"
----------,----------,----------,----------

----------,----------,----------,----------
## BL.2,----------,## PAGE 2 - About,----------
BL.2.1.,publisher,Check the application progress Menu at the right,
BL.2.1.1.,publisher,,"1st page marked with a tick, 2nd tab marked orange as active"
BL.2.2.,publisher,Click on the (1) in the application progress menu,
BL.2.2.1.,publisher,,You're taken to the first tab
BL.2.3.,publisher,"Create an error (eg. Change the answer to the 1st question to ""No"")",
BL.2.4.,publisher,Click on the (2) in the application progress menu,
BL.2.4.1.,publisher,,"You're taken to the 2nd tab, 1st tab is marked red as containing invalid answers"
BL.2.5.,publisher,"Click ""Back"" at the bottom of 2nd tab",
BL.2.5.1.,publisher,,You're taken to the 1st tab
BL.2.6.,publisher,Change the answer to Yes,
BL.2.7.,publisher,Scroll to the bottom and click Next,
BL.2.7.1.,publisher,,"Journal Title, Link to the journal's homepage, ISSN, Keywords, Languages, Publisher's name and country - marked as required"
BL.2.8.,publisher,Fill in the title field and the homepage URL,
BL.2.9.,publisher,In the ISSN (print) field add xxxx-xxxx,
BL.2.9.1.,publisher,,You see the error message: 'This is not a valid ISSN'
BL.2.10.,publisher,Repeat in the ISSN (online) field,
BL.2.10.1.,publisher,,You see the same error message
BL.2.11.,publisher,Enter the same ISSN in both fields,
BL.2.11.1.,publisher,,You see the error message: Value of this field and pissn field must be different
BL.2.12.,publisher,Change the value of one ISSN,
BL.2.12.1.,publisher,,All error messages clear.
BL.2.12.2.,publisher,,Under both ISSN fields the link to 'https://portal.issn.org/resource/ISSN/<issn>' is displayed
BL.2.13.,publisher,Add keywords,
BL.2.13.1.,publisher,,"As you type, you see suggestions in a list below the box"
BL.2.14.,publisher,Select a suggestion,
BL.2.14.1.,publisher,,It is added to the box
BL.2.15.,publisher,Add 7 keywords,
BL.2.15.1.,publisher,,"As you write the 7th keyword, you see the message: You can only select 6 items"
BL.2.16.,publisher,Click on the X in two keywords,
BL.2.16.1.,publisher,,They disappear
BL.2.17.,publisher,Click in the languages box,
BL.2.17.1.,publisher,,You can start to type and suggested languages appear
BL.2.18.,publisher,Select and language and then click the arrow next to it,
BL.2.18.1.,publisher,,A dropdown list of all available languages appears.
BL.2.19.,publisher,Click Add Another,
BL.2.19.1.,publisher,,Another language field appears
BL.2.20.,publisher,Click 'Remove' next to it,
BL.2.20.1.,publisher,,It disappears
BL.2.21.,publisher,Enter the same value in 'Publisher's name' and Other organisation's name',
BL.2.22.,publisher,Click Next,
BL.2.22.1.,publisher,,You see the error message: The Publisher name oand Other organisation name cannot be the same.
BL.2.23.,publisher,"Repeat the previous step, checking if the validator is case insensitive (e.g. ""Publisher's name"" and ""publisher's Name"")",
BL.2.23.1.,publisher,,The error message is still displayed
BL.2.24.,publisher,"Repeat steps X to X for the Publisher's Name, Country, Other organisation's name, Country",
BL.2.25.,publisher,"Delete the values from 'Other organisation's name', leave 'Other organisation's country' filled in",
BL.2.25.1.,publisher,,You see the error message: You cannot provide a country for the other organisation question without providing the other organisation's name
BL.2.26.,publisher,"Fill back in the 'Other organisation's country"" field",
BL.2.26.1.,publisher,,You can submit the page without providing answers to optional questions.
----------,----------,----------,----------

----------,----------,----------,----------
## BL.3,----------,## PAGE 3 - Copyright & licensing,----------
BL.3.1.,publisher,Check the application progress Menu at the right,
BL.3.1.1.,publisher,,"1st and 2nd pages marked with a tick, 3rd page is marked orange as active"
BL.3.2.,publisher,Select 3 of the CC licenses,
BL.3.2.1.,publisher,,You can select multiple items
BL.3.3.,publisher,"With a CC license selected, choose Publisher's own license",
BL.3.3.1.,publisher,,"The CC license remains selected and the ""attributes"" choices appear."
BL.3.4.,publisher,Choose some attributes and try to click on a CC license,
BL.3.4.1.,publisher,,The checkboxes are active
BL.3.5.,publisher,Deselect 'Publisher's own license',
BL.3.5.1.,publisher,,"""Attributes"" question disappears"
BL.3.6.,publisher,Enter a URL in the license terms box,
BL.3.7.,publisher,Embedded licences: click Yes,
BL.3.7.1.,publisher,,The URL field appears.
BL.3.8.,publisher,Click No,
BL.3.8.1.,publisher,,The URL field disappears
BL.3.9.,publisher,Scroll to the bottom and click the Back button,
BL.3.9.1.,publisher,,You are taken to Page 2.
BL.3.10.,publisher,ClickPage 3 Copyright & licensing on the progress bar,
BL.3.10.1.,publisher,,You are taken back to Page 3 and your answers are preserved.
BL.3.11.,publisher,Complete all fields and click Next,
----------,----------,----------,----------

----------,----------,----------,----------
## BL.4,----------,## PAGE 4 - Editorial,----------
BL.4.1.,publisher,Click on 2 or 3 types of peer review,
BL.4.1.1.,publisher,,You can select multiple values
BL.4.2.,publisher,Click Other,
BL.4.2.1.,publisher,,The box 'Other peer review' appears
BL.4.3.,publisher,Unclick Other,
BL.4.3.1.,publisher,,It disappears
BL.4.4.,publisher,Plagiarism: click 'Yes',
BL.4.4.1.,publisher,,The URL box appears
