Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CI.1,----------,## View Unset Marketing Preferences,----------
CI.1.1.,any,"Go to the ""Accounts"" page",
CI.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## CI.2,----------,## Accept Marketing,----------
CI.2.1.,any,"Go to the ""Accounts"" page",
CI.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CI.2.2.,any,"select ""I consent...""",
CI.2.3.,any,"Click ""Save Settings""",
CI.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CI.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## CI.3,----------,## Decline Marketing,----------
CI.3.1.,any,"Go to the ""Accounts"" page",
CI.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CI.3.2.,any,"Select ""I do not consent""",
CI.3.3.,any,"Click ""Save Settings""",
CI.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CI.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

