Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# 404 and 410 Error Pages: 404 and 410 Error Pages,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,404_and_410_error_pages/404_and_410_error_pages,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## A.1,----------,## Review 404 and 410 Error Pages,----------
A.1.1.,anonymous,go to /testdrive/error_pages/,
A.1.2.,anonymous,for each link click the link and verify that the page opened (it opens in a new tab) matches the description,
A.1.2.1.,anonymous,,All pages matches the description and the context
----------,----------,----------,----------

