Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BS.1,----------,## View Unset Marketing Preferences,----------
BS.1.1.,any,"Go to the ""Accounts"" page",
BS.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## BS.2,----------,## Accept Marketing,----------
BS.2.1.,any,"Go to the ""Accounts"" page",
BS.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
BS.2.2.,any,"select ""I consent...""",
BS.2.3.,any,"Click ""Save Settings""",
BS.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
BS.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## BS.3,----------,## Decline Marketing,----------
BS.3.1.,any,"Go to the ""Accounts"" page",
BS.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
BS.3.2.,any,"Select ""I do not consent""",
BS.3.3.,any,"Click ""Save Settings""",
BS.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
BS.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

