Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BO.1,----------,## View Unset Marketing Preferences,----------
BO.1.1.,any,"Go to the ""Accounts"" page",
BO.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## BO.2,----------,## Accept Marketing,----------
BO.2.1.,any,"Go to the ""Accounts"" page",
BO.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
BO.2.2.,any,"select ""I consent...""",
BO.2.3.,any,"Click ""Save Settings""",
BO.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
BO.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## BO.3,----------,## Decline Marketing,----------
BO.3.1.,any,"Go to the ""Accounts"" page",
BO.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
BO.3.2.,any,"Select ""I do not consent""",
BO.3.3.,any,"Click ""Save Settings""",
BO.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
BO.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

