Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Update Requests: Update Requests,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,update_requests/update_requests,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BL.1,----------,## Submitting an update,----------
BL.1.1.,Publisher,Go to Your Journals,
BL.1.1.1.,Publisher,,"You see a list of journals each with a button ""Update"""
BL.1.2.,Publisher,"Click the ""Update"" button next to one of your journals",
BL.1.2.1.,Publisher,,"a new browser tab opens, titled ""Journal Update Request"""
BL.1.3.,Publisher,"Attempt to edit questions 1, 3, 4 & 5",
BL.1.3.1.,Publisher,,You cannot
BL.1.4.,Publisher,Make some changes to the editable questions (make a note of what those changes are),
BL.1.5.,Publisher,submit the form,
BL.1.5.1.,Publisher,,The form is submitted successfully
BL.1.5.2.,Publisher,,A flash message tells you that your update has been submitted
BL.1.6.,Publisher,clear the flash messages,
BL.1.7.,Publisher,Close the Journal tab,
BL.1.8.,Publisher,"Refresh the ""your journals"" page",
BL.1.9.,Publisher,"Go to the ""My Update Requests"" tab",
BL.1.10.,Publisher,"Click ""Edit"" on the update request you created above",
BL.1.11.,Publisher,Make another change to the form and submit,
BL.1.12.,Publisher,"Go back to the ""My update requests"" form",
BL.1.13.,Publisher,"Click ""Delete this update request""",
BL.1.14.,Publisher,Open a new session in a different browser or a private window,
BL.1.15.,Publisher,Log in as an administrator and go to the dashboard,
BL.1.16.,Publisher,Go to the Update Requests Search page,
BL.1.17.,Publisher,"Click ""Review Update""",
BL.1.17.1.,Publisher,,A new browser tab opens with the update request form
BL.1.17.2.,Publisher,,The top of the form contains a table showing the difference between the journal and the update request
BL.1.17.3.,Publisher,,The changes in the difference table match the changes you made when submitting the update request
BL.1.18.,Publisher,Click on one of the links in the difference table,
BL.1.18.1.,Publisher,,Something happens (TODO)
BL.1.19.,Publisher,"Change the status to ""In Progress"" and save.  Do not make any other changes at this point",
BL.1.20.,Publisher,"Go back to the other browser window, where you are signed in as a publisher",
BL.1.21.,Publisher,Go to the Publisher's Update Requests tab,
BL.1.22.,Publisher,Go back to the browser window where you are logged in as admin,
BL.1.23.,Publisher,"Edit the update request, and change the status to ""Revisions Required""",
BL.1.23.1.,Publisher,,flash notification confirms that the publisher has been alerted
BL.1.24.,Publisher,"Go back to the other browser window, where you are signed in as a publisher",
BL.1.25.,Publisher,Go to the Publisher's Update Requests tab,
BL.1.25.1.,Publisher,,"under the ""Status"" facet you have an update request listed under ""Revisions Required"""
BL.1.25.2.,Publisher,,Your update request is editable again
BL.1.26.,Publisher,Make an edit to the update request,
BL.1.27.,Publisher,Go back to the browser window where you are logged in as admin,
BL.1.28.,Publisher,"Edit the update request, and Reject it",
BL.1.29.,Publisher,"Go back to the other browser window, where you are signed in as a publisher",
BL.1.30.,Publisher,Go to the Publisher's Update Requests tab,
BL.1.30.1.,Publisher,,todo - I think that the publisher can't see rejected update requests
----------,----------,----------,----------

