Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Test Admin Journals and Articles Search Interactions
1.1,admin,Go to the DOAJ admin Journals and Articles search at /admin/admin_site_search,"* All available records are found, and the first page of results is shown
"
1.2,admin,Open and Collapse all the facets on the left,"* The facet opens and closes as expected
* Each facet contains a maximum of 10 values relevant to that field
"
1.3,admin,Open one of the facets of your choice,
1.4,admin,Select one of the values for that facet,"* All the results for the selected constraints are found, and the first page is shown
* The filter applied is shown in the facets on the left and above the search results
"
1.5,admin,"Go through each sort option in the ""sort by"" pull-down",
1.6,admin,"In each case, click the ""sort by"" button to reverse the direction of sort","* The current search results are ordered correctly according to the selected sort field and the selected sort direction
"
1.7,admin,Enter a search term in the search box,"* All the results for the selected constraints are found, and the first page is shown
* Your search text ramains in the search box
"
1.8,admin,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly","* If there are search results, the first page is displayed
* If there are no search results, suitable ""no results match"" text is displayed
"
1.9,admin,"Change the page size, using the page-size pull-down","* The size of the page of results displays increases appropriately
"
1.10,admin,"Click the ""Next"" button to go to the next page of results","* The next page of results is displayed
* The ""First"" and ""Prev"" buttons are activated
"
1.11,admin,"Click ""Next"" again",
1.12,admin,"Click ""Prev""","* You are navigated one page forward and then one page back in the results
"
1.13,admin,"Click ""First""","* You are taken to the first page of the results
"
1.14,admin,Click the black X button to clear all filters,"* The interface returns to the initial state as per 1.1.1
"

2,,Test Admin Articles Search Display
2.1,admin,Go to the DOAJ admin Journals and Articles search at /admin/admin_site_search,
2.2,admin,"Open the ""Journals vs Articles"" facet and select ""Articles""","* Only articles are visible in the search results
"
2.3,admin,Find an article that has a DOI and click on it,"* You are linked through the DOI to the journal page
"
2.4,admin,Find an article that author has an ORCID iD and click on it,"* You are linked through the logo to the relevant orcid.org profile website
"
2.5,admin,"Click ""back"" in your browser",
2.6,admin,Find an article that has a Full text link,
2.7,admin,Click on the Full text,"* You are taken to the publisher's copy of the full text
"
2.8,admin,"Click ""back"" in your browser",
2.9,admin,"Click ""(show/hide)"" by an Abstract","* The abstract is displayed
"
2.10,admin,"Click ""(""show/hide)"" again","* The abstract is hidden
"
2.11,admin,"Click ""Delete this article"" at the bottom of a search result","* A confirmation box appears
"
2.12,admin,"Click ""Cancel""","* The operation is cancelled, the article is not deleted
"
2.13,admin,"Click ""Delete this article"" at the bottom of a search result",
2.14,admin,"Click ""OK""","* A confirmation box appears saying the operation was successful
* The article disappears from the search results
"

3,,Test Admin Journals Search Display
3.1,admin,Go to the DOAJ admin Journals and Articles search at /admin/admin_site_search,
3.2,admin,"Open the ""Journals vs Articles"" facet and select ""Journals""","* Only journals are visible in the search results
"
3.3,admin,"Open the In DOAJ facet, and select ""False""","* None of the journal titles in the search results are links
* ""In DOAJ: No"" metadata is present
"
3.4,admin,"Clear the ""In DOAJ?"" filter",
3.5,admin,"Select ""True"" from that facet","* All the journal titles in the search results are links
* ""In DOAJ: Yes"" metadata is present
"
3.6,admin,Click on the journal title,"* You are taken to the DOAJ ToC page for this journal
"
3.7,admin,Click back (twice) in your browser window to go back to the search results,
3.8,admin,"Click on the ""journal"" URL for a journal result","* You are taken to the Journal's home page
"
3.9,admin,Click back in your browser to go back to the search results,
3.10,admin,Click on a APC URL,"* You are taken to the relevant page on a journal's website
"
3.11,admin,Click back in your browser to go back to the search results,
3.12,admin,"Click ""Edit this journal""","* A new browser window opens containing the edit form for the journal
"
3.13,admin,"Click ""Unlock and Close""",

