Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Upload a file which is not XML
1.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area"" /publisher/uploadfile",
1.2,publisher,"Select ""Choose file"" and select a file from your computer which is not text based (e.g. an image file or a PDF)",
1.3,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating an error has occurred
* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"". Check that the explanation link goes to a suitable reason and resolution for the problem.
"

2,,Upload an XML file which does not meet the DOAJ schema
2.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
2.2,publisher,"Select ""Choose file"" and select a file from your computer which is XML but not of the DOAJ schema. You may use the file ""schema_invalid.xml"" from the DOAJ folder in resources for this test.

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/schema_invalid.xml",
2.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
2.4,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating an error has occurred
* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"" (you may need to reload the page). Check that the explanation link goes to a suitable reason and resolution for the problem.
"

3,,Upload a malformed XML file
3.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
3.2,publisher,"Select ""Choose file"" and select a file from your computer which looks like XML but is actually malformed.  You may use the file ""not_xml.xml"" from the DOAJ folder in resources for this test.

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/not_xml.xml",
3.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
3.4,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating an error has occurred
* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

4,,Upload a file with duplicates inside the file
4.1,publisher,"Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals",
4.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
4.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
4.4,publisher,"Select ""Choose file"" and select the test resource file ""duplicate_in_file.xml"" from the DOAJ folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/duplicate_in_file.xml",
4.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen: File uploaded and waiting to be processed. Check back here for updates.
* Your file is shown in the ""History of uploads"" with status ""pending""
"
4.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

5,,Upload a file containing ISSNs the publisher does not own
5.1,publisher,"Ensure that the ISSNs 0000-0002 and 0000-000X are in DOAJ attached to one or more journals (e.g. one with 0000-000X AND 0000-0002 or two, one with 0000-0002 and another with 0000-000X).  None of the journals with these ISSNs should be owned by the publisher",
5.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
5.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
5.4,publisher,"Select ""Choose file"" and select the test resource file ""unowned_issn.xml"" from the DOAJ folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/unowned_issn.xml",
5.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
5.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
5.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the publisher does not own ISSNs ""0000-0000"" and ""0000-000X""
"

6,,Upload a file containing ISSN that has been withdrawn
6.1,publisher,Ensure that the publisher owns a journal with ISSN 0000-0000 that is not in DOAJ (ie. has been withdrawn),
6.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
6.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
