Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Test Associate Application Search
1.1,editor,Go to the DOAJ associate editor's application search at /editor/your_applications,"* All available records are found, and the first page of results is shown
"
1.2,editor,Open and Collapse all the facets on the left,"* The facet opens and closes as expected
* Each facet contains a maximum of 10 values relevant to that field
"
1.3,editor,Open one of the facets of your choice,
1.4,editor,Select one of the values for that facet,"* All the results for the selected constraints are found, and the first page is shown
* The filter applied is shown in the facets on the left and above the search results
"
1.5,editor,"Go through each sort option in the ""sort by"" pull-down",
1.6,editor,"In each case, click the ""sort by"" button to reverse the direction of sort","* The current search results are ordered correctly according to the selected sort field and the selected sort direction
"
1.7,editor,Enter a search term in the search box,"* All the results for the selected constraints are found, and the first page is shown
* Your search text remains in the search box
"
1.8,editor,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly","* If there are search results, the first page is displayed
* If there are no search results, suitable ""no results match"" text is displayed
"
1.9,editor,"Change the page size, using the page-size pull-down","* The size of the page of results displays increases appropriately
"
1.10,editor,"Click the ""Next"" button to go to the next page of results","* The next page of results is displayed
* The ""First"" and ""Prev"" buttons are activated
"
1.11,editor,"Click ""Next"" again",
1.12,editor,"Click ""Prev""","* You are navigated one page forward and then one page back in the results
"
1.13,editor,"Click ""First""","* You are taken to the first page of the results
"
1.14,editor,Click the black X button to clear all filters,"* The interface returns to the initial state
"
1.15,editor,Choose either Accepted or Rejected value in Application Status facet on the left,"* All result applications have ""View finished application"" or ""View finished update"" link
"
1.16,editor,"Click on ""View finished application/update"" link","* editor/application/<id> page is opened in the new tab
"
1.17,editor,"Click ""Unlock and Close"" and close the tab",
1.18,editor,Click the black X button to clear all filters,
1.19,editor,"Choose a value in Application Status facet on the left which is not ""Accepted"" or ""Rejected""","* All result applications have ""Review application"" or ""Review update"" link on the lower right corner
"
1.20,editor,"Click on ""Review application"" link","* editor/application/<id> page is opened in the new tab
"

