Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Bulk Edit General + Status Change
1.1,admin,Go to the admin applications search page at /admin/applications,"* At the top, the ""Bulk Edit Records"" box is visible, and ""Submit"" is disabled
"
1.2,admin,"From the ""Select action"" pull-down, choose ""Change Status""","* A new pull-down appears beneath the first, containing all the application statuses
* ""Submit"" remains disabled
"
1.3,admin,"Open the ""Application Status"" facet on the left, and select a filter which has a small number of results (such as ""Ready"" or ""Revisions Required"")",
1.4,admin,"Select a new status from the ""Bulk Edit Records"" section","* ""Submit"" becomes active
"
1.5,admin,"Select the blank status value from the ""Bulk Edit Records"" section","* ""Submit"" deactivates
"
1.6,admin,"Select a new status from the ""Bulk Edit Records"" section",
1.7,admin,"Click ""Submit""","* An alert pops up asking you to confirm the action
* The alert identifies a number of affected records which is the same as the number of search results
"
1.8,admin,"Click ""Cancel""","* The operation is aborted
"
1.9,admin,"Click ""Submit""",
1.10,admin,"Click ""OK""","* A message banner appears which tells you your request has be queued
* The message banner identifies a number of affected records which is the same as the number of search results
* The ""Bulk Edit Records"" box has reset to its default state, with ""Submit"" disabled
"
1.11,admin,Click the link in the banner text 'You can see your request here in the background jobs interface (opens new tab).',"* A new tab opens and shows just your background job with appropriate 'job created' and 'job last updated' dates.
* The status of the job is ""queued""
* The created date and last updated date are appropriate
"
1.12,admin,"Click ""More Information""","* Detailed information about the job appears
* The parameters suggestion_bulk_edit__editor_group and suggestion_bulk_edit__note are empty
* The field suggestion_bulk_edit__ids contains the same number of ids as were in your search results
* The field suggestion_bulk_edit_application_status shows the application status you selected
"
1.13,admin,Close the background jobs window,
1.14,admin,"Click ""dismiss"" on the message banner","* The message banner disappears
* The Submit button is inactive again
"

2,,Assign to Editor Group
2.1,admin,Go to the admin applications search page at /admin/applications,
2.2,admin,https://docs.google.com/spreadsheets/d/1xQWSFUtFjroK3mQLZDtDg1YB3SHAgy2jDZhe5hYv5PM/edit#gid=0,
2.3,admin,"Select ""Assign to editor group"" from the ""Bulk Edit Records"" box","* A new pull-down box appears that says 'Start typing'
"
2.4,admin,Click in the pull-down box,
2.5,admin,Type the first few letters of an editor group,"* The pull-down suggests possible values for you to enter
"
2.6,admin,Select one of the values,
2.7,admin,"Click on the small ""x"" in the pull-down box","* The value is cleared
"
2.8,admin,Enter another value in the pull-down box,
2.9,admin,"Click ""Submit""",
2.10,admin,"Click ""OK""","* A message banner appears which tells you your request has be queued
"
2.11,admin,Click on the link provided to see the background job that was created,"* The background job opens in a new tab and only one task is shown.
"
2.12,admin,"Click ""More Information""","* The field suggestion_bulk_edit__editor_group contains the editor group you selected
* The fields suggestion_bulk_edit__note and suggestion_bulk_edit__application_status are empty
"
2.13,admin,Close the background jobs window,
2.14,admin,"Click ""dismiss"" on the message banner","* The message banner disappears
* The Submit button is inactive again
"

3,,Add a note
3.1,admin,Go to the admin applications search page at /admin/applications,
3.2,admin,Apply a restriction to your search to give just a few search results (e.g. Application Status -> Revisions Required),
3.3,admin,"Select ""Add a note"" from the ""Bulk Edit Records"" box","* A text area appears asking you to ""Type note here""
"
3.4,admin,Enter some note text into the textarea,
3.5,admin,"Click ""Submit""",
3.6,admin,"Click ""OK""","* A message banner appears which tells you your request has be queued
"
3.7,admin,Click on the link provided to see the background job that was created,
3.8,admin,"Click ""More Information""","* The field suggestion_bulk_edit__note contains the note text you provided
* The fields suggestion_bulk_edit__editor_group and suggestion_bulk_edit__application_status are empty
"
3.9,admin,Close the background jobs window,
3.10,admin,"Click ""dismiss"" on the message banner","* The message banner disappears
* The Submit button is inactive again
"

