Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,PAGE 1 - Open access compliance
1.1,publisher,Go to the application form,
1.2,publisher,Click the question mark next to the questions.,"* A pop-up help box appears
You can click the link in the help box
"
1.3,publisher,Click close,"* The pop-up box disappears
"
1.4,publisher,Click Next,
1.5,publisher,Click Yes on the first question,"* The error message disappears
"
1.6,publisher,Click No on the first question,"* You see the error message: 'DOAJ only indexes open access journals which comply with the statement above. Please check and update the open access statement of your journal. You may return to this application at any time.'
"
1.7,publisher,Click Yes on the first question,"* The error message disappears
"
1.8,publisher,Type XXX into the box for question 2,"* The error message changes: 'This value should be a valid URL'
"
1.9,publisher,Type https://doaj.org into the box,"* The URL is shown underneath the box and is clickable
"
1.10,publisher,Click Next,"* An error message appears under the last questions indicating that you must answer them
"
1.11,publisher,Type 1800,
1.12,publisher,Click Next,"* You see the error message: 'OA Start Date must be a year in a 4 digit format (eg. 1987) and must be bigger than 1900 but smaller than current year'
"
1.13,publisher,Type 2100,
1.14,publisher,Click Next,"* You see the error message: 'OA Start Date must be a year in a 4 digit format (eg. 1987) and must be bigger than 1900 but smaller than current year'
"
1.15,publisher,Type 1800,
1.16,publisher,Click Next,"* You're taken to the ""About"" page
"

2,,PAGE 2 - About
2.1,publisher,Check the application progress Menu at the right,"* 1st page marked with a tick, 2nd tab marked orange as active
"
2.2,publisher,Click on the (1) in the application progress menu,"* You're taken to the first tab
"
2.3,publisher,"Create an error (eg. Change the answer to the 1st question to ""No"")",
2.4,publisher,Click on the (2) in the application progress menu,"* You're taken to the 2nd tab, 1st tab is marked red as containing invalid answers
"
2.5,publisher,"Click ""Back"" at the bottom of 2nd tab","* You're taken to the 1st tab
"
2.6,publisher,Change the answer to Yes,
2.7,publisher,Scroll to the bottom and click Next,"* Journal Title, Link to the journal's homepage, ISSN, Keywords, Languages, Publisher's name and country - marked as required
"
2.8,publisher,Fill in the title field and the homepage URL,
2.9,publisher,In the ISSN (print) field add xxxx-xxxx,"* You see the error message: 'This value seems to be invalid'
"
2.10,publisher,Repeat in the ISSN (online) field,"* You see the same error message
"
2.11,publisher,Enter the same ISSN in both fields,"* You see the error message: The value of this field and the ISSN (print) field must be different.
"
2.12,publisher,Change the value of one ISSN,"* All error messages clear.
"
2.13,publisher,Add keywords,"* As you type, you see suggestions in a list below the box
"
2.14,publisher,Select a suggestion,"* It is added to the box
"
2.15,publisher,Add 7 keywords,"* As you write the 7th keyword, you see the message: You can only select 6 items
"
2.16,publisher,Click on the X in two keywords,"* They disappear
"
2.17,publisher,Click in the languages box,"* You can start to type and suggested languages appear
"
2.18,publisher,Select and language and then click the arrow next to it,"* A dropdown list of all available languages appears.
"
2.19,publisher,Click Add Another,"* Another language field appears
"
2.20,publisher,Click the X next to it,"* It disappears
"
2.21,publisher,"Repeat steps X to X for the Publisher's Name, Country, Society name, Country",
2.22,publisher,"Delete the values from Society name and country, click Next","* You can submit the page without providing answers to optional questions.
"

3,,PAGE 3 - Copyright & licensing
3.1,publisher,Check the application progress Menu at the right,"* 1st and 2nd pages marked with a tick, 3rd page is marked orange as active
"
3.2,publisher,Select 3 of the CC licenses,"* You can select multiple items
"
3.3,publisher,"With a CC license selected, choose Publisher's own license","* The CC license deselects automatically and the ""attributes"" choices appear.
"
3.4,publisher,Choose some attributes and try to click on a CC license,"* The checkboxes are inactive
"
3.5,publisher,Unclick Publisher own license,"* ""Attributes"" question disappears and you can select a CC license
"
3.6,publisher,Embedded licences: click Yes,"* The URL field appears.
"
3.7,publisher,Click No,"* The URL field disappears
"
3.8,publisher,Scroll to the bottom and click the Previous button,"* You are taken to Page 2.
"
3.9,publisher,ClickPage 3 Copyright & licensing on the progress bar,"* You are taken back to Page 3 and your answers are preserved.
"
3.10,publisher,Complete all fields and click Next,

4,,PAGE 4 - Editorial
4.1,publisher,Click on 2 or 3 types of peer review,"* You can select multiple values
"
4.2,publisher,Click Other,"* The box 'Other peer review' appears
"
4.3,publisher,Unclick Other,"* It disappears
"
4.4,publisher,Plagiraism: click Yes,"* The URL box appears
"
4.5,publisher,"Write a number in the Average weeks box,","* You can use the arrows at the side to increase or decrease the number
"
4.6,publisher,"Complete the rest of the page, click Next",

5,,PAGE 5 - Business model
5.1,publisher,"APC question, click Yes","* The 'Highest APC charged' fields appear.
"
5.2,publisher,Click No,"* The boxes disappear but the URL fields remains
"
5.3,publisher,Click Yes again and click Add Another,"* A 2nd row appears. You can select different currencies and different amounts
"

6,,PAGE 6 - Best practice
6.1,publisher,Select one or more archiving services,"* You can select more than one and the URL box appears
"
6.2,publisher,Select 'The journal content isn't archived...' option,"* The others deselect and become inactive
"
6.3,publisher,Select Other,"* Other archiving policy  and URL boxes appear
"
6.4,publisher,Scroll to the bottom and press Next,"* You see an error message telling you that the Other box must be filled in
"
6.5,publisher,Fill in all the other questions and click Next,"* You are taken to the Review page
"

7,,PAGE 7 - Review your answers
7.1,publisher,Note the URL under Open access compliance. Click the first 'Edit this section' box,"* You are taken to Page 1 Open access compliance
"
7.2,publisher,Change the URL and click 'Review your answers' on the progress bar,"* The URL has updated.
"
7.3,publisher,"Click 'Edit this section', scroll to the bottom of the page and click Next","* You are taken to Page 2 About and all your answers are preserved
"
7.4,publisher,Click Review your answers on the Progress bar,"* You are taken back to Page 7 -  Review you answers
"
7.5,publisher,Scroll to the bottom and click try to click Submit,"* The Submit button is greyed out.
"
7.6,publisher,Check the consent box,"* The Submit button goes red
"
7.7,publisher,Unchedck the consent box again,"* The Submit button goes grey again
"
7.8,publisher,Check the consent box and click Submit,"* The application submits and you are shown the confrmation page
"

