Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Test Editor Groups Search Interactions
1.1,admin,Go to the DOAJ editor groups search at /admin/editor_groups,"* All available records are found, and the first page of results is shown
* There are ten editor name keywords shown in the single facet on the left.
"
1.2,admin,"Go through each sort option in the ""sort by"" pull-down",
1.3,admin,"In each case, click the ""sort by"" button to reverse the direction of sort","* The current search results are ordered correctly according to the selected sort field and the selected sort direction
"
1.4,admin,Enter a search term in the search box,"* All the results for the selected constraints are found, and the first page is shown
* Your search text remains in the search box
"
1.5,admin,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly","* If there are search results, the first page is displayed
* If there are no search results, suitable ""No results to display"" text is displayed
"
1.6,admin,"Clear your filter and change the page size, using the page-size pull-down","* The size of the page of results displays increases appropriately
"
1.7,admin,"Click the ""Next"" button to go to the next page of results","* The next page of results is displayed
* The ""First"" and ""Prev"" buttons are activated
"
1.8,admin,"Click ""Prev""","* You are navigated one page forward and then one page back in the results
"
1.9,admin,"Click ""First""","* You are taken to the first page of the results
"
1.10,admin,Click on an editor,"* You are taken to the user's account page
"
1.11,admin,Click back on the browser,
1.12,admin,Click on an associate editor,"* You are taken to the user's account page
"
1.13,admin,Click back on the browser,
1.14,admin,"Click ""Delete this group"" under any chosen group","* Confirmation window pops up
"
1.15,admin,"Click ""Cancel""","* The confirmation pop up closes
* The group is not deleted
"
1.16,admin,"Click ""Delete this group"" again, and click ""OK""","* A pop up confirms the operation has completed successfully
* The group disappears from the search results
"
1.17,admin,"Click ""Edit this group"" next to any chosen group","* A new browser window opens at the page to edit the group
"
1.18,admin,Close the new browser window,
1.19,admin,Click the black X button to clear all filters,"* The interface returns to the initial state
"

