Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Test Admin Users Search Interactions
1.1,admin,Go to the DOAJ admin users search at /account,"* All available records are found, and the first page of results is shown
* There is one facet on the left, and it is open, showing all the user roles
"
1.2,admin,"Select Admin in the ""Role"" facet","* All the results for the selected constraints are found, and the first page is shown
* The filter applied is shown in the facets on the left and above the search results
"
1.3,admin,"Go through each sort option in the ""sort by"" pull-down","* The current search results are ordered correctly according to the selected sort field and the selected sort direction
"
1.4,admin,"In each case, click the ""sort by"" button to reverse the direction of sort",
1.5,admin,"Making sure, Admin is selectec still, enter a search term in the search box","* All the results for the selected constraints are found, and the first page is shown
* Your search text remains in the search box
"
1.6,admin,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly","* If there are search results, the first page is displayed
* If there are no search results, suitable ""no results match"" text is displayed
"
1.7,admin,Clear your filters and select 'publisher',
1.8,admin,"Change the page size, using the page-size pull-down","* The size of the page of results displays increases appropriately
"
1.9,admin,"Click the ""Next"" button to go to the next page of results","* The next page of results is displayed
* The ""First"" and ""Prev"" buttons are activated
"
1.10,admin,"Click ""Next"" again",
1.11,admin,"Click ""Prev""","* You are navigated one page forward and then one page back in the results
"
1.12,admin,"Click ""First""","* You are taken to the first page of the results
"
1.13,admin,Click the black X button to clear all filters,"* The interface returns to the initial state
"

2,,Test Admin Users Search Display
2.1,admin,Go to the DOAJ admin user search at /account,"* Every result includes the text ""View journals"" and ""Edit this user"" at the bottom
"
2.2,admin,"Click on ""View journals""","* You are taken to the admin journals search, with the user's name specified as an ""Owner"" filter
* The list of journals you expect to be associated with this user are displayed
"
2.3,admin,Click back on your browser window,
2.4,admin,"Click on ""Edit this user""","* A new window opens, and you are taken to the edit form for the user
"

