Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Bulk Edit General
1.1,admin,Go to the admin journals and articles search page at /admin/admin_site_search,"* On the top right, the ""Bulk Edit Records"" box is visible, and ""Submit"" is disabled
"
1.2,admin,"From the ""Select action"" pull-down choose ""Withdraw from DOAJ""","* Warning under the Submit button is displayed: ""You need to select ""Journal"" from the ""Journals vs. Articles facet"" to use this option""
"
1.3,admin,"From the ""Select action"" pull-down choose ""Reinstate into DOAJ""","* Warning under the Submit button is displayed: ""You need to select ""Journal"" from the ""Journals vs. Articles facet"" to use this option""
"
1.4,admin,"From the ""Select action"" pull-down choose ""Journal: edit metadata...""","* Additional options unfold under Bulk Edit Records pull down but Submit button is disabled and two warnings appear: ""You need to select ""Journal"" from the ""Journals vs. Articles facet"" to use this option"" is displayed under the Submit button; and a Note: 'Note that bulk editing journals via this form behaves as if you have used the individual Journal edit form for each selected record and selected the ""Allow incomplete form"" checkbox. You will NOT receive validation errors for records which are missing required fields'
"
1.5,admin,"From the ""Select action"" pull-down choose ""Journal: Assign to editor group...""","* ""Enter new editor group"" pull down unfold below but submit button is disabled and warning ""You need to select ""Journal"" from the ""Journals vs. Articles facet"" to use this option"" is displayed under the Submit button
* Click in the sub-pulldown and you are asked to type 1 or more character
"
1.6,admin,"From the ""Select action"" pull-down choose ""Journal: Add a note...""","* ""Type note here..."" text field show up below but submit button is disabled and warning ""You need to select ""Journal"" from the ""Journals vs. Articles facet"" to use this option"" is displayed under the button
"

2,,Withdraw from DOAJ
2.1,admin,Go to the admin applications search page at /admin/admin_site_search,
2.2,admin,"Restrict search journals to smaller number (eg. choose only ""Subject"" -> ""Technology"" and ""Country""-> ""Spain"")",
2.3,admin,"From the ""Journals vs. Articles"" assets on the left choose Journals and from ""in DOAJ?"" choose ""True"" (note how many journals are not in DOAJ for future reference)","* Correct restricted search results appear, note the summary number of journals found  for future reference
"
2.4,admin,"From Bulk Edit Records ""Select action..."" pull down choose ""withdraw from DOAJ"" and click ""Submit"" button","* Pop up appears: ""This operation will affect #nr journals"" (#nr is number of journals, the same as number of journals in search result from 2.3.1)
* Options ""Cancel"" and ""OK"" is available
"
2.5,admin,"Click ""Cancel"" on pop up","* The operation is cancelled
"
2.6,admin,"Click ""Submit"" button again",
2.7,admin,"Click ""OK"" on the pop-up","* Message banner appears on the top of the page that includes:
* Numer of journals queued for edit
* Link to the background job interface
* A link to dismiss the message
"
2.8,admin,Click on the link provided to see the background job that was created,"* The set_in_doaj background job is created
"
2.9,admin,"Click ""More Information""","* set_in_doaj__journal_ids parameter contains correct number of journals' ids and set_in_doaj__in_doaj -- true parameter is set
"
2.10,admin,Close the background jobs window,
2.11,admin,Click dismiss on the message banner,"* Banner disappears
"

3,,Reinstate into DOAJ
3.1,admin,Go to the admin applications search page at /admin/admin_site_search,
3.2,admin,"Restrict search journals to smaller number (eg. choose only ""Subject"" -> ""Technology"" and ""Country""-> ""Spain"")",
