Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Short notification view
1.1,admin,"Go the Managing Editor's dashboard

http://testdoaj.cottagelabs.com//dashboard","* On the top navigation bar is a bell icon and a ""Notifications"" menu item
* The menu item gives you a count of notifications
"
1.2,admin,Hover your mouse over the Notifications menu item,"* A pull-down list of notifications appears
"
1.3,admin,scroll through the pull-down list of notifications,"* There are the same number of highlighted (unseen) notifications as are listed in the count of notifications next to the menu item
* There is a link to See all notifications at the bottom of the list
"
1.4,admin,click on an unseen notification,"* A new tab/window opens
* you are directed to the appropriate action page for the notification
"
1.5,admin,go back to the dashboard page and reload the page (or wait for a few minutes for your notifications to refresh),"* the count of unseen notifications listed in the menu bar decreases by 1
* The notification you previously clicked on above is no longer highlighted as unseen
"

2,,User notification search
2.1,admin,"Go to the Managing Editor's dashboard

http://testdoaj.cottagelabs.com//dashboard",
2.2,admin,Click on the Notification menu item on the top bar,"* You are taken to the notification search page
* You can see the first page of your notifications, most recent notification first
"
2.3,admin,"find a notification which is unseen (the icon on the right contains a solid black circle) and which has no action associated with it (it will say ""Mark as seen"" on the right)",
2.4,admin,"Click ""Mark as seen""","* The black circle on the right becomes an empty circle
* The link ""Mark as seen"" disappears
"
2.5,admin,find a notification which is unseen and requires action,
2.6,admin,"Click ""see action""","* A new tab/window opens
* You are taken to an appropriate action page for the notification
"
2.7,admin,Go back to the search interface,"* the notification you clicked on above is no longer marked as unseen (the black circle has become an empty circle)
"
2.8,admin,"Hover your mouse over the ""seen notification"" icon (the empty circle).","* a tooltip appears which tells you the date the notification was marked as seen
"
2.9,admin,"Hover your mouse over the resut type icon (next to/below the ""seen notification"" icon)","* a tooltip appears which tells you the nature of the notification
"
2.10,admin,Enter some search text in the search box and press enter,"* your search results are limited to those containing the text in the search box
* They are still ordered by date, most recent first
"
2.11,admin,Clear the search filter by removing the text and pressing enter,"* your original unfiltered list of notifications is restored
"
2.12,admin,"Try the other search controls, such as changing the page size and navigation to the next/previous page","* search behaviours act as expected
"

3,,Administrator global notifications search
3.1,admin,"Go to the Managing Editor's dashboard

http://testdoaj.cottagelabs.com//dashboard",
3.2,admin,"On the right navigation click on the ""bell"" icon at the bottom, marked ""All Notifications""",
3.3,admin,open and close the facets on the left,"* facets open and close correctly
* they contain data that seems reasonable
"
3.4,admin,"Try applying/removing facet values (e.g. select a notification user, and a notification month to see that user's notifications for that month)","* The results reflect your expectations
"
3.5,admin,"Clear all your filters with the ""Clear All"" button","* all search filters are cleared
"
3.6,admin,"Try out the other search controls, such as changing the page size, and navigation to the next/previous page","* search behaviours act as expected
"

