IncomingApplication:Model,,,./docs/data_models.sh#L11; ./docs/system/API.md#L64,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./docs/data_models.sh#L11; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./docs/system/API.md#L64
ManEdBulkJournal:FormProcessor,./portality/forms/application_processors.py#L1004,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_processors.py#L1004,,
Continuations:Feature,,,./portality/forms/application_forms.py#L2048,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L2048
PublicJournalArticleQuery:Endpoint,,,./portality/settings.py#L602,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/settings.py#L602
Supporters:WebRoute,,,./cms/data/nav.yml#L66,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./cms/data/nav.yml#L66
Cache:Feature,,,./docs/system/S3.md#L150; ./portality/settings.py#L870; ./portality/bll/services/site.py#L103,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./docs/system/S3.md#L150; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/settings.py#L870; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/bll/services/site.py#L103
QuickReject:FormField,./portality/forms/application_forms.py#L1508,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L1508,./portality/forms/application_forms.py#L1508,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L1508
Email:Notifications,./portality/notifications/application_emails.py#L1,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/notifications/application_emails.py#L1,./portality/forms/application_processors.py#L362; ./portality/forms/application_processors.py#L382; ./portality/forms/application_processors.py#L569; ./portality/forms/application_processors.py#L621; ./portality/forms/application_processors.py#L684; ./portality/forms/application_processors.py#L702; ./portality/forms/application_processors.py#L776; ./portality/forms/application_processors.py#L875; ./portality/forms/application_processors.py#L942,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_processors.py#L362; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_processors.py#L382; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_processors.py#L569; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_processors.py#L621; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_processors.py#L684; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_processors.py#L702; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_processors.py#L776; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_processors.py#L875; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_processors.py#L942
Services:Blueprint,,,./portality/app.py#L57,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/app.py#L57
Date:Regex,./portality/regex.py#L15,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/regex.py#L15,,
LinkedIn:ExternalService,,,./cms/data/nav.yml#L99,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./cms/data/nav.yml#L99
APIKey:Feature,./portality/decorators.py#L29; ./portality/decorators.py#L48,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/decorators.py#L29; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/decorators.py#L48,./portality/api/common.py#L78,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/api/common.py#L78
Accessibility:WebRoute,,,./cms/data/nav.yml#L106,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./cms/data/nav.yml#L106
PreservationService:FormField,./portality/forms/application_forms.py#L1128,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L1128,./portality/forms/application_forms.py#L1128,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L1128
DebugToolbar:Framework,,,./portality/core.py#L55; ./portality/settings.py#L32,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/core.py#L55; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/settings.py#L32
DiscontinuedDate:FormField,./portality/forms/application_forms.py#L1628,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L1628,./portality/forms/application_forms.py#L1628,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L1628
OAIAriticleXML:Crosswalk,,,./portality/settings.py#L810,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/settings.py#L810
FixedQueryWidget:Feature,,,./portality/settings.py#L1082,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/settings.py#L1082
AuthNZ:Feature,./portality/authorise.py#L5,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/authorise.py#L5,./portality/app.py#L291; ./portality/settings.py#L237; ./portality/api/v2/crud/applications.py#L114; ./portality/api/v2/crud/applications.py#L266; ./portality/api/v2/crud/applications.py#L302; ./portality/bll/exceptions.py#L6; ./portality/bll/services/authorisation.py#L8,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/app.py#L291; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/settings.py#L237; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/api/v2/crud/applications.py#L114; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/api/v2/crud/applications.py#L266; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/api/v2/crud/applications.py#L302; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/bll/exceptions.py#L6; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/bll/services/authorisation.py#L8
License:FormField,./portality/forms/application_forms.py#L515,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L515,./portality/forms/application_forms.py#L515,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L515
Account:Blueprint,,,./portality/app.py#L48,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/app.py#L48
Subject:FieldSet,./portality/forms/application_forms.py#L2059,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L2059,./portality/forms/application_forms.py#L2059,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/forms/application_forms.py#L2059
JournalsSearch:WebRoute,,,./cms/data/nav.yml#L10,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./cms/data/nav.yml#L10
Twitter:ExternalService,,,./cms/data/nav.yml#L90,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./cms/data/nav.yml#L90
OfflineMode:Feature,,,./portality/settings.py#L94,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/settings.py#L94
Apply:WebRoute,,,./cms/data/nav.yml#L72; ./cms/data/nav.yml#L75,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./cms/data/nav.yml#L72; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./cms/data/nav.yml#L75
UpdateRequest:Feature,,,./portality/api/v2/crud/applications.py#L111; ./portality/api/v2/crud/applications.py#L263; ./portality/crosswalks/application_form.py#L114,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/api/v2/crud/applications.py#L111; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/api/v2/crud/applications.py#L263; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/crosswalks/application_form.py#L114
PyCountry:Technology,,,./portality/datasets.py#L12; ./portality/datasets.py#L28; ./portality/datasets.py#L45,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/datasets.py#L12; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/datasets.py#L28; https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./portality/datasets.py#L45
Atom:WebRoute,,,./cms/data/nav.yml#L102,https://github.com/DOAJ/doaj/blob/feature/2677_review_and_map/./cms/data/nav.yml#L102
