Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Continuations: Continuations,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,continuations/continuations,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## Z.1,----------,## Search and Navigate,----------
Z.1.1.,admin,Go to the admin journals search at /admin/,
Z.1.2.,admin,"Open the facet ""Discontinued year"" and select a year",
Z.1.3.,admin,"Open the facet ""Continued"" and select ""Yes""",
Z.1.4.,admin,"On one of the search results, click ""Edit this journal""",
Z.1.4.1.,admin,,The journal edit form opens
Z.1.5.,admin,"Scroll down to the section ""Continuation information"" in the left panel",
Z.1.5.1.,admin,,There is an ISSN in one or both of the ISSN fields
Z.1.5.2.,admin,,"There is a ""Discontinued Date"" specified, which matches your search"
Z.1.6.,admin,"Click ""Unlock and Close""",
Z.1.7.,admin,"Clear the filter ""Continued"" and then select ""No"" from that facet",
Z.1.8.,admin,"On one of the search results, click ""Edit this journal""",
Z.1.8.1.,admin,,The journal edit form opens
Z.1.9.,admin,"Scroll down to the section ""Continuation information""",
Z.1.9.1.,admin,,There is no ISSN specified
Z.1.9.2.,admin,,"There is a ""Discontinued Date"" specified, which matches your search"
Z.1.10.,admin,"Click ""Unlock and Close""",
Z.1.11.,admin,Clear all your search filters,
Z.1.12.,admin,"Open the facet ""In DOAJ"" and select ""True""",
Z.1.13.,admin,"Open the facet ""Continued"" and select ""Yes""",
Z.1.14.,admin,Click the journal title on one of your search results,
Z.1.14.1.,admin,,The journal ToC page opens
Z.1.14.2.,admin,,"Near the top it says ""Continued by"" or ""Continues"" and then another journal link"
Z.1.15.,admin,Click the continuation journal link,
Z.1.15.1.,admin,,A new journal ToC page opens
Z.1.15.2.,admin,,"Near the top it says ""Continued by"" or ""Continues"" (the opposite of the previous page) and links back to the first journal you selected"
Z.1.15.3.,admin,,Note that not all continuations have bi-directional linking just yet (although they should!) so you may need to repeat theese steps until you can see this behaviour
----------,----------,----------,----------

----------,----------,----------,----------
## Z.2,----------,## Make a new preceeding journal,----------
Z.2.1.,admin,Go to the admin journals search at /admin/,
Z.2.2.,admin,"Open the facet ""In DOAJ"" and select ""True""",
Z.2.3.,admin,"Select ""make a preceding continuation"" from one of the search results (take a note of its ISSN for later test result confirmation)",
Z.2.3.1.,admin,,"The Journal continuation form appears, with the title ""[your journal] continues..."""
Z.2.4.,admin,Enter a title and some ISSNs (they may be made up),
Z.2.5.,admin,"Click ""Create""",
Z.2.5.1.,admin,,You are taken to the admin journal edit form
Z.2.5.2.,admin,,There is a flash message saying that your continuation has been created
Z.2.5.3.,admin,,"The journal is currently withdrawn from DOAJ (there is an option to ""Reinstate"" the journal)"
Z.2.5.4.,admin,,The journal form is populated with the metadata from the journal you started from
Z.2.5.5.,admin,,The ISSNs you provided on the continuations form are used as the journal's ISSNs
Z.2.5.6.,admin,,"The ""Continuation Information"" section specifies the ISSN of the original journal in the ""continued by"" field"
Z.2.5.7.,admin,,All the notes from the original journal are also available on this Journal
Z.2.6.,admin,Make some superficial modifications to the journal metadata,
Z.2.7.,admin,"Click in ""Discontinued Date"" and select a date from the pop-up (it can be random)",
Z.2.7.1.,admin,,"The ""Discontinued Date"" field is populated with the date you selected"
Z.2.8.,admin,"Click ""Add new note""",
Z.2.9.,admin,Enter a note saying you have created this preceeding continuation,
Z.2.10.,admin,"Click ""SAVE""",
Z.2.10.1.,admin,,The journal form is displayed
Z.2.10.2.,admin,,"A flash message says ""Journal updated"""
Z.2.10.3.,admin,,The metadata changes and note you added are present
Z.2.11.,admin,"Click ""Reinstate""",
Z.2.11.1.,admin,,A flash message alerts you that this operation has been queued for action
Z.2.11.2.,admin,,"The ""Reinstate"" button has changed to 'Reinstating'"
Z.2.12.,admin,Wait for the action to complete (this should be quite quick in a test environment),
Z.2.13.,admin,Reload the edit form page,
Z.2.13.1.,admin,,"A button now exists to ""Withdraw"" the journal from DOAJ"
Z.2.14.,admin,"Click ""Unlock and Close""",
Z.2.15.,admin,Click on the journal title for which you made a continuation,
Z.2.15.1.,admin,,You are taken to the Journal ToC
Z.2.15.2.,admin,,"The preceeding journal you just created is linked near the top under ""Continues"""
Z.2.16.,admin,Clock on the journal title for the preceeding continuation,
