Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Journal Form: ManEd Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,journal_form/maned_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BM.1,----------,## Journal Form Test,----------
Depends on New Application Form,,,
Depends on Continuations,,,
BM.1.1.,admin,Go to admin journal search page at /admin/journals,
BM.1.2.,admin,"From the facet ""In DOAJ?"" on the left choose Yes",
BM.1.3.,admin,"Click ""Edit this journal"" link by any journal - note the id of the edited journal for future reference",
BM.1.3.1.,admin,,Page /admin/journal/<id> is open in a new browser window/tab (<id> is id of the chosen journal)
BM.1.3.2.,admin,,All the field are initially filled in with correct values
BM.1.4.,admin,"Click ""Withdraw"" button at the top of the functions panel on the right",
BM.1.4.1.,admin,,Message pop-up appears over the page asking you to confirm if you want to withdraw the journal and shows you the journal's ID.
BM.1.5.,admin,Click Close,
BM.1.5.1.,admin,,The box closes and nothing else has changed.
BM.1.6.,admin,Click Withdraw again and click Withdraw in the pop-up,
BM.1.6.1.,admin,,You see a flash message at the top which says Job to withdraw/reinstate journal has been submitted
BM.1.7.,admin,Click link to the background jobs interface in the banner,
BM.1.7.1.,admin,,The set_in_doaj background job is created
BM.1.8.,admin,"Click ""More Information""",
BM.1.8.1.,admin,,set_in_doaj__journal_ids parameter contains correct journal id and set_in_doaj__in_doaj -- false parameter is set
BM.1.9.,admin,Close the background jobs window,
BM.1.10.,admin,"Click ""Unlock and Close"" button at the top of the application",
BM.1.10.1.,admin,,"You see the message: This record is now unlocked
You may close this tab safely."
BM.1.10.2.,admin,,Close the tab.
BM.1.11.,admin,Go back to the admin search page,
BM.1.12.,admin,"From the facet ""In DOAJ?"" on the left choose False",
BM.1.12.1.,admin,,The journal you just withdrew is displayed in the results
BM.1.12.2.,admin,,"It has a ""Last Withdrawn"" field in the metadata with the current date and time"
BM.1.13.,admin,"Click ""Edit this journal"" link at the bottom of the journal you witdrew",
BM.1.13.1.,admin,,Page /admin/journal/<id> is open in a new browser window/tab (<id> is id of the chosen journal)
BM.1.13.2.,admin,,There is a note in the form that the journal was withdrawn by you on the appropriate date and time
BM.1.14.,admin,"Click ""Reinstate"" button at the top of the functions panel on the right and confirm in the pop-up you wish to Reinstate",
BM.1.14.1.,admin,,Message banner appears at the top of the page with the confirmation
BM.1.15.,admin,Click link to the background jobs interface in the banner,
BM.1.15.1.,admin,,The set_in_doaj background job is created
BM.1.16.,admin,"Click ""More Information""",
BM.1.16.1.,admin,,set_in_doaj__journal_ids parameter contains correct journal id and set_in_doaj__in_doaj -- true parameter is set
BM.1.17.,admin,Close the background jobs window,
BM.1.18.,admin,Close the journal form and go back to the admin search page,
BM.1.19.,admin,"From the facet ""In DOAJ?"" on the left choose Yes",
BM.1.19.1.,admin,,The journal you just reinstated is displayed in the results
BM.1.19.2.,admin,,"The journal has a ""Last Reinstated"" field in the metadata with the current date and time"
BM.1.19.3.,admin,,"The ""Last Withdrawn"" field continues to be displayed with the previous date and time"
BM.1.20.,admin,"Click ""Edit this journal"" link at the bottom of any journal - note the title of the edited journal for future reference",
