Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Public Site: Article Page,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,public_site/article_page,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BV.1,----------,## Test Article Landing Page Metadata and Affiliations Display,----------
BV.1.1.,anonymous,"Ensure there is a publicly available article in DOAJ with multiple authors, where at least one author has multiple affiliations and an ORCID iD.",
BV.1.2.,anonymous,Navigate to the article landing page at /article/<article_id> or search for the article on /search/articles and click on its title,
BV.1.2.1.,anonymous,,The article title is displayed prominently at the top
BV.1.2.2.,anonymous,,The journal title is displayed and links to the journal Table of Contents page
BV.1.2.3.,anonymous,,The list of authors is displayed
BV.1.2.4.,anonymous,,"Publication date, volume, issue, and page numbers are displayed if provided"
BV.1.2.5.,anonymous,,DOI and Full-Text URL links are displayed and active
BV.1.2.6.,anonymous,,Abstract and Keywords are displayed if provided
BV.1.3.,anonymous,"Click on the ""Affiliations"" button/accordion under the authors list",
BV.1.3.1.,anonymous,,The affiliations section expands
BV.1.3.2.,anonymous,,Each author is listed with their respective affiliations
BV.1.3.3.,anonymous,,Authors with multiple affiliations display each affiliation on a separate line
BV.1.3.4.,anonymous,,Authors with ORCID iDs display a clickable ORCID icon/link to their ORCID profile
BV.1.4.,anonymous,"Click on the ""Affiliations"" button/accordion again",
BV.1.4.1.,anonymous,,The affiliations section collapses
----------,----------,----------,----------

----------,----------,----------,----------
## BV.2,----------,## Test Article Page Citation and Export,----------
BV.2.1.,anonymous,Navigate to an article landing page at /article/<article_id>,
BV.2.2.,anonymous,Locate the citation / export options on the page,
BV.2.3.,anonymous,Click on the RIS export option,
BV.2.3.1.,anonymous,,"An .ris file is downloaded containing the article's bibliographic metadata (including title, authors, affiliations, journal, publication date, and identifiers)"
BV.2.4.,anonymous,Click on the BibTeX export option if available,
BV.2.4.1.,anonymous,,BibTeX formatted citation data is displayed or downloaded
----------,----------,----------,----------

----------,----------,----------,----------
## BV.3,----------,## Test Admin Edit Article Button on Article Landing Page,----------
BV.3.1.,Admin,Log in with an admin account,
BV.3.2.,Admin,Navigate to an article landing page at /article/<article_id>,
BV.3.2.1.,Admin,,"An ""Edit this article"" button is displayed near the top of the page"
BV.3.3.,Admin,"Click the ""Edit this article"" button",
BV.3.3.1.,Admin,,The Admin Article Metadata form for this article opens in a new tab with the article's data pre-filled
BV.3.4.,Admin,Log out of the admin account and view the same article landing page as an anonymous user or publisher,
BV.3.4.1.,Admin,,"The ""Edit this article"" button is not visible"
----------,----------,----------,----------

