Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Update Requests: Update Requests,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,update_requests/update_requests,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CJ.1,----------,## Submitting an update,----------
CJ.1.1.,Publisher,Go to the My journals tab on the Publisher dashboard,
CJ.1.1.1.,Publisher,,"You see a list of journals, each with a button ""Update"""
CJ.1.2.,Publisher,"Click the ""Update"" button next to one of your journals",
CJ.1.2.1.,Publisher,,"a new browser tab opens, titled ""Journal update request form for ..."""
CJ.1.3.,Publisher,"Attempt to edit the Journal title, Alternative title, ISSN (print), ISSN (online)",
CJ.1.3.1.,Publisher,,You cannot
CJ.1.4.,Publisher,Make some changes to the editable questions (make a note of what those changes are),
CJ.1.5.,Publisher,Click on 'Review your answers' in the section stepper on the right and submit the form,
CJ.1.5.1.,Publisher,,The form is submitted successfully and you are taken to the 'My update requests' tab
CJ.1.5.2.,Publisher,,A flash message tells you that your update has been submitted. Another flash message says that a confirmation email has been sent.
CJ.1.6.,Publisher,clear the flash messages,
CJ.1.7.,Publisher,"Click on the ""My journals"" tab",
CJ.1.7.1.,Publisher,,"The journal you submitted an update for now says ""View update"" by it"
CJ.1.8.,Publisher,"Go back to the ""My Update Requests"" tab",
CJ.1.8.1.,Publisher,,The journal for which you submitted an update is listed here
CJ.1.9.,Publisher,"Click ""Edit"" on the update request you created above",
CJ.1.9.1.,Publisher,,You can see the edit form for the update request
CJ.1.9.2.,Publisher,,Your changes implemented above are present
CJ.1.10.,Publisher,Make another change to the form and submit,
CJ.1.10.1.,Publisher,,Your changes are submitted successfully.
CJ.1.11.,Publisher,"Click ""Delete""",
CJ.1.11.1.,Publisher,,A pop-up appears asking you if you are sure you want to delete the update request.
CJ.1.12.,Publisher,click 'No',
CJ.1.13.,Publisher,"Click 'Delete' and 'Yes, delete it'",
CJ.1.13.1.,Publisher,,You are shown a message 'Your application has been deleted'
CJ.1.14.,Publisher,Click the link to take you back to the dashboard and click on 'My update requests',
CJ.1.14.1.,Publisher,,The update request no longer appears on this tab
CJ.1.15.,Publisher,create a new update request for one of your journals and submit it,
