Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CL.1,----------,## View Unset Marketing Preferences,----------
CL.1.1.,any,"Go to the ""Accounts"" page",
CL.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## CL.2,----------,## Accept Marketing,----------
CL.2.1.,any,"Go to the ""Accounts"" page",
CL.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CL.2.2.,any,"select ""I consent...""",
CL.2.3.,any,"Click ""Save Settings""",
CL.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CL.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## CL.3,----------,## Decline Marketing,----------
CL.3.1.,any,"Go to the ""Accounts"" page",
CL.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CL.3.2.,any,"Select ""I do not consent""",
CL.3.3.,any,"Click ""Save Settings""",
CL.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CL.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

