Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Publisher Search: Journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,publisher_search/journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BM.1,----------,## Test Publisher Journal Search Interactions,----------
BM.1.1.,publisher,Go to the DOAJ admin journal search at /publisher/,
BM.1.1.1.,publisher,,"All available records are found, and the first page of results is shown"
BM.1.2.,publisher,Open and Collapse all the facets on the left,
BM.1.2.1.,publisher,,The facet opens and closes as expected
BM.1.2.2.,publisher,,Each facet contains a maximum of 10 values relevant to that field
BM.1.3.,publisher,Open one of the facets of your choice,
BM.1.4.,publisher,Select one of the values for that facet,
BM.1.4.1.,publisher,,"All the results for the selected constraints are found, and the first page is shown"
BM.1.4.2.,publisher,,The filter applied is shown in the facets on the left and above the search results
BM.1.5.,publisher,"Go through each sort option in the ""sort by"" pull-down",
BM.1.6.,publisher,"In each case, click the ""sort by"" button to reverse the direction of sort",
BM.1.6.1.,publisher,,The current search results are ordered correctly according to the selected sort field and the selected sort direction
BM.1.7.,publisher,Enter a search term in the search box,
BM.1.7.1.,publisher,,"All the results for the selected constraints are found, and the first page is shown"
BM.1.7.2.,publisher,,Your search text ramains in the search box
BM.1.8.,publisher,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly",
BM.1.8.1.,publisher,,"If there are search results, the first page is displayed"
BM.1.8.2.,publisher,,"If there are no search results, suitable ""no results match"" text is displayed"
BM.1.9.,publisher,"Change the page size, using the page-size pull-down",
BM.1.9.1.,publisher,,The size of the page of results displays increases appropriately
BM.1.10.,publisher,"Click the ""Next"" button to go to the next page of results",
BM.1.10.1.,publisher,,The next page of results is displayed
BM.1.10.2.,publisher,,"The ""First"" and ""Prev"" buttons are activated"
BM.1.11.,publisher,"Click ""Next"" again",
BM.1.12.,publisher,"Click ""Prev""",
BM.1.12.1.,publisher,,You are navigated one page forward and then one page back in the results
BM.1.13.,publisher,"Click ""First""",
BM.1.13.1.,publisher,,You are taken to the first page of the results
BM.1.14.,publisher,Click the Red X button to clear all filters,
BM.1.14.1.,publisher,,The interface returns to the initial state as per 1.1.1
----------,----------,----------,----------

----------,----------,----------,----------
## BM.2,----------,## Test Publisher Journal Search Display,----------
BM.2.1.,admin,Go to the DOAJ admin journal search at /publisher/,
BM.2.2.,admin,"Open the In DOAJ facet, and select ""False""",
BM.2.2.1.,admin,,None of the journal titles in the search results are links
BM.2.2.2.,admin,,In DOAJ: No metadata is present
BM.2.3.,admin,"Clear the ""In DOAJ?"" filter",
BM.2.4.,admin,"Select ""True"" from that facet",
BM.2.4.1.,admin,,All the journal titles in the search results are links
BM.2.4.2.,admin,,In DOAJ: Yes metadata is present
BM.2.5.,admin,Click on the journal title,
BM.2.5.1.,admin,,You are taken to the DOAJ ToC page for this journal
BM.2.6.,admin,Click back (twice) in your browser window to go back to the search results,
BM.2.7.,admin,"Click on the ""Hope page"" URL for a journal result",
BM.2.7.1.,admin,,You are taken to the Journal's home page
BM.2.8.,admin,Click back in your browser winder to go back to the search results,
BM.2.9.,admin,Open the Journal License facet,
BM.2.10.,admin,Select one of the CC licences from this facet,
BM.2.10.1.,admin,,"All the journal results show the relevant CC icon under the metadata field ""License"""
BM.2.11.,admin,"Clear the ""Journal License"" filter",
BM.2.12.,admin,Click on the View current update request link at the bottom right of any journal,
BM.2.12.1.,admin,,You are taken to Update Requests tab with this journal id search filter on (journal's id in the search fields is on and only related records are shown)
----------,----------,----------,----------

