Bitly:ExternalService,,,/home/richard/Code/External/doaj3/portality/settings.py#L1000; /home/richard/Code/External/doaj3/portality/static/js/doaj.js#L64,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/settings.py#L1000; https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/static/js/doaj.js#L64
Status:FieldSet,/home/richard/Code/External/doaj3/portality/forms/application_forms.py#L2062,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/forms/application_forms.py#L2062,/home/richard/Code/External/doaj3/portality/forms/application_forms.py#L2062,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/forms/application_forms.py#L2062
User:Endpoint,,,/home/richard/Code/External/doaj3/docs/system/AUTHNZ.md#L21,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/docs/system/AUTHNZ.md#L21
Notes:Feature,,,/home/richard/Code/External/doaj3/portality/forms/application_forms.py#L2477,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/forms/application_forms.py#L2477
ManEdBulkJournal:FormProcessor,/home/richard/Code/External/doaj3/portality/forms/application_processors.py#L964,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/forms/application_processors.py#L964,,
ORCID:Regex,/home/richard/Code/External/doaj3/portality/regex.py#L7,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/regex.py#L7,,
SimpleSearchWidget:Asset,,,/home/richard/Code/External/doaj3/cms/pages/docs/widgets.md#L8,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/cms/pages/docs/widgets.md#L8
Media:Fragment,/home/richard/Code/External/doaj3/cms/pages/legal/media.md#L6,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/cms/pages/legal/media.md#L6,,
Facebook:ExternalService,,,/home/richard/Code/External/doaj3/cms/data/nav.yml#L98,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/cms/data/nav.yml#L98
BOAI:FormField,/home/richard/Code/External/doaj3/portality/forms/application_forms.py#L75,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/forms/application_forms.py#L75,/home/richard/Code/External/doaj3/portality/forms/application_forms.py#L75,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/forms/application_forms.py#L75
DepositPolicy:FormField,/home/richard/Code/External/doaj3/portality/forms/application_forms.py#L1294,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/forms/application_forms.py#L1294,/home/richard/Code/External/doaj3/portality/forms/application_forms.py#L1294,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/forms/application_forms.py#L1294
Kibana:Technology,,,/home/richard/Code/External/doaj3/deploy/kibana_machine/README.md#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/deploy/kibana_machine/README.md#L3
APC:FieldSet,/home/richard/Code/External/doaj3/portality/forms/application_forms.py#L1965,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/forms/application_forms.py#L1965,/home/richard/Code/External/doaj3/portality/forms/application_forms.py#L1965,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/forms/application_forms.py#L1965
CreateUser:Script,,,/home/richard/Code/External/doaj3/docs/system/AUTHNZ.md#L13,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/docs/system/AUTHNZ.md#L13
DontLeave:Feature,/home/richard/Code/External/doaj3/portality/static/js/dontleave.js#L1,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/static/js/dontleave.js#L1,/home/richard/Code/External/doaj3/portality/templates/admin/article_metadata.html#L46; /home/richard/Code/External/doaj3/portality/templates/account/view.html#L133; /home/richard/Code/External/doaj3/portality/templates/publisher/metadata.html#L30,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/templates/admin/article_metadata.html#L46; https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/templates/account/view.html#L133; https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/templates/publisher/metadata.html#L30
MustHaveRole:Validator,/home/richard/Code/External/doaj3/portality/view/forms.py#L68,https://github.com/DOAJ/doaj/blob/feature/3384_testbook//home/richard/Code/External/doaj3/portality/view/forms.py#L68,,
