Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Test Admin Application Search Interactions
1.1,admin,Go to the DOAJ admin applications search at /admin/applications,"* All available records are found, and the first page of results is shown
* Results are sorted by date applied, oldest first
"
1.2,admin,Open one of the facets of your choice,
1.3,admin,Open and Collapse all the facets on the left,"* The facet opens and closes as expected
* Each facet contains a maximum of 10 values relevant to that field
"
1.4,admin,Select one of the values for that facet,"* All the results for the selected constraints are found, and the first page is shown
* The filter applied is shown in the facets on the left and above the search results
"
1.5,admin,Click the value off in the facet to the left so all values are shown again,"* The search results are reset.
"
1.6,admin,Go through each sort option in the sort option for one facet,"* The order that the filters are listed in changes accordingly
"
1.7,admin,"In each case, click the ""sort by"" button to reverse the direction of sort","* The order that the filters are listed in changes accordingly
"
1.8,admin,"Go through each SORT BY option at the top of the search results, choosing from Relevance, Title, Last updated, Date added  and remembering to change the order from Ascending to Descending","* The current search results change with each selection and are then ordered correctly according to the selected sort field and the selected sort direction
"
1.9,admin,Enter a search term in the search box,"* All the results for the selected constraints are found, and the first page is shown
* Your search text remains in the search box
"
1.10,admin,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly","* If there are search results, the first page is displayed
* If there are no search results, suitable ""No results to display"" text is displayed
"
1.11,admin,Change the number of results on one page using the results per page pulldown,"* The size of the page of results displays increases appropriately
"
1.12,admin,Scroll to the bottom,"* The page size displayed at the end of the search results matches.
"
1.13,admin,"Click the ""Next"" button to go to the next page of results","* The next page of results is displayed
* The ""First"" and ""Prev"" buttons are activated
"
1.14,admin,Scroll to the bottom of the page. Click Next again.,"* The page automatically scrolls to the top of the next page
"
1.15,admin,"Click ""Next"" again",
1.16,admin,"Click ""Prev""","* You are navigated one page forward and then one page back in the results
"
1.17,admin,"Click ""First""","* You are taken to the first page of the results
"
1.18,admin,Click the black X button to clear all filters,"* The interface returns to the initial state
"

2,,Test Admin Application Search Display
2.1,admin,Go to the DOAJ admin application search at /admin/applications,
2.2,admin,"Open the ""Application Status"" facet and select ""Rejected""","* Every result includes the text ""View finished application"" or ""View finished update"" at the bottom
"
2.3,admin,"Click on ""View finished application"" for one of the results","* You are taken to the edit form for the application
* The Quick Reject feature is not available
"
2.4,admin,"Click ""Unlock and Close""",
2.5,admin,"Clear the ""Rejected"" filter and select ""Accepted"" from the ""Application Status"" facet","* Every result includes the text ""View finished application"" or ""View finished update"" at the bottom
"
2.6,admin,"Clear the ""Accepted"" filter and select any other status except ""Rejected"" from the ""Application Status"" facet","* Every result includes the text ""Review application"" or ""Review update"" on the bottom right
"
2.7,admin,"Click on ""Review Application""","* You are taken to the edit form for the application in a new tab
* The Quick Reject feature is available
"
2.8,admin,"Click ""Unlock and Close""",
2.9,admin,"Clear the ""Application Status"" filter",
2.10,admin,"Open the ""Record type"" facet and select ""new application""","* Every result includes the text ""Review application"" on the bottom right
"
2.11,admin,"Clear the ""new application"" filter and select ""update request"" from the ""Record type"" facet","* Every result includes the text ""View journal being updated"" and ""Review update"" at the bottom
* The metadata for each record contains the field ""Update Request For"", and then an alphanumeric ID of a journal
"
2.12,admin,Click on the alphanumeric journal id,"* You are taken to the admin Journal search interface, and there is one result, which is the current journal for that update request
"
2.13,admin,Click back (as many times as needed) in your browser to return to the application search,
2.14,admin,"Click on ""view journal being updated"" on the bottom right of one of your search results","* You are taken to the Journal Form of the journal being updated
"
2.15,admin,"Click ""Unlock and Close""",
2.16,admin,"Click on ""Review update""","* The update request review form is shown
"
2.17,admin,"Click ""Unlock and Close""",
2.18,admin,"Clear the ""Record type"" filter",
2.19,admin,"Open the ""Journal License"" facet and select one of the CC licences","* The ""Journal Licence"" metadata field in each search result has the appropriate CC icon displayed
"

