Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Accept a New Application
1.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
1.2,admin,"Select a new application that can be accepted (e.g. is in a status such as Ready) and click ""Review application""",
1.3,admin,"Complete any required fields, and then change the Application Status to ""Accepted""",
1.4,admin,"Click ""SAVE""","* A flash message indicates that a new journal was created, and links to that journal
* A flash message indicates that the application has been updated-
* A flash message indicates that the journal has been associated with a new or existing user account
* A flash message indicates an email has been sent to the account holder to tell them journal was accepted.
* The Application Status field says ""Accepted"", and a note at the top of the form says ""Please note you cannot edit this application as it has been accepted into the DOAJ.""
"
1.5,admin,"Click the ""Unlock and Close"" button",
1.6,admin,Go to the mailtrap.io inbox for the test environment you are working in,"* There should be a suitable email to the journal owner indicating that their journal has been accepted
* There should be a suitable email to the journal contact indicating that their journal has been accepted
"

2,,Accept an Update Request
2.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
2.2,admin,"Select an update request that can be accepted (e.g. is in a status such as Ready) and click ""Review update""",
2.3,admin,"Complete any required fields, and then change the Application Status to ""Accepted""",
2.4,admin,"Click ""SAVE""","* A flash message indicates that an existing journal was updated and links to that journal
* A flash message indicates that the journal has been associated with an existing user account
* A flash message indicates an email has been sent to the owner of the journal
* The Application Status field says ""Accepted"", and a note at the top of the form says ""Please note you cannot edit this application as it has been accepted into the DOAJ.""
"
2.5,admin,"Click the ""Unlock and Close"" button",
2.6,admin,Go to the mailtrap.io inbox for the test environment you are working in,"* There should be a suitable email to the journal owner indicating that their update request has been accepted
"

3,,Reject a New Application
3.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
3.2,admin,"Select a new application that can be rejected (e.g. is in status Ready) and click ""Review application""",
3.3,admin,"Complete any required fields, and then change the Application Status to ""Rejected""",
3.4,admin,"Click ""SAVE""","* A flash message indicates that the application record was updated
"
3.5,admin,"Click the ""Unlock and Close"" button",
3.6,admin,Go to the mailtrap.io inbox for the test environment you are working in,"* Ensure that there is no email associated with the rejection
"

4,,Reject an Update Request
4.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
4.2,admin,"Select an update request that can be rejected (e.g. is in status Ready) and click ""Review update""",
4.3,admin,"Complete any required fields, and then change the Application Status to ""Rejected""",
4.4,admin,"Click ""SAVE""","* A flash message indicates that an email was sent to the owner of the update request
* A flash message indicates that the application was updated
"
4.5,admin,"Click the ""Unlock and Close"" button",
4.6,admin,Go to the mailtrap.io inbox for the test environment you are working in,"* There should be a suitable email to the journal owner indicating that their update request has been rejected
"

5,,Request Revisions on an Update Request
5.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
5.2,admin,"Select an update request that can be rejected (e.g. is in status Ready) and click ""Review update""",
5.3,admin,"Complete any required fields, and then change the Application Status to ""Revisions Required""",
5.4,admin,"Click ""SAVE""","* A flash message indicates that an email was sent to the owner of the update request
* A flash message indicates that the application was updated
"
5.5,admin,"Click the ""Unlock and Close"" button",
5.6,admin,Go to the mailtrap.io inbox for the test environment you are working in,"* There should be a suitable email to the journal owner indicating that their update request has been rejected
"

