Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Interactions
1.1,editor,Go to Journal Search page at /editor/group_journals,
1.2,editor,"Click ""Edit this journal"" link at the bottom of any journal - note the title of the edited journal for future reference","* Page /editor/journal/<id> is open in a new browser window/tab (<id> is id of the chosen journal)
* Editor Group drop down in Editorial area is disabled and show your group's name
"
1.3,editor,"Click on the ""Assigned to"" drop down in Editorial area","* All editors from your group are available to choose
"
1.4,editor,"Choose any editor from ""Assigned to"" drop down by clicking on his name","* Now chosen editor's name is displayed in ""Assigned"" to field
* Besides ""Editorial"" only ""Basic Journal Information"", ""Subject classification"", ""Quality and Transparency of the Editoria Process"", ""How Open is the Journal"", ""Contact licensing"", ""Copyright and Permissions"" and ""Notes"" areas are displayed to edit
* Note that you cannot change the Editor Group but can assign the journal to different Editor
* All displayed questions are editable
"
1.5,editor,Edit value of one of the fields,
1.6,editor,"Click red ""Save"" button","* Message banner ""Journal updated."" is shown at the top of the page
"
1.7,editor,Click Dismiss at the right of the banner,"* The banner hides
"
1.8,editor,"Click ""Unlock and Close"" button at the top of the application","* You see the message: This record is now unlocked
You may close this tab safely.
"
1.9,editor,Close the tab.,
1.10,editor,Go back to the /editor/group_journals,"* Confirm appropriate data was changed either on search result (you may need to refresh the page to see them applied) or on Journals page at /toc/<id>
"

