Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BN.1,----------,## View Unset Marketing Preferences,----------
BN.1.1.,any,"Go to the ""Accounts"" page",
BN.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## BN.2,----------,## Accept Marketing,----------
BN.2.1.,any,"Go to the ""Accounts"" page",
BN.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
BN.2.2.,any,"select ""I consent...""",
BN.2.3.,any,"Click ""Save Settings""",
BN.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
BN.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## BN.3,----------,## Decline Marketing,----------
BN.3.1.,any,"Go to the ""Accounts"" page",
BN.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
BN.3.2.,any,"Select ""I do not consent""",
BN.3.3.,any,"Click ""Save Settings""",
BN.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
BN.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

