Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Journal Form: ManEd Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,journal_form/maned_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BA.1,----------,## Journal Form Test,----------
Depends on New Application Form,,,
Depends on Continuations,,,
BA.1.1.,admin,Go to admin journal search page at /admin/journals,
BA.1.2.,admin,"From the facet ""In DOAJ?"" on the left choose True",
BA.1.3.,admin,"Click ""Edit this journal"" link at the bottom of any journal - note the id of the edited journal for future reference",
BA.1.3.1.,admin,,Page /admin/journal/<id> is open in a new browser window/tab (<id> is id of the chosen journal)
BA.1.3.2.,admin,,All the field are initially filled in with correct values
BA.1.4.,admin,"Click red ""Withdraw"" button at the top of the functions panel on the right",
BA.1.4.1.,admin,,Message pop-up appears over the page asking you to confirm if you want to withdraw the journal and shows you the journal's ID.
BA.1.5.,admin,Click Close,
BA.1.5.1.,admin,,The box closes and nothing else has changed.
BA.1.6.,admin,Click Withdraw again and click Withdraw in the pop-up,
BA.1.6.1.,admin,,You see a flash message at the top which says Job to withdraw/reinstate journal has been submitted
BA.1.7.,admin,Click link to the background jobs interface in the banner,
BA.1.7.1.,admin,,The set_in_doaj background job is created
BA.1.8.,admin,"Click ""More Information""",
BA.1.8.1.,admin,,set_in_doaj__journal_ids parameter contains correct journal id and set_in_doaj__in_doaj -- false parameter is set
BA.1.9.,admin,Close the background jobs window,
BA.1.10.,admin,"Click ""Unlock and Close"" button at the top of the application",
BA.1.10.1.,admin,,"You see the message: This record is now unlocked
You may close this tab safely."
BA.1.10.2.,admin,,Close the tab.
BA.1.11.,admin,Go back to the admin search page,
BA.1.12.,admin,"From the facet ""In DOAJ?"" on the left choose False",
BA.1.13.,admin,"Click ""Edit this journal"" link at the bottom of any journal - note the id of the edited journal for future reference",
BA.1.13.1.,admin,,Page /admin/journal/<id> is open in a new browser window/tab (<id> is id of the chosen journal)
BA.1.14.,admin,"Click ""Reinstate"" button at the top of the functions panel on the right",
BA.1.14.1.,admin,,Message banner appears at the top of the page with the confirmation
BA.1.15.,admin,Click link to the background jobs interface in the banner,
BA.1.15.1.,admin,,The set_in_doaj background job is created
BA.1.16.,admin,"Click ""More Information""",
BA.1.16.1.,admin,,set_in_doaj__journal_ids parameter contains correct journal id and set_in_doaj__in_doaj -- true parameter is set
BA.1.17.,admin,Close the background jobs window,
BA.1.18.,admin,Close the journal form and go back to the admin search page,
BA.1.19.,admin,"Click ""Edit this journal"" link at the bottom of any journal - note the title of the edited journal for future reference",
BA.1.20.,admin,Open Editorial Area -> Editor Group dropdown and start writing the name of the Editor Group,
BA.1.20.1.,admin,,After initial 3 characters the list of matching Editor Group names are displayed
BA.1.21.,admin,Choose any Editor Group name,
BA.1.22.,admin,"Repeat steps for ""Assigned to"" drop-down",
BA.1.23.,admin,"Click red ""Save"" button below",
BA.1.23.1.,admin,,"Message banner  ""Journal updated"" is displayed and additional ones with information about emails sent"
BA.1.24.,admin,Go to Notes section at the very bottom of the functions panel on the right,
BA.1.25.,admin,"Click ""Notes"" red button",
BA.1.25.1.,admin,,New note section appears below
BA.1.26.,admin,Put any text in the note text area,
BA.1.27.,admin,"Click red ""Save"" button",
BA.1.27.1.,admin,,"Banner appears at the top of the page ""Journal updated"""
BA.1.28.,admin,Click 'Dismiss' at the right end of the banner,
BA.1.28.1.,admin,,Banner is dismissed
BA.1.28.2.,admin,,"In the ""Notes"" section next to your added note the date field is filled in with correct date and time"
----------,----------,----------,----------

----------,----------,----------,----------
## BA.2,----------,## Note features for admin,----------
BA.2.1.,admin,"Prepare two admin accounts (admin1 and admin2), they both can access to the same journal (e.g. /admin/journal/1234)",
BA.2.2.,admin,Login as `admin1`,
BA.2.3.,admin,Go to Journal page at `/editor/journal/1234`,
BA.2.4.,admin,"Click ""ADD"" button in ""Notes"" area",
BA.2.4.1.,admin,,New note UI is displayed for you to fill in
BA.2.5.,admin,Fill in the note,
BA.2.6.,admin,"Click ""Save"" button",
BA.2.6.1.,admin,,The note is saved and displayed in the list of notes
BA.2.6.2.,admin,,you username and user id will be showed on that note
BA.2.6.3.,admin,,the date and time you created the note will be shown
BA.2.7.,admin,Click into the note field and edit the note,
BA.2.7.1.,admin,,The note is editable
BA.2.8.,admin,"Click ""Remove"" underneath the note",
BA.2.8.1.,admin,,The note is deleted
BA.2.9.,admin,Create a new note as per the above steps,
BA.2.10.,admin,Switch to other associate editor account `admin2`,
BA.2.11.,admin,Go to Journal page at `/editor/journal/1234`,
BA.2.11.1.,admin,,You can see the note that you have created before with `admin1`
BA.2.12.,admin,Attempt to click into the note area and edit it,
BA.2.12.1.,admin,,you are unable to edit the note
BA.2.13.,admin,"Attempt to click the ""Remove"" button",
BA.2.13.1.,admin,,You are unable to delete the note
----------,----------,----------,----------

