Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# New Application Form: ManEd Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,new_application_form/maned_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BC.1,----------,## Form Overview,----------
BC.1.1.,admin,Go to the admin Applications search at /admin/applications,
BC.1.2.,admin,"Select an application that is not in the ""Accepted"" or ""Rejected"" state, and click ""Review application""",
BC.1.2.1.,admin,,The managing editor view application form is displayed
BC.1.2.2.,admin,,"""Unlock and Close"" is available"
BC.1.2.3.,admin,,The Quick Reject feature is available
BC.1.2.4.,admin,,The ability to assign to an editor group and associate editor is available
BC.1.2.5.,admin,,"A ""SAVE"" button is available"
BC.1.2.6.,admin,,"Status, Re-assign publisher account, Continuation Information and Subject Classification sections are available"
BC.1.2.7.,admin,,Award the Seal is available
BC.1.2.8.,admin,,The main application form questions are available
BC.1.2.9.,admin,,The Notes section is available
BC.1.3.,admin,Assign an editor group,
BC.1.3.1.,admin,,"The ""Group"" pull-down asks you to type three characters."
BC.1.4.,admin,Choose any group,
BC.1.4.1.,admin,,The associate editors and editor are shown in the Individual dropdown
BC.1.5.,admin,"Select an editor from the ""Individual"" pull-down",
BC.1.5.1.,admin,,The editor is selected
BC.1.6.,admin,"Unset the Editor Group using the grey ""X"" in the ""Editor Group"" pull-down box",
BC.1.6.1.,admin,,The editor group and associate editor are removed
BC.1.7.,admin,Assign a new editor group and associate editor,
BC.1.8.,admin,Expand the tree and browse for values below the top level,
BC.1.8.1.,admin,,Assign two subject classifications.
BC.1.9.,admin,Start typing a subject in the subject search box,
BC.1.9.1.,admin,,Assign one subject that way
BC.1.10.,admin,Assign an owner to the application,
BC.1.11.,admin,Make a superficial modification to the application metadata,
BC.1.12.,admin,"Click ""Add new note"" and enter some text into the new note textarea",
BC.1.13.,admin,"Click ""SAVE""",
BC.1.13.1.,admin,,A message tells you that you cannot save the application because it contains some invalid fields
BC.1.13.2.,admin,,The form scrolls you down to a question which has a missing answer.
BC.1.14.,admin,Complete the question with the missing answer and 'Save',
BC.1.14.1.,admin,,A message at the top of the form tells you that you can only choose one or two subject classifications
BC.1.15.,admin,Remove one subject classification and 'Save',
BC.1.15.1.,admin,,The form saves
BC.1.15.2.,admin,,"The changes you applied, both to the form, and in the functionality box, have been saved"
BC.1.15.3.,admin,,The form saved without requiring answers to the ORCiD and I4OA questions.
BC.1.16.,admin,"Click ""Unlock and Close""",
BC.1.16.1.,admin,,"The page closes, and you are able to return to the search interface"
----------,----------,----------,----------

----------,----------,----------,----------
## BC.2,----------,## Note features for admin,----------
BC.2.1.,admin,"Prepare two admin accounts (admin1 and admin2), they both can access to the same Application (e.g. /admin/application/1234)",
BC.2.2.,admin,Login as `admin1`,
BC.2.3.,admin,Go to Application page at `/admin/application/1234`,
BC.2.4.,admin,"Click ""ADD"" button in ""Notes"" area",
BC.2.4.1.,admin,,New note UI is displayed for you to fill in
BC.2.5.,admin,Fill in the note,
BC.2.6.,admin,"Click ""Save"" button",
BC.2.6.1.,admin,,The note is saved and displayed in the list of notes
BC.2.6.2.,admin,,you username and user id will be showed on that note
BC.2.6.3.,admin,,the date and time you created the note will be shown
BC.2.7.,admin,Click into the note field and edit the note,
BC.2.7.1.,admin,,The note is editable
BC.2.8.,admin,"Click ""Remove"" underneath the note",
BC.2.8.1.,admin,,The note is deleted
BC.2.9.,admin,Create a new note as per the above steps,
BC.2.10.,admin,Switch to other associate editor account `admin2`,
BC.2.11.,admin,Go to Application page at `/editor/application/1234`,
BC.2.11.1.,admin,,You can see the note that you have created before with `admin1`
BC.2.12.,admin,Attempt to click into the note area and edit it,
BC.2.12.1.,admin,,you are unable to edit the note
BC.2.13.,admin,"Attempt to click the ""Remove"" button",
BC.2.13.1.,admin,,You are unable to delete the note
----------,----------,----------,----------

