Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# New Application Form: Publisher's Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,new_application_form/publishers_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BE.1,----------,## PAGE 1 - Open access compliance,----------
BE.1.1.,publisher,Go to the application form,
BE.1.2.,publisher,Click the question mark next to the questions.,
BE.1.2.1.,publisher,,"A pop-up help box appears
You can click the link in the help box"
BE.1.3.,publisher,Click close,
BE.1.3.1.,publisher,,The pop-up box disappears
BE.1.4.,publisher,Click Next,
BE.1.5.,publisher,Click Yes on the first question,
BE.1.5.1.,publisher,,The error message disappears
BE.1.6.,publisher,Click No on the first question,
BE.1.6.1.,publisher,,You see the error message: 'DOAJ only indexes open access journals which comply with the statement above. Please check and update the open access statement of your journal. You may return to this application at any time.'
BE.1.7.,publisher,Click Yes on the first question,
BE.1.7.1.,publisher,,The error message disappears
BE.1.8.,publisher,Type XXX into the box for question 2,
BE.1.8.1.,publisher,,The error message changes: 'This value should be a valid URL'
BE.1.9.,publisher,Type https://doaj.org into the box,
BE.1.9.1.,publisher,,The URL is shown underneath the box and is clickable
BE.1.10.,publisher,Click Next,
BE.1.10.1.,publisher,,An error message appears under the last questions indicating that you must answer them
BE.1.11.,publisher,Type 1800,
BE.1.12.,publisher,Click Next,
BE.1.12.1.,publisher,,You see the error message: 'OA Start Date must be a year in a 4 digit format (eg. 1987) and must be bigger than 1900 but smaller than current year'
BE.1.13.,publisher,Type 2100,
BE.1.14.,publisher,Click Next,
BE.1.14.1.,publisher,,You see the error message: 'OA Start Date must be a year in a 4 digit format (eg. 1987) and must be bigger than 1900 but smaller than current year'
BE.1.15.,publisher,Type 1800,
BE.1.16.,publisher,Click Next,
BE.1.16.1.,publisher,,"You're taken to the ""About"" page"
----------,----------,----------,----------

----------,----------,----------,----------
## BE.2,----------,## PAGE 2 - About,----------
BE.2.1.,publisher,Check the application progress Menu at the right,
BE.2.1.1.,publisher,,"1st page marked with a tick, 2nd tab marked orange as active"
BE.2.2.,publisher,Click on the (1) in the application progress menu,
BE.2.2.1.,publisher,,You're taken to the first tab
BE.2.3.,publisher,"Create an error (eg. Change the answer to the 1st question to ""No"")",
BE.2.4.,publisher,Click on the (2) in the application progress menu,
BE.2.4.1.,publisher,,"You're taken to the 2nd tab, 1st tab is marked red as containing invalid answers"
BE.2.5.,publisher,"Click ""Back"" at the bottom of 2nd tab",
BE.2.5.1.,publisher,,You're taken to the 1st tab
BE.2.6.,publisher,Change the answer to Yes,
BE.2.7.,publisher,Scroll to the bottom and click Next,
BE.2.7.1.,publisher,,"Journal Title, Link to the journal's homepage, ISSN, Keywords, Languages, Publisher's name and country - marked as required"
BE.2.8.,publisher,Fill in the title field and the homepage URL,
BE.2.9.,publisher,In the ISSN (print) field add xxxx-xxxx,
BE.2.9.1.,publisher,,You see the error message: 'This value seems to be invalid'
BE.2.10.,publisher,Repeat in the ISSN (online) field,
BE.2.10.1.,publisher,,You see the same error message
BE.2.11.,publisher,Enter the same ISSN in both fields,
BE.2.11.1.,publisher,,You see the error message: The value of this field and the ISSN (print) field must be different.
BE.2.12.,publisher,Change the value of one ISSN,
BE.2.12.1.,publisher,,All error messages clear.
BE.2.12.2.,publisher,,Under both ISSN fields the link to 'https://portal.issn.org/resource/ISSN/<issn>' is displayed
BE.2.13.,publisher,Add keywords,
BE.2.13.1.,publisher,,"As you type, you see suggestions in a list below the box"
BE.2.14.,publisher,Select a suggestion,
BE.2.14.1.,publisher,,It is added to the box
BE.2.15.,publisher,Add 7 keywords,
BE.2.15.1.,publisher,,"As you write the 7th keyword, you see the message: You can only select 6 items"
BE.2.16.,publisher,Click on the X in two keywords,
BE.2.16.1.,publisher,,They disappear
BE.2.17.,publisher,Click in the languages box,
BE.2.17.1.,publisher,,You can start to type and suggested languages appear
BE.2.18.,publisher,Select and language and then click the arrow next to it,
BE.2.18.1.,publisher,,A dropdown list of all available languages appears.
BE.2.19.,publisher,Click Add Another,
BE.2.19.1.,publisher,,Another language field appears
BE.2.20.,publisher,Click the X next to it,
BE.2.20.1.,publisher,,It disappears
BE.2.21.,publisher,"Repeat steps X to X for the Publisher's Name, Country, Society name, Country",
BE.2.22.,publisher,"Delete the values from Society name and country, click Next",
BE.2.22.1.,publisher,,You can submit the page without providing answers to optional questions.
----------,----------,----------,----------

----------,----------,----------,----------
## BE.3,----------,## PAGE 3 - Copyright & licensing,----------
BE.3.1.,publisher,Check the application progress Menu at the right,
BE.3.1.1.,publisher,,"1st and 2nd pages marked with a tick, 3rd page is marked orange as active"
BE.3.2.,publisher,Select 3 of the CC licenses,
BE.3.2.1.,publisher,,You can select multiple items
BE.3.3.,publisher,"With a CC license selected, choose Publisher's own license",
BE.3.3.1.,publisher,,"The CC license deselects automatically and the ""attributes"" choices appear."
BE.3.4.,publisher,Choose some attributes and try to click on a CC license,
BE.3.4.1.,publisher,,The checkboxes are inactive
BE.3.5.,publisher,Unclick Publisher own license,
BE.3.5.1.,publisher,,"""Attributes"" question disappears and you can select a CC license"
BE.3.6.,publisher,Embedded licences: click Yes,
BE.3.6.1.,publisher,,The URL field appears.
BE.3.7.,publisher,Click No,
BE.3.7.1.,publisher,,The URL field disappears
BE.3.8.,publisher,Scroll to the bottom and click the Previous button,
BE.3.8.1.,publisher,,You are taken to Page 2.
BE.3.9.,publisher,ClickPage 3 Copyright & licensing on the progress bar,
BE.3.9.1.,publisher,,You are taken back to Page 3 and your answers are preserved.
BE.3.10.,publisher,Complete all fields and click Next,
----------,----------,----------,----------

----------,----------,----------,----------
## BE.4,----------,## PAGE 4 - Editorial,----------
BE.4.1.,publisher,Click on 2 or 3 types of peer review,
BE.4.1.1.,publisher,,You can select multiple values
BE.4.2.,publisher,Click Other,
BE.4.2.1.,publisher,,The box 'Other peer review' appears
BE.4.3.,publisher,Unclick Other,
BE.4.3.1.,publisher,,It disappears
BE.4.4.,publisher,Plagiraism: click Yes,
BE.4.4.1.,publisher,,The URL box appears
BE.4.5.,publisher,"Write a number in the Average weeks box,",
BE.4.5.1.,publisher,,You can use the arrows at the side to increase or decrease the number
BE.4.6.,publisher,"Complete the rest of the page, click Next",
----------,----------,----------,----------

----------,----------,----------,----------
## BE.5,----------,## PAGE 5 - Business model,----------
BE.5.1.,publisher,"APC question, click Yes",
BE.5.1.1.,publisher,,The 'Highest APC charged' fields appear.
BE.5.2.,publisher,Click No,
BE.5.2.1.,publisher,,The boxes disappear but the URL fields remains
