Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Public Site: Public Search,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,public_site/public_search,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BH.1,----------,## Test Public Search Interactions,----------
BH.1.1.,anonymous,Go to the DOAJ journal search page at /search/journals,
BH.1.1.1.,anonymous,,"All available records are found, and the first page of 50 results is shown"
BH.1.1.2.,anonymous,,Only journals are shown.
BH.1.1.3.,anonymous,,Only facets relevant to journals appear on the left
BH.1.2.,anonymous,Change the results per page from 50 to 100 and back again,
BH.1.2.1.,anonymous,,The number of journals on the page increases and decreases and the number of pages changes
BH.1.3.,anonymous,Choose filters on the left (one or more at the time),
BH.1.3.1.,anonymous,,Search results adjust accordingly
BH.1.3.2.,anonymous,,The number of search results changes. You can still select values from other facets and filters
BH.1.3.3.,anonymous,,The filters you have selected appear as black lozenges at the top of the search results
BH.1.4.,anonymous,Open and Collapse all the facets on the left,
BH.1.4.1.,anonymous,,The facet opens and closes as expected
BH.1.4.2.,anonymous,,Each facet contains a maximum of 40 values relevant to that field
BH.1.4.3.,anonymous,,No facet contains results with count 0
BH.1.5.,anonymous,Select one or more values in one facet,
BH.1.5.1.,anonymous,,The number of search results changes. You can still select values from other facets
BH.1.5.2.,anonymous,,The values you have selected appear as black lozenges at the top of the search results
BH.1.6.,anonymous,Click away the black lozenge(s),
BH.1.6.1.,anonymous,,Search results adjust accordingly
BH.1.6.2.,anonymous,,The value deselects in the left-hand column
BH.1.7.,anonymous,Open and Collapse all the new facets on the left,
BH.1.7.1.,anonymous,,The facet opens and closes as expected
BH.1.7.2.,anonymous,,Each facet contains all the values for that field in a scrollable list.
BH.1.8.,anonymous,"Select ""Articles"" from the Search menu",
BH.1.8.1.,anonymous,,"All available article records are found, and the first page is shown"
BH.1.8.2.,anonymous,,"New facets appear on the left, that are relevant only to Articles"
BH.1.9.,anonymous,Open and Collapse all the new facets on the left,
BH.1.9.1.,anonymous,,The facet opens and closes as expected
BH.1.9.2.,anonymous,,Each facet contains all the values for that field in a scrollable list.
BH.1.10.,anonymous,Switch back to 'Journals' in the top nav,
BH.1.11.,anonymous,Open the Journal License Facet,
BH.1.12.,anonymous,Select one of the CC licenses available,
BH.1.12.1.,anonymous,,"All the results for the selected constraints are found, and the first page is shown"
BH.1.13.,anonymous,"Click ""Share | Embed"" in the search navigation bar",
