Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Quick Reject: Quick Reject Feature,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,quick_reject/quick_reject_feature,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BN.1,----------,## Edit a Rejected Application,----------
BN.1.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BN.1.2.,admin,"Select a ""Rejected"" application (e.g. by selecting ""Rejected"" from the ""Application Status"" facet on the left), and click ""View finished application""",
BN.1.2.1.,admin,,The applicaiton review page is shown
BN.1.2.2.,admin,,"The application is in status ""Rejected"""
BN.1.2.3.,admin,,"There is no ""Quick Reject"" button shown on the page"
BN.1.3.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BN.2,----------,## Edit an Accepted Application,----------
BN.2.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BN.2.2.,admin,"Select an ""Accepted"" application (e.g. by selecting ""Accepted"" from the ""Application Status"" facet on the left), and click  ""View finished application""",
BN.2.2.1.,admin,,The applicaiton review page is shown
BN.2.2.2.,admin,,"The application is in status ""Accepted"""
BN.2.2.3.,admin,,"There is no ""Quick Reject"" button shown on the page"
BN.2.3.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BN.3,----------,## Select a pre-determined reject reason only,----------
BN.3.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BN.3.2.,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application",
BN.3.2.1.,admin,,The applicaiton review page is shown
BN.3.2.2.,admin,,"The ""Quick Reject"" feature is shown above the application form"
BN.3.3.,admin,"Select a reason for rejection from the pull-down menu.  Select any reason except ""Other"".  Do not enter any text in the additional information box",
BN.3.4.,admin,"click ""Quick Reject""",
BN.3.4.1.,admin,,"A flash message containing the text ""This application was rejected with the reason 'X'"" is displayed, where X is the reason you selected for rejection."
BN.3.4.2.,admin,,"A flash message containing the text ""Sent email to 'X' to tell them that their journal application was rejected"" is displayed, where X is the journal contact"
BN.3.4.3.,admin,,The applicaiton review page is shown
BN.3.4.4.,admin,,"The application is in status ""Rejected"""
BN.3.4.5.,admin,,"There is no ""Quick Reject"" button shown on the page"
BN.3.4.6.,admin,,"There is a note attached to the application at the current date/time which contains the text ""[User name:] This application was rejected with the reason 'X'"" is displayed, where X is the reason you selected for rejection."
BN.3.5.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BN.4,----------,## Select a pre-determined reject reason and add custom text,----------
BN.4.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BN.4.2.,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application",
BN.4.2.1.,admin,,The applicaiton review page is shown
BN.4.2.2.,admin,,"The ""Quick Reject"" feature is shown above the application form"
BN.4.3.,admin,"Select a reason for rejection from the pull-down menu.  Select any reason except ""Other"".",
BN.4.4.,admin,Enter some free-text in the additional information box,
BN.4.5.,admin,"click ""Quick Reject""",
BN.4.5.1.,admin,,"A flash message containing the text ""This application was rejected with the reason 'X - Y'"" is displayed, where X is the reason you selected for rejection, and Y is the free text you entered"
BN.4.5.2.,admin,,"A flash message containing the text ""Sent email to 'X' to tell them that their journal application was rejected"" is displayed, where X is the journal contact"
BN.4.5.3.,admin,,The applicaiton review page is shown
BN.4.5.4.,admin,,"The application is in status ""Rejected"""
BN.4.5.5.,admin,,"There is no ""Quick Reject"" button shown on the page"
BN.4.5.6.,admin,,"There is a note attached to the application at the current date/time which contains the text ""This application was rejected with the reason 'X - Y'"" is displayed, where X is the reason you selected for rejection, and Y is the free text you entered"
BN.4.6.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BN.5,----------,## Provide a custom rejection reason,----------
BN.5.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BN.5.2.,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application",
BN.5.2.1.,admin,,The applicaiton review page is shown
BN.5.2.2.,admin,,"The ""Quick Reject"" feature is shown above the application form"
BN.5.3.,admin,"Select ""Other"" from the pull-down menu of reasons for rejection",
BN.5.4.,admin,Enter some free-text in the additional information box,
BN.5.5.,admin,"click ""Quick Reject""",
BN.5.5.1.,admin,,"A flash message containing the text ""This application was rejected with the reason 'Y'"" is displayed, where Y is the free text you entered"
