Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BP.1,----------,## View Unset Marketing Preferences,----------
BP.1.1.,any,"Go to the ""Accounts"" page",
BP.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## BP.2,----------,## Accept Marketing,----------
BP.2.1.,any,"Go to the ""Accounts"" page",
BP.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
BP.2.2.,any,"select ""I consent...""",
BP.2.3.,any,"Click ""Save Settings""",
BP.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
BP.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## BP.3,----------,## Decline Marketing,----------
BP.3.1.,any,"Go to the ""Accounts"" page",
BP.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
BP.3.2.,any,"Select ""I do not consent""",
BP.3.3.,any,"Click ""Save Settings""",
BP.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
BP.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

