Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: User Management,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/user_management,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BQ.1,----------,## Create a new user,----------
BQ.1.1.,admin,Go to the user search in admin at /account,
BQ.1.2.,admin,"Click ""create new user"" in the top left",
BQ.1.2.1.,admin,,You are taken to the new user form
BQ.1.2.2.,admin,,"The ""api"" role and ""publisher"" role are pre-filled in the Roles field."
BQ.1.2.3.,admin,,The ID box is prefilled with an alphanumeric value
BQ.1.3.,admin,"Click in the ""Roles"" field",
BQ.1.3.1.,admin,,A pull-down menu appears with all the allowed roles
BQ.1.4.,admin,Click in the 'ID' field,
BQ.1.4.1.,admin,,It is editable
BQ.1.4.2.,admin,,Change the ID to something memorable
BQ.1.5.,admin,Enter test values into each field in the form,
BQ.1.6.,admin,"Click ""Create User""",
BQ.1.6.1.,admin,,You are taken back to the /account
BQ.1.6.2.,admin,,You see a message  Debug mode - url for verify is /account/reset/f1b6b123b5f34cd0aa81807a90a096f2
BQ.1.6.3.,admin,,/account/reset/f1b6b123b5f34cd0aa81807a90a096f2 is a link and is clickable DO NOT CLICK IT YET
BQ.1.6.4.,admin,,You see a message ' Account created for dom+test5@doaj.org. View Account: /account/testingID'
BQ.1.6.5.,admin,,/account/testingID is a link and is clickable DO NOT CLICK IT YET
BQ.1.6.6.,admin,,The ID (/testerID in the example above) matches the ID you chose on line 11
BQ.1.7.,admin,Click on the link that starts: Debug mode - url for verify is...,
BQ.1.7.1.,admin,,You are taken to the page to set a password
BQ.1.7.2.,admin,,You see the name of your user at the top
BQ.1.8.,admin,Enter different values into each password field,
BQ.1.9.,admin,"Click ""Update""",
BQ.1.9.1.,admin,,You see an error message requiring that the passwords match
BQ.1.10.,admin,Enter matching passwords into the password fields,
BQ.1.11.,admin,"Click ""Update""",
BQ.1.11.1.,admin,,You are redirected to the home page
BQ.1.11.2.,admin,,There is a flash message that says:  New password has been set and you're now logged in.
BQ.1.12.,admin,Log out,
BQ.1.13.,admin,Log back in with your Admin account,
BQ.1.14.,admin,Go back to /account/,
BQ.1.15.,admin,Enter the *name* of your test user into the search box,
BQ.1.15.1.,admin,,Your new user is listed as the only result in the search
BQ.1.15.2.,admin,,The user has all the properties as you specified them in the form
BQ.1.15.3.,admin,,The user's account created and last modified dates are correct
BQ.1.16.,admin,Clear your search,
BQ.1.17.,admin,Enter the *ID* of your test user into the search box,
BQ.1.17.1.,admin,,Your new user is listed as the only result in the search
BQ.1.17.2.,admin,,The user has all the properties as you specified them in the form
BQ.1.17.3.,admin,,The user's account created and last modified dates are correct
----------,----------,----------,----------

----------,----------,----------,----------
## BQ.2,----------,## Edit your own user account (publisher),----------
BQ.2.1.,publisher,Log in to your publisher account,
BQ.2.2.,publisher,Go to Settings under My Account,
BQ.2.2.1.,publisher,,Your account page is shown
BQ.2.2.2.,publisher,,Your ID and email address are displayed
BQ.2.2.3.,publisher,,You can see your user roles but you cannot edit them
BQ.2.3.,publisher,"Modify your name and click ""Update Account""",
BQ.2.3.1.,publisher,,You receive a flash message saying your record is updated
BQ.2.3.2.,publisher,,Your name has been updated
BQ.2.4.,publisher,"Modify your email address to one which is already in use in the system and click ""Update Account""",
BQ.2.4.1.,publisher,,You see a warning at the top which says: Are you sure you want to change your email address? You will be logged out + will need to verify your account again.
BQ.2.5.,publisher,Click OK,
BQ.2.5.1.,publisher,,You see an error message under 'Email address': Email address is already in use
BQ.2.6.,publisher,Modify the email address to a new one which does not exist and click Update Account,
BQ.2.6.1.,publisher,,You see a warning at the top which says: Are you sure you want to change your email address? You will be logged out + will need to verify your account again.
BQ.2.7.,publisher,Click OK,
BQ.2.7.1.,publisher,,You are logged out and are taken to the home page
BQ.2.7.2.,publisher,,You see a message which says: Email address updated. You have been logged out for email address verification.
BQ.2.7.3.,publisher,,You see a message which says:  Debug mode - url for reset is /account/reset/39494d7f170f41439323dfa8cf8d392d
BQ.2.8.,publisher,Click  Debug mode - url for reset is /account/reset/39494d7f170f41439323dfa8cf8d392d and set a new password,
BQ.2.8.1.,publisher,,You are taken back to the home page and you are logged in
BQ.2.8.2.,publisher,,You see a message 'New password has been set and you're now logged in.'
BQ.2.9.,publisher,Go back to Settings under My Account,
BQ.2.9.1.,publisher,,Your new email address is stored
BQ.2.10.,publisher,"Click ""Generate a new API Key""",
BQ.2.10.1.,publisher,,Your API Key at the top of the page is updated
BQ.2.10.2.,publisher,,You receive a flash message saying your record is updated and the API key has changed
BQ.2.11.,publisher,"Enter mismatched passwords into the ""Change your password"" boxes and click ""Update Account""",
BQ.2.11.1.,publisher,,You receive an error warning 'Passwords must match'
BQ.2.12.,publisher,"Enter matching passwords into the ""Change your password"" boxes and click ""Update""",
