PublicDataDump:WebRoute,,,cms/data/nav.yml#L25,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/cms/data/nav.yml#L25
Notes:Feature,,,portality/forms/application_forms.py#L2504; portality/forms/application_forms.py#L2517,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/forms/application_forms.py#L2504; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/forms/application_forms.py#L2517
ConsentCookie:Feature,,,portality/settings.py#L258,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/settings.py#L258
ApplicationGuide:WebRoute,,,cms/data/nav.yml#L75,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/cms/data/nav.yml#L75
Article:Model,,,docs/system/OPENURL.md#L88; docs/system/OPENURL.md#L148; portality/upgrade.py#L18; portality/settings.py#L652; portality/settings.py#L662; portality/settings.py#L696; portality/settings.py#L828; portality/bll/services/article.py#L336; portality/forms/article_forms.py#L530; portality/api/current/discovery.py#L294; portality/api/current/data_objects/article.py#L277; portality/api/current/data_objects/article.py#L291; portality/crosswalks/article_doaj_xml.py#L123; portality/crosswalks/article_crossref_xml.py#L164; portality/crosswalks/article_form.py#L6; cms/pages/docs/widgets.md#L11,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/docs/system/OPENURL.md#L88; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/docs/system/OPENURL.md#L148; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/upgrade.py#L18; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/settings.py#L652; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/settings.py#L662; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/settings.py#L696; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/settings.py#L828; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/bll/services/article.py#L336; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/forms/article_forms.py#L530; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/api/current/discovery.py#L294; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/api/current/data_objects/article.py#L277; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/api/current/data_objects/article.py#L291; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/crosswalks/article_doaj_xml.py#L123; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/crosswalks/article_crossref_xml.py#L164; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/crosswalks/article_form.py#L6; https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/cms/pages/docs/widgets.md#L11
BatchCreateArticles:Feature,,,portality/api/current/bulk/articles.py#L55,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/api/current/bulk/articles.py#L55
PeerReview:FieldSet,portality/forms/application_forms.py#L1951,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/forms/application_forms.py#L1951,portality/forms/application_forms.py#L1951,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/forms/application_forms.py#L1951
Atom:WebRoute,,,cms/data/nav.yml#L111,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/cms/data/nav.yml#L111
ReadOnlyJournal:FormProcessor,portality/forms/application_processors.py#L967,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/forms/application_processors.py#L967,portality/forms/application_forms.py#L2262,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/forms/application_forms.py#L2262
Kibana:Technology,,,deploy/kibana_machine/README.md#L3,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/deploy/kibana_machine/README.md#L3
AdminJournalsSearch:Feature,portality/static/js/edges/admin.journals.edge.js#L1,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/portality/static/js/edges/admin.journals.edge.js#L1,doajtest/testbook/administrative_search/journals.yml#L1,https://github.com/DOAJ/doaj/blob/feature/3543_applicants_info_position_and_email_header_change/doajtest/testbook/administrative_search/journals.yml#L1
