Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# New Application Form: Publisher's Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,new_application_form/publishers_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BG.1,----------,## PAGE 1 - Open access compliance,----------
BG.1.1.,publisher,Go to the application form,
BG.1.2.,publisher,Click the question mark next to the questions.,
BG.1.2.1.,publisher,,A pop-up help box appears 'You can click the link in the help box'
BG.1.3.,publisher,Click close,
BG.1.3.1.,publisher,,The pop-up box disappears
BG.1.4.,publisher,Click Next,
BG.1.5.,publisher,Click Yes on the first question,
BG.1.5.1.,publisher,,The error message disappears
BG.1.6.,publisher,Click No on the first question,
BG.1.6.1.,publisher,,You see the error message: 'DOAJ only indexes open access journals which comply with the statement above. Please check and update the open access statement of your journal. You may return to this application at any time.'
BG.1.7.,publisher,Click Yes on the first question,
BG.1.7.1.,publisher,,The error message disappears
BG.1.8.,publisher,Type XXX into the box for question 2,
BG.1.8.1.,publisher,,The error message changes: 'This value should be a valid URL'
BG.1.9.,publisher,Type https://doaj.org into the box,
BG.1.9.1.,publisher,,The URL is shown underneath the box and is clickable
BG.1.10.,publisher,Click Next,
BG.1.10.1.,publisher,,An error message appears under the last questions indicating that you must answer them
BG.1.11.,publisher,Type 1800,
BG.1.12.,publisher,Click Next,
BG.1.12.1.,publisher,,You see the error message: 'This value should be between 1900 and 2023'
BG.1.13.,publisher,Type 2100,
BG.1.14.,publisher,Click Next,
BG.1.14.1.,publisher,,You see the error message: 'This value should be between 1900 and 2023'
BG.1.15.,publisher,Type 2000,
BG.1.16.,publisher,Click Next,
BG.1.16.1.,publisher,,"You're taken to the ""About"" page"
----------,----------,----------,----------

----------,----------,----------,----------
## BG.2,----------,## PAGE 2 - About,----------
BG.2.1.,publisher,Check the application progress Menu at the right,
BG.2.1.1.,publisher,,"1st page marked with a tick, 2nd tab marked orange as active"
BG.2.2.,publisher,Click on the (1) in the application progress menu,
BG.2.2.1.,publisher,,You're taken to the first tab
BG.2.3.,publisher,"Create an error (eg. Change the answer to the 1st question to ""No"")",
BG.2.4.,publisher,Click on the (2) in the application progress menu,
BG.2.4.1.,publisher,,"You're taken to the 2nd tab, 1st tab is marked red as containing invalid answers"
BG.2.5.,publisher,"Click ""Back"" at the bottom of 2nd tab",
BG.2.5.1.,publisher,,You're taken to the 1st tab
BG.2.6.,publisher,Change the answer to Yes,
BG.2.7.,publisher,Scroll to the bottom and click Next,
BG.2.7.1.,publisher,,"Journal Title, Link to the journal's homepage, ISSN, Keywords, Languages, Publisher's name and country - marked as required"
BG.2.8.,publisher,Fill in the title field and the homepage URL,
BG.2.9.,publisher,In the ISSN (print) field add xxxx-xxxx,
BG.2.9.1.,publisher,,You see the error message: 'This is not a valid ISSN'
BG.2.10.,publisher,Repeat in the ISSN (online) field,
BG.2.10.1.,publisher,,You see the same error message
BG.2.11.,publisher,Enter the same ISSN in both fields,
BG.2.11.1.,publisher,,You see the error message: Value of this field and pissn field must be different
BG.2.12.,publisher,Change the value of one ISSN,
BG.2.12.1.,publisher,,All error messages clear.
BG.2.12.2.,publisher,,Under both ISSN fields the link to 'https://portal.issn.org/resource/ISSN/<issn>' is displayed
BG.2.13.,publisher,Add keywords,
BG.2.13.1.,publisher,,"As you type, you see suggestions in a list below the box"
BG.2.14.,publisher,Select a suggestion,
BG.2.14.1.,publisher,,It is added to the box
BG.2.15.,publisher,Add 7 keywords,
BG.2.15.1.,publisher,,"As you write the 7th keyword, you see the message: You can only select 6 items"
BG.2.16.,publisher,Click on the X in two keywords,
BG.2.16.1.,publisher,,They disappear
BG.2.17.,publisher,Click in the languages box,
BG.2.17.1.,publisher,,You can start to type and suggested languages appear
BG.2.18.,publisher,Select and language and then click the arrow next to it,
BG.2.18.1.,publisher,,A dropdown list of all available languages appears.
BG.2.19.,publisher,Click Add Another,
BG.2.19.1.,publisher,,Another language field appears
BG.2.20.,publisher,Click 'Remove' next to it,
BG.2.20.1.,publisher,,It disappears
BG.2.21.,publisher,Enter the same value in 'Publisher's name' and 'Society's name',
BG.2.22.,publisher,Click Next,
BG.2.22.1.,publisher,,You see the error message: The value of this field and the Publisher's Country field must be different.
BG.2.23.,publisher,"Repeat the previous step, checking if the validator is case insensitive (e.g. ""Publisher's name"" and ""publisher's Name"")",
BG.2.23.1.,publisher,,The error message is still displayed
BG.2.24.,publisher,"Repeat steps X to X for the Publisher's Name, Country, Society name, Country",
BG.2.25.,publisher,"Delete the values from 'Society name' and 'Society country', click Next",
BG.2.25.1.,publisher,,You can submit the page without providing answers to optional questions.
----------,----------,----------,----------

----------,----------,----------,----------
## BG.3,----------,## PAGE 3 - Copyright & licensing,----------
BG.3.1.,publisher,Check the application progress Menu at the right,
BG.3.1.1.,publisher,,"1st and 2nd pages marked with a tick, 3rd page is marked orange as active"
BG.3.2.,publisher,Select 3 of the CC licenses,
BG.3.2.1.,publisher,,You can select multiple items
BG.3.3.,publisher,"With a CC license selected, choose Publisher's own license",
BG.3.3.1.,publisher,,"The CC license remains selected and the ""attributes"" choices appear."
BG.3.4.,publisher,Choose some attributes and try to click on a CC license,
BG.3.4.1.,publisher,,The checkboxes are active
BG.3.5.,publisher,Deselect 'Publisher's own license',
BG.3.5.1.,publisher,,"""Attributes"" question disappears"
BG.3.6.,publisher,Enter a URL in the license terms box,
BG.3.7.,publisher,Embedded licences: click Yes,
BG.3.7.1.,publisher,,The URL field appears.
BG.3.8.,publisher,Click No,
BG.3.8.1.,publisher,,The URL field disappears
BG.3.9.,publisher,Scroll to the bottom and click the Back button,
BG.3.9.1.,publisher,,You are taken to Page 2.
BG.3.10.,publisher,ClickPage 3 Copyright & licensing on the progress bar,
BG.3.10.1.,publisher,,You are taken back to Page 3 and your answers are preserved.
BG.3.11.,publisher,Complete all fields and click Next,
----------,----------,----------,----------

----------,----------,----------,----------
## BG.4,----------,## PAGE 4 - Editorial,----------
BG.4.1.,publisher,Click on 2 or 3 types of peer review,
BG.4.1.1.,publisher,,You can select multiple values
BG.4.2.,publisher,Click Other,
BG.4.2.1.,publisher,,The box 'Other peer review' appears
BG.4.3.,publisher,Unclick Other,
BG.4.3.1.,publisher,,It disappears
BG.4.4.,publisher,Plagiarism: click 'Yes',
BG.4.4.1.,publisher,,The URL box appears
BG.4.5.,publisher,"Write a number in the Average weeks box,",
BG.4.5.1.,publisher,,You can use the arrows at the side to increase or decrease the number
BG.4.6.,publisher,"Complete the rest of the page, click Next",
----------,----------,----------,----------

----------,----------,----------,----------
