Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BT.1,----------,## View Unset Marketing Preferences,----------
BT.1.1.,any,"Go to the ""Accounts"" page",
BT.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## BT.2,----------,## Accept Marketing,----------
BT.2.1.,any,"Go to the ""Accounts"" page",
BT.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
BT.2.2.,any,"select ""I consent...""",
BT.2.3.,any,"Click ""Save Settings""",
BT.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
BT.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## BT.3,----------,## Decline Marketing,----------
BT.3.1.,any,"Go to the ""Accounts"" page",
BT.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
BT.3.2.,any,"Select ""I do not consent""",
BT.3.3.,any,"Click ""Save Settings""",
BT.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
BT.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

