Bitly:ExternalService,,,portality/settings.py#L1038; portality/static/js/doaj.js#L64,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/settings.py#L1038; https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/static/js/doaj.js#L64
AdminJournalsSearch:Feature,portality/static/js/edges/admin.journals.edge.js#L1,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/static/js/edges/admin.journals.edge.js#L1,doajtest/testbook/administrative_search/journals.yml#L1,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/doajtest/testbook/administrative_search/journals.yml#L1
Publisher:FieldSet,portality/forms/application_forms.py#L1881,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/forms/application_forms.py#L1881,portality/forms/application_forms.py#L1881,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/forms/application_forms.py#L1881
At20:WebRoute,,,cms/data/nav.yml#L40,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/cms/data/nav.yml#L40
FAQ:Page,,,portality/templates/email/publisher_application_accepted.jinja2#L6,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/templates/email/publisher_application_accepted.jinja2#L6
AdminJournalArticleQuery:Endpoint,,,portality/settings.py#L760,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/settings.py#L760
Seamless:Library,,,portality/settings.py#L477; portality/api/current/data_objects/common_journal_application.py#L11; portality/api/current/data_objects/application.py#L114; portality/api/current/data_objects/application.py#L355; portality/lib/es_data_mapping.py#L5; portality/lib/coerce.py#L114; docs/data_models.sh#L6,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/settings.py#L477; https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/api/current/data_objects/common_journal_application.py#L11; https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/api/current/data_objects/application.py#L114; https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/api/current/data_objects/application.py#L355; https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/lib/es_data_mapping.py#L5; https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/lib/coerce.py#L114; https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/docs/data_models.sh#L6
ReservedUsernames:FormValidator,portality/forms/application_forms.py#L2508; portality/forms/validate.py#L235,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/forms/application_forms.py#L2508; https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/forms/validate.py#L235,portality/forms/application_forms.py#L2508,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/forms/application_forms.py#L2508
APCCharges:FormField,portality/forms/application_forms.py#L959,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/forms/application_forms.py#L959,portality/forms/application_forms.py#L959,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/portality/forms/application_forms.py#L959
OutgoingApplication:Model,,,docs/system/API.md#L31,https://github.com/DOAJ/doaj/blob/feature/3594_no_apc_charges_facet_applications/docs/system/API.md#L31
