SubjectTree:FormWidget,,,portality/forms/application_forms.py#L3040,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L3040
OtherFees:FieldSet,portality/forms/application_forms.py#L2103,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2103,portality/forms/application_forms.py#L2103,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2103
OnlyIf:FormValidator,portality/forms/validate.py#L408; portality/forms/application_forms.py#L2867,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/validate.py#L408; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2867,portality/forms/application_forms.py#L2867,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2867
Ambassadors:WebRoute,,,cms/data/nav.yml#L44,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/cms/data/nav.yml#L44
Subject:FieldSet,portality/forms/application_forms.py#L2208,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2208,portality/forms/application_forms.py#L2208,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2208
NoteModal:FormWidget,,,portality/forms/application_forms.py#L3044,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L3044
Edges:Technology,,,portality/static/js/doaj.js#L250; portality/static/js/edges/admin.notifications.edge.js#L2; portality/static/js/edges/notifications.edge.js#L1; portality/templates/admin/global_notifications_search.html#L4; portality/templates/admin/global_notifications_search.html#L24; portality/lib/edges.py#L2,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/static/js/doaj.js#L250; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/static/js/edges/admin.notifications.edge.js#L2; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/static/js/edges/notifications.edge.js#L1; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/templates/admin/global_notifications_search.html#L4; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/templates/admin/global_notifications_search.html#L24; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/lib/edges.py#L2
Cache:Feature,,,portality/settings.py#L1007; portality/bll/services/site.py#L122; docs/system/S3.md#L263,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/settings.py#L1007; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/bll/services/site.py#L122; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/docs/system/S3.md#L263
BackgroundJobs:Page,,,portality/view/admin.py#L220,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/view/admin.py#L220
BackgroundJobs:Model,,,portality/view/admin.py#L218,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/view/admin.py#L218
JournalsSearch:WebRoute,,,cms/data/nav.yml#L10,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/cms/data/nav.yml#L10
SimpleSearchWidget:Asset,,,cms/pages/docs/widgets.md#L8,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/cms/pages/docs/widgets.md#L8
DifferetTo:FormValidator,,,portality/forms/application_forms.py#L263; portality/forms/application_forms.py#L279; portality/forms/application_forms.py#L335; portality/forms/application_forms.py#L350; portality/forms/application_forms.py#L389; portality/forms/application_forms.py#L1796; portality/forms/application_forms.py#L1819,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L263; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L279; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L335; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L350; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L389; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L1796; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L1819
AdminApplicationQuery:Endpoint,,,portality/settings.py#L754,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/settings.py#L754
AssEdJournal:FormContext,,,portality/forms/application_forms.py#L2404,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2404
Documentation:WebRoute,,,cms/data/nav.yml#L19,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/cms/data/nav.yml#L19
OutgoingApplication:Model,,,docs/system/API.md#L31,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/docs/system/API.md#L31
Datasets:Data,,,portality/core.py#L295,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/core.py#L295
RequiredIfRole:FormValidator,portality/forms/validate.py#L170,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/validate.py#L170,,
Article:Page,,,portality/view/doaj.py#L347; portality/models/openurl.py#L147,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/view/doaj.py#L347; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/models/openurl.py#L147
Seal:FieldSet,portality/forms/application_forms.py#L2148,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2148,portality/forms/application_forms.py#L2148,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2148
WithdrawJournal:Feature,,,doajtest/testbook/bulk_edit/journals_articles.yml#L2,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/doajtest/testbook/bulk_edit/journals_articles.yml#L2
DiscontinuedDate:FormField,portality/forms/application_forms.py#L1765,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L1765,portality/forms/application_forms.py#L1765,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L1765
ClickableOwner:FormWidget,,,portality/forms/application_forms.py#L3033,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L3033
EditorJournalsSearch:Feature,,,doajtest/testbook/editor_search/journals.yml#L1,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/doajtest/testbook/editor_search/journals.yml#L1
Reviewers:FieldSet,portality/forms/application_forms.py#L2186,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2186,portality/forms/application_forms.py#L2186,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2186
BackgroundMonitor:Feature,,,portality/settings.py#L1311,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/settings.py#L1311
GitHub:ExternalService,,,portality/settings.py#L233; cms/data/nav.yml#L99,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/settings.py#L233; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/cms/data/nav.yml#L99
IncomingApplication:Model,,,docs/data_models.sh#L11; docs/system/API.md#L64,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/docs/data_models.sh#L11; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/docs/system/API.md#L64
Editor:Blueprint,,,portality/app.py#L59,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/app.py#L59
OptionalValidation:FieldSet,portality/forms/application_forms.py#L2231,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2231,portality/forms/application_forms.py#L2231,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2231
PublisherJournalQuery:Endpoint,,,portality/settings.py#L722,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/settings.py#L722
CrossrefXML:Crosswalk,,,portality/settings.py#L995,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/settings.py#L995
Institution:FieldSet,portality/forms/application_forms.py#L2006,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2006,portality/forms/application_forms.py#L2006,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2006
EditorGroup:Page,,,doajtest/testbook/bulk_edit/applications.yml#L3,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/doajtest/testbook/bulk_edit/applications.yml#L3
OpenURLDocumentation:WebRoute,,,cms/data/nav.yml#L27,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/cms/data/nav.yml#L27
AssociateJournalsSearch:Feature,,,doajtest/testbook/associate_search/journals.yml#L1,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/doajtest/testbook/associate_search/journals.yml#L1
Atom:Blueprint,,,portality/app.py#L76,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/app.py#L76
Seal:WebRoute,,,cms/data/nav.yml#L77,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/cms/data/nav.yml#L77
GroupMember:FormValidator,portality/forms/validate.py#L494; portality/forms/application_forms.py#L2899,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/validate.py#L494; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2899,portality/forms/application_forms.py#L2899,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L2899
DOI:Regex,portality/regex.py#L3,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/regex.py#L3,,
IssnLink:FormWidget,,,portality/forms/application_forms.py#L3045; portality/forms/application_forms.py#L268; portality/forms/application_forms.py#L340,https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L3045; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L268; https://github.com/DOAJ/doaj/blob/feature/3609_click_to_copy/portality/forms/application_forms.py#L340
