Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Editor search: Journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,editor_search/journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BE.1,----------,## Test Editors Journal Search,----------
BE.1.1.,Editor,Go to the DOAJ editor's journal search at /editor/group_journals,
BE.1.1.1.,Editor,,"All available records are found, and the first page of results is shown"
BE.1.2.,Editor,Open and Collapse all the facets on the left,
BE.1.2.1.,Editor,,The facet opens and closes as expected
BE.1.2.2.,Editor,,Each facet contains a maximum of 10 values relevant to that field
BE.1.3.,Editor,Open one of the facets of your choice,
BE.1.4.,Editor,Select one of the values for that facet,
BE.1.4.1.,Editor,,"All the results for the selected constraints are found, and the first page is shown"
BE.1.4.2.,Editor,,The filter applied is shown in the facets on the left and above the search results
BE.1.5.,Editor,"Go through each sort option in the ""sort by"" pull-down",
BE.1.6.,Editor,"In each case, click the ""sort by"" button to reverse the direction of sort",
BE.1.6.1.,Editor,,The current search results are ordered correctly according to the selected sort field and the selected sort direction
BE.1.7.,Editor,Enter a search term in the search box,
BE.1.7.1.,Editor,,"All the results for the selected constraints are found, and the first page is shown"
BE.1.7.2.,Editor,,Your search text ramains in the search box
BE.1.8.,Editor,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly",
BE.1.8.1.,Editor,,"If there are search results, the first page is displayed"
BE.1.8.2.,Editor,,"If there are no search results, suitable ""no results match"" text is displayed"
BE.1.9.,Editor,"Change the page size, using the page-size pull-down",
BE.1.9.1.,Editor,,The size of the page of results displays increases appropriately
BE.1.10.,Editor,"Click the ""Next"" button to go to the next page of results",
BE.1.10.1.,Editor,,The next page of results is displayed
BE.1.10.2.,Editor,,"The ""First"" and ""Prev"" buttons are activated"
BE.1.11.,Editor,"Click ""Next"" again",
BE.1.12.,Editor,"Click ""Prev""",
BE.1.12.1.,Editor,,You are navigated one page forward and then one page back in the results
BE.1.13.,Editor,"Click ""First""",
BE.1.13.1.,Editor,,You are taken to the first page of the results
BE.1.14.,Editor,Click the black X button to clear all filters,
BE.1.14.1.,Editor,,The interface returns to the initial state as per 1.1.1
BE.1.15.,Editor,"Click ""Edit this journal"" link at the bottom of any journal",
BE.1.15.1.,Editor,,/editor/journal/<id> opens in a new tab
----------,----------,----------,----------

----------,----------,----------,----------
## BE.2,----------,## Test Admin Journal Search Display,----------
BE.2.1.,editor,Go to the DOAJ admin journal search at /editor/group_journals,
BE.2.2.,editor,"Open the In DOAJ facet, and select ""False""",
BE.2.2.1.,editor,,None of the journal titles in the search results are links
BE.2.3.,editor,"Clear the ""In DOAJ?"" filter",
BE.2.4.,editor,"Select ""True"" from that facet",
BE.2.4.1.,editor,,All the journal titles in the search results are links
BE.2.5.,editor,Click on the journal title,
BE.2.5.1.,editor,,You are taken to the DOAJ ToC page for this journal
BE.2.6.,editor,Click back in your browser window to go back to the search results,
BE.2.7.,editor,"Click on the ""Home page"" URL for a journal result",
BE.2.7.1.,editor,,You are taken to the Journal's home page
BE.2.8.,editor,Click back in your browser to go back to the search results,
BE.2.9.,editor,"Click on the ""Owner"" of a journal result",
BE.2.9.1.,editor,,"You are requested to log in as the user, you cannot see the user account page"
BE.2.10.,editor,Click back in your browser winder to go back to the search results,
BE.2.11.,editor,Open the Journal License facet,
BE.2.12.,editor,Select one of the CC licences from this facet,
BE.2.12.1.,editor,,"All the journal results show the relevant CC icon under the metadata field ""License"""
BE.2.13.,editor,"Clear the ""Journal License"" filter",
BE.2.14.,editor,"Open the ""Publication Charges"" filter",
BE.2.15.,editor,"Select ""Yes"" from this facet",
BE.2.15.1.,editor,,"All the journal results show that the journals have publication charges, and provide a link to the Journal page"
BE.2.16.,editor,Clear all the search filters with the black X in the search bar,
BE.2.17.,editor,"Find a journal in the search results which has a ""Related Record""",
BE.2.18.,editor,"Click on the ""Related Record"" link",
BE.2.18.1.,editor,,"You are taken to the application search results, and a single search result is present, showing the applicaiton which produced that journal"
BE.2.19.,editor,"Click ""Edit this journal""",
BE.2.19.1.,editor,,A new browser window opens containing the edit form for the journal
BE.2.20.,editor,"Click ""Unlock and Close""",
----------,----------,----------,----------

