Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Update Requests: Update Requests,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,update_requests/update_requests,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CA.1,----------,## Submitting an update,----------
CA.1.1.,Publisher,Go to the My journals tab on the Publisher dashboard,
CA.1.1.1.,Publisher,,"You see a list of journals, each with a button ""Update"""
CA.1.2.,Publisher,"Click the ""Update"" button next to one of your journals",
CA.1.2.1.,Publisher,,"a new browser tab opens, titled ""Journal update request form for ..."""
CA.1.3.,Publisher,"Attempt to edit the Journal title, Alternative title, ISSN (print), ISSN (online)",
CA.1.3.1.,Publisher,,You cannot
CA.1.4.,Publisher,Make some changes to the editable questions (make a note of what those changes are),
CA.1.5.,Publisher,Click on 'Review your answers' in the section stepper on the right and submit the form,
CA.1.5.1.,Publisher,,The form is submitted successfully and you are taken to the 'My update requests' tab
CA.1.5.2.,Publisher,,A flash message tells you that your update has been submitted. Another flash message says that a confirmation email has been sent.
CA.1.6.,Publisher,clear the flash messages,
CA.1.7.,Publisher,"Click on the ""My journals"" tab",
CA.1.7.1.,Publisher,,"The journal you submitted an update for now says ""View update"" by it"
CA.1.8.,Publisher,"Go back to the ""My Update Requests"" tab",
CA.1.8.1.,Publisher,,The journal for which you submitted an update is listed here
CA.1.9.,Publisher,"Click ""Edit"" on the update request you created above",
CA.1.9.1.,Publisher,,You can see the edit form for the update request
CA.1.9.2.,Publisher,,Your changes implemented above are present
CA.1.10.,Publisher,Make another change to the form and submit,
CA.1.10.1.,Publisher,,Your changes are submitted successfully.
CA.1.11.,Publisher,"Click ""Delete""",
CA.1.11.1.,Publisher,,A pop-up appears asking you if you are sure you want to delete the update request.
CA.1.12.,Publisher,click 'No',
CA.1.13.,Publisher,"Click 'Delete' and 'Yes, delete it'",
CA.1.13.1.,Publisher,,You are shown a message 'Your application has been deleted'
CA.1.14.,Publisher,Click the link to take you back to the dashboard and click on 'My update requests',
CA.1.14.1.,Publisher,,The update request no longer appears on this tab
CA.1.15.,Publisher,create a new update request for one of your journals and submit it,
CA.1.16.,Publisher,Open a new session in a different browser or a private (incognito) window,
CA.1.17.,Publisher,Log in as an administrator and go to the dashboard,
CA.1.18.,Publisher,Go to the Update Requests Search page,
CA.1.18.1.,Publisher,,The update request you submitted above is visible
CA.1.19.,Publisher,"Click ""Review Update""",
CA.1.19.1.,Publisher,,A new browser tab opens with the update request form
CA.1.19.2.,Publisher,,The top of the form contains a table showing the difference between the journal and the update request
CA.1.19.3.,Publisher,,The changes in the difference table match the changes you made when submitting the update request
CA.1.20.,Publisher,Click on one of the links in the left column of the difference table,
CA.1.20.1.,Publisher,,You are scrolled down to the corresponding change and the change is highlighted in black under the question
CA.1.21.,Publisher,"Go back to the top of the form and change the status to ""In Progress"" and save.  Do not make any other changes at this point",
CA.1.22.,Publisher,"Go back to the other browser window, where you are signed in as a publisher",
CA.1.23.,Publisher,Go to the Publisher's Update Requests tab,
CA.1.24.,Publisher,Go back to the browser window where you are logged in as admin,
CA.1.25.,Publisher,"Edit the update request, and change the status to ""Revisions Required""",
CA.1.25.1.,Publisher,,flash notification confirms that the publisher has been alerted
CA.1.26.,Publisher,"Go back to the other browser window, where you are signed in as a publisher",
CA.1.27.,Publisher,Go to the 'My update requests' tab. You may need to reload the page.,
CA.1.27.1.,Publisher,,Your update request is editable again and the black button now says 'Edit'
CA.1.28.,Publisher,Make an edit to the update request,
CA.1.29.,Publisher,Go back to the browser window where you are logged in as admin,
CA.1.30.,Publisher,"Edit the update request, and Reject it",
CA.1.31.,Publisher,"Go back to the My update requests tab in the other browser window, where you are signed in as a publisher",
CA.1.31.1.,Publisher,,The status of the update requests has changed to 'Application rejected'.
----------,----------,----------,----------

