Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Continuations: Continuations,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,continuations/continuations,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## U.1,----------,## Search and Navigate,----------
U.1.1.,admin,Go to the admin journals search at /admin/,
U.1.2.,admin,"Open the facet ""Discontinued year"" and select a year",
U.1.3.,admin,"Open the facet ""Continued"" and select ""Yes""",
U.1.4.,admin,"On one of the search results, click ""Edit this journal""",
U.1.4.1.,admin,,The journal edit form opens
U.1.5.,admin,"Scroll down to the section ""Continuation information"" in the left panel",
U.1.5.1.,admin,,There is an ISSN in one or both of the ISSN fields
U.1.5.2.,admin,,"There is a ""Discontinued Date"" specified, which matches your search"
U.1.6.,admin,"Click ""Unlock and Close""",
U.1.7.,admin,"Clear the filter ""Continued"" and then select ""No"" from that facet",
U.1.8.,admin,"On one of the search results, click ""Edit this journal""",
U.1.8.1.,admin,,The journal edit form opens
U.1.9.,admin,"Scroll down to the section ""Continuation information""",
U.1.9.1.,admin,,There is no ISSN specified
U.1.9.2.,admin,,"There is a ""Discontinued Date"" specified, which matches your search"
U.1.10.,admin,"Click ""Unlock and Close""",
U.1.11.,admin,Clear all your search filters,
U.1.12.,admin,"Open the facet ""In DOAJ"" and select ""True""",
U.1.13.,admin,"Open the facet ""Continued"" and select ""Yes""",
U.1.14.,admin,Click the journal title on one of your search results,
U.1.14.1.,admin,,The journal ToC page opens
U.1.14.2.,admin,,"Near the top it says ""Continued by"" or ""Continues"" and then another journal link"
U.1.15.,admin,Click the continuation journal link,
U.1.15.1.,admin,,A new journal ToC page opens
U.1.15.2.,admin,,"Near the top it says ""Continued by"" or ""Continues"" (the opposite of the previous page) and links back to the first journal you selected"
U.1.15.3.,admin,,Note that not all continuations have bi-directional linking just yet (although they should!) so you may need to repeat theese steps until you can see this behaviour
----------,----------,----------,----------

----------,----------,----------,----------
## U.2,----------,## Make a new preceeding journal,----------
U.2.1.,admin,Go to the admin journals search at /admin/,
U.2.2.,admin,"Open the facet ""In DOAJ"" and select ""True""",
U.2.3.,admin,"Select ""make a preceding continuation"" from one of the search results (take a note of its ISSN for later test result confirmation)",
U.2.3.1.,admin,,"The Journal continuation form appears, with the title ""[your journal] continues..."""
U.2.4.,admin,Enter a title and some ISSNs (they may be made up),
U.2.5.,admin,"Click ""Create""",
U.2.5.1.,admin,,You are taken to the admin journal edit form
U.2.5.2.,admin,,There is a flash message saying that your continuation has been created
U.2.5.3.,admin,,"The journal is currently withdrawn from DOAJ (there is an option to ""Reinstate"" the journal)"
U.2.5.4.,admin,,The journal form is populated with the metadata from the journal you started from
U.2.5.5.,admin,,The ISSNs you provided on the continuations form are used as the journal's ISSNs
U.2.5.6.,admin,,"The ""Continuation Information"" section specifies the ISSN of the original journal in the ""continued by"" field"
U.2.5.7.,admin,,All the notes from the original journal are also available on this Journal
U.2.6.,admin,Make some superficial modifications to the journal metadata,
U.2.7.,admin,"Click in ""Discontinued Date"" and select a date from the pop-up (it can be random)",
U.2.7.1.,admin,,"The ""Discontinued Date"" field is populated with the date you selected"
U.2.8.,admin,"Click ""Add new note""",
U.2.9.,admin,Enter a note saying you have created this preceeding continuation,
U.2.10.,admin,"Click ""SAVE""",
U.2.10.1.,admin,,The journal form is displayed
U.2.10.2.,admin,,"A flash message says ""Journal updated"""
U.2.10.3.,admin,,The metadata changes and note you added are present
U.2.11.,admin,"Click ""Reinstate""",
U.2.11.1.,admin,,A flash message alerts you that this operation has been queued for action
U.2.11.2.,admin,,"The ""Reinstate"" button has changed to 'Reinstating'"
U.2.12.,admin,Wait for the action to complete (this should be quite quick in a test environment),
U.2.13.,admin,Reload the edit form page,
U.2.13.1.,admin,,"A button now exists to ""Withdraw"" the journal from DOAJ"
U.2.14.,admin,"Click ""Unlock and Close""",
U.2.15.,admin,Click on the journal title for which you made a continuation,
U.2.15.1.,admin,,You are taken to the Journal ToC
U.2.15.2.,admin,,"The preceeding journal you just created is linked near the top under ""Continues"""
U.2.16.,admin,Clock on the journal title for the preceeding continuation,
U.2.16.1.,admin,,You are taken to the Journal ToC
U.2.16.2.,admin,,"There is a link back to the original journal under ""Continued By"""
