Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# New Application Form: ManEd Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,new_application_form/maned_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BH.1,----------,## Form Overview,----------
BH.1.1.,admin,Go to the admin Applications search at /admin/applications,
BH.1.2.,admin,"Select an application that is not in the ""Accepted"" or ""Rejected"" state, and click ""Review application""",
BH.1.2.1.,admin,,The managing editor view application form is displayed
BH.1.2.2.,admin,,"""Unlock and Close"" is available"
BH.1.2.3.,admin,,The Quick Reject feature is available
BH.1.2.4.,admin,,The ability to assign to an editor group and associate editor is available
BH.1.2.5.,admin,,"A ""SAVE"" button is available"
BH.1.2.6.,admin,,"Status, Re-assign publisher account, Continuation Information and Subject Classification sections are available"
BH.1.2.7.,admin,,Award the Seal is available
BH.1.2.8.,admin,,The main application form questions are available
BH.1.2.9.,admin,,The Notes section is available
BH.1.3.,admin,Assign an editor group,
BH.1.3.1.,admin,,"The ""Group"" pull-down asks you to type three characters."
BH.1.4.,admin,Choose any group,
BH.1.4.1.,admin,,The associate editors and editor are shown in the Individual dropdown
BH.1.5.,admin,"Select an editor from the ""Individual"" pull-down",
BH.1.5.1.,admin,,The editor is selected
BH.1.6.,admin,Open the Subject Classifier and assign two subject classifications,
BH.1.7.,admin,Click Add subjects,
BH.1.7.1.,admin,,The two subjects you selected show as 'Selected'
BH.1.8.,admin,Open the subject classifier again and start typing a subject in the subject search box (eg Biology),
BH.1.8.1.,admin,,All terms that include your subject are shown and can be selected
BH.1.9.,admin,Assign one subject that way and then assign an owner to the application,
BH.1.10.,admin,Make a superficial modification to the application metadata,
BH.1.11.,admin,"Click ""Add new note"" and enter some text into the new note textarea",
BH.1.12.,admin,"Click ""SAVE""",
BH.1.12.1.,admin,,A message tells you that you cannot save the application because it contains some invalid fields
BH.1.12.2.,admin,,The form scrolls you down to a question which has a missing answer.
BH.1.13.,admin,Complete the question with the missing answer and 'Save',
BH.1.13.1.,admin,,A message at the top of the form tells you that you can only choose one or two subject classifications
BH.1.14.,admin,Remove one subject classification and 'Save',
BH.1.14.1.,admin,,The form saves
BH.1.14.2.,admin,,"The changes you applied, both to the form, and in the functionality box, have been saved"
BH.1.14.3.,admin,,The form saved without requiring answers to the ORCiD and I4OA questions.
BH.1.15.,admin,"Click ""Unlock and Close""",
BH.1.15.1.,admin,,"The page closes, and you are able to return to the search interface"
----------,----------,----------,----------

----------,----------,----------,----------
## BH.2,----------,## Note features for admin,----------
BH.2.1.,admin,"Prepare two admin accounts (admin1 and admin2), they both can access to the same Application (e.g. /admin/application/1234)",
BH.2.2.,admin,Login as `admin1`,
BH.2.3.,admin,Go to Application page at `/admin/application/1234`,
BH.2.4.,admin,"Click ""ADD"" button in ""Notes"" area",
BH.2.4.1.,admin,,New note UI is displayed for you to fill in
BH.2.5.,admin,Fill in the note,
BH.2.6.,admin,"Click ""Save"" button",
BH.2.6.1.,admin,,The note is saved and displayed in the list of notes
BH.2.6.2.,admin,,you username and user id will be showed on that note
BH.2.6.3.,admin,,the date and time you created the note will be shown
BH.2.7.,admin,Click into the note field and edit the note,
BH.2.7.1.,admin,,The note is editable
BH.2.8.,admin,"Click ""Remove"" underneath the note",
BH.2.8.1.,admin,,The note is deleted
BH.2.9.,admin,Create a new note as per the above steps,
BH.2.10.,admin,Switch to other associate editor account `admin2`,
BH.2.11.,admin,Go to Application page at `/editor/application/1234`,
BH.2.11.1.,admin,,You can see the note that you have created before with `admin1`
BH.2.12.,admin,Attempt to click into the note area and edit it,
BH.2.12.1.,admin,,you are unable to edit the note
BH.2.13.,admin,"Attempt to click the ""Remove"" button",
BH.2.13.1.,admin,,You are unable to delete the note
BH.2.14.,admin,"Click ""copy"" button next to one of the fields (eg. Title)",
BH.2.14.1.,admin,,Confirmation with fields value is displayed for 3 seconds
BH.2.15.,admin,Attempt to paste the value (use separate editor),
BH.2.15.1.,admin,,Correct value is pasted
----------,----------,----------,----------

