Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Dashboard: Historical Statistics,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,dashboard/historical_statistics,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## Z.1,----------,## Historical Statistics Display - Managing Editor with 3 groups,----------
Z.1.1.,managing editor/admin,"Go to ""/testdrive/statistics"" and wait for the page to load slowly.",
Z.1.2.,managing editor/admin,Log in with provided managing_editor credentials.,
Z.1.2.1.,managing editor/admin,,User dashboard is displayed.
Z.1.3.,managing editor/admin,Verify the motivational banner at the top of the dashboard (green) and check number of finished applications.,
Z.1.3.1.,managing editor/admin,,The motivational banner is GREEN and shows the correct sum of applications finished in all groups.
Z.1.4.,managing editor/admin,Verify historical statistics in the Activity section at the bottom.,
Z.1.4.1.,managing editor/admin,,Three groups are displayed.
Z.1.4.2.,managing editor/admin,,Only associate editors are shown in the Activity section for each group.
Z.1.4.3.,managing editor/admin,,Each group has the correct statistics for the current year.
Z.1.4.4.,managing editor/admin,,"The number of READY/COMPLETED applications matches the ""additional information"" table."
Z.1.5.,managing editor/admin,Log out.,
Z.1.6.,managing editor/admin,(Optional) Click the link at the bottom of the testdrive page to free resources after finishing this test session.,
----------,----------,----------,----------

----------,----------,----------,----------
## Z.2,----------,## Historical Statistics Display - Editor with 2 groups,----------
Z.2.1.,editor_0,"Go to ""/testdrive/statistics"" and wait for the page to load slowly.",
Z.2.2.,editor_0,Log in with provided editor_0 credentials.,
Z.2.2.1.,editor_0,,User dashboard is displayed.
Z.2.3.,editor_0,Verify the motivational banner at the top of the dashboard (green) and check number of finished applications.,
Z.2.3.1.,editor_0,,The motivational banner is GREEN and shows the correct sum of applications finished in both groups.
Z.2.4.,editor_0,Verify historical statistics in the Activity section at the bottom.,
Z.2.4.1.,editor_0,,Two groups are displayed.
Z.2.4.2.,editor_0,,Only associate editors are shown in the Activity section for each group.
Z.2.4.3.,editor_0,,Each group has the correct statistics for the current year.
Z.2.4.4.,editor_0,,"The number of READY/COMPLETED applications matches the ""additional information"" table."
Z.2.5.,editor_0,Log out.,
Z.2.6.,editor_0,(Optional) Click the link at the bottom of the testdrive page to free resources after finishing this test session.,
----------,----------,----------,----------

----------,----------,----------,----------
## Z.3,----------,## Historical Statistics Display - Editor with 1 group,----------
Z.3.1.,editor_1,"Go to ""/testdrive/statistics"" and wait for the page to load slowly.",
Z.3.2.,editor_1,Log in with provided editor_1 credentials.,
Z.3.2.1.,editor_1,,User dashboard is displayed.
Z.3.3.,editor_1,Verify the motivational banner at the top of the dashboard (green) and check number of finished applications.,
Z.3.3.1.,editor_1,,The motivational banner is GREEN and shows the correct sum of applications finished in the group.
Z.3.4.,editor_1,Verify historical statistics in the Activity section at the bottom.,
Z.3.4.1.,editor_1,,One group is displayed.
Z.3.4.2.,editor_1,,Only associate editors are shown in the Activity section for the group.
Z.3.4.3.,editor_1,,The group has the correct statistics for the current year.
Z.3.4.4.,editor_1,,"The number of READY/COMPLETED applications matches the ""additional information"" table."
Z.3.5.,editor_1,Log out.,
Z.3.6.,editor_1,(Optional) Click the link at the bottom of the testdrive page to free resources after finishing this test session.,
----------,----------,----------,----------

----------,----------,----------,----------
## Z.4,----------,## Historical Statistics Display - Associate Editors with 0 finished applications,----------
Z.4.1.,associate editor,"Go to ""/testdrive/statistics"" and wait for the page to load slowly.",
Z.4.2.,associate editor,Log in with provided associate_editor_0 credentials.,
Z.4.2.1.,associate editor,,User dashboard is displayed.
Z.4.3.,associate editor,Verify the motivational banner at the top of the dashboard (grey).,
Z.4.3.1.,associate editor,,The motivational banner is GREY with appropriate information about no finished applications.
Z.4.4.,associate editor,Verify no statistics are displayed at the bottom of the page.,
Z.4.4.1.,associate editor,,No statistics are displayed in the Activity section.
Z.4.5.,associate editor,Log out.,
Z.4.6.,associate editor,,
----------,----------,----------,----------

----------,----------,----------,----------
## Z.5,----------,## Historical Statistics Display - Associate Editor 1,----------
Z.5.1.,associate editor,"Go to ""/testdrive/statistics"" and wait for the page to load slowly.",
Z.5.2.,associate editor,Log in with provided associate_editor_1 credentials.,
Z.5.2.1.,associate editor,,User dashboard is displayed.
Z.5.3.,associate editor,Verify the motivational banner at the top of the dashboard (green).,
Z.5.3.1.,associate editor,,The motivational banner is GREEN.
Z.5.4.,associate editor,Verify no statistics are displayed at the bottom of the page.,
Z.5.4.1.,associate editor,,No statistics are displayed in the Activity section.
Z.5.5.,associate editor,Log out.,
Z.5.6.,associate editor,(Optional) Click the link at the bottom of the testdrive page to free resources after finishing this test session.,
----------,----------,----------,----------

