Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Application State Change: Application State Change,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,application_state_change/application_state_change,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## H.1,----------,## Accept a New Application,----------
H.1.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
H.1.2.,admin,"Select a new application that can be accepted (e.g. is in a status such as Ready) and click ""Review application""",
H.1.3.,admin,"Complete any required fields, and then change the Application Status to ""Accepted""",
H.1.4.,admin,"Click ""SAVE""",
H.1.4.1.,admin,,"A flash message indicates that a new journal was created, and links to that journal"
H.1.4.2.,admin,,A flash message indicates that the application has been updated-
H.1.4.3.,admin,,A flash message indicates that the journal has been associated with a new or existing user account
H.1.4.4.,admin,,A flash message indicates an email has been sent to the account holder to tell them journal was accepted.
H.1.4.5.,admin,,"The Application Status field says ""Accepted"", and a note at the top of the form says ""Please note you cannot edit this application as it has been accepted into the DOAJ."""
H.1.5.,admin,"Click the ""Unlock and Close"" button",
H.1.6.,admin,Go to the mailtrap.io inbox for the test environment you are working in,
H.1.6.1.,admin,,There should be a suitable email to the journal owner indicating that their journal has been accepted
H.1.6.2.,admin,,There should be a suitable email to the journal contact indicating that their journal has been accepted
----------,----------,----------,----------

----------,----------,----------,----------
## H.2,----------,## Accept an Update Request,----------
H.2.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
H.2.2.,admin,"Select an update request that can be accepted (e.g. is in a status such as Ready) and click ""Review update""",
H.2.3.,admin,"Complete any required fields, and then change the Application Status to ""Accepted""",
H.2.4.,admin,"Click ""SAVE""",
H.2.4.1.,admin,,A flash message indicates that an existing journal was updated and links to that journal
H.2.4.2.,admin,,A flash message indicates that the journal has been associated with an existing user account
H.2.4.3.,admin,,A flash message indicates an email has been sent to the owner of the journal
H.2.4.4.,admin,,"The Application Status field says ""Accepted"", and a note at the top of the form says ""Please note you cannot edit this application as it has been accepted into the DOAJ."""
H.2.5.,admin,"Click the ""Unlock and Close"" button",
H.2.6.,admin,Go to the mailtrap.io inbox for the test environment you are working in,
H.2.6.1.,admin,,There should be a suitable email to the journal owner indicating that their update request has been accepted
----------,----------,----------,----------

----------,----------,----------,----------
## H.3,----------,## Reject a New Application,----------
H.3.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
H.3.2.,admin,"Select a new application that can be rejected (e.g. is in status Ready) and click ""Review application""",
H.3.3.,admin,"Complete any required fields, and then change the Application Status to ""Rejected""",
H.3.4.,admin,"Click ""SAVE""",
H.3.4.1.,admin,,A flash message indicates that the application record was updated
H.3.5.,admin,"Click the ""Unlock and Close"" button",
H.3.6.,admin,Go to the mailtrap.io inbox for the test environment you are working in,
H.3.6.1.,admin,,Ensure that there is no email associated with the rejection
----------,----------,----------,----------

----------,----------,----------,----------
## H.4,----------,## Reject an Update Request,----------
H.4.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
H.4.2.,admin,"Select an update request that can be rejected (e.g. is in status Ready) and click ""Review update""",
H.4.3.,admin,"Complete any required fields, and then change the Application Status to ""Rejected""",
H.4.4.,admin,"Click ""SAVE""",
H.4.4.1.,admin,,A flash message indicates that an email was sent to the owner of the update request
H.4.4.2.,admin,,A flash message indicates that the application was updated
H.4.5.,admin,"Click the ""Unlock and Close"" button",
H.4.6.,admin,Go to the mailtrap.io inbox for the test environment you are working in,
H.4.6.1.,admin,,There should be a suitable email to the journal owner indicating that their update request has been rejected
----------,----------,----------,----------

----------,----------,----------,----------
## H.5,----------,## Request Revisions on an Update Request,----------
H.5.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
H.5.2.,admin,"Select an update request that can be rejected (e.g. is in status Ready) and click ""Review update""",
H.5.3.,admin,"Complete any required fields, and then change the Application Status to ""Revisions Required""",
H.5.4.,admin,"Click ""SAVE""",
H.5.4.1.,admin,,A flash message indicates that an email was sent to the owner of the update request
H.5.4.2.,admin,,A flash message indicates that the application was updated
H.5.5.,admin,"Click the ""Unlock and Close"" button",
H.5.6.,admin,Go to the mailtrap.io inbox for the test environment you are working in,
H.5.6.1.,admin,,There should be a suitable email to the journal owner indicating that their update request has been rejected
----------,----------,----------,----------

