Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Publisher Search: Journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,publisher_search/journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BQ.1,----------,## Test Publisher Journal Search Interactions,----------
BQ.1.1.,publisher,Go to the DOAJ admin journal search at /publisher/,
BQ.1.1.1.,publisher,,"All available records are found, and the first page of results is shown"
BQ.1.2.,publisher,Open and Collapse all the facets on the left,
BQ.1.2.1.,publisher,,The facet opens and closes as expected
BQ.1.2.2.,publisher,,Each facet contains a maximum of 10 values relevant to that field
BQ.1.3.,publisher,Open one of the facets of your choice,
BQ.1.4.,publisher,Select one of the values for that facet,
BQ.1.4.1.,publisher,,"All the results for the selected constraints are found, and the first page is shown"
BQ.1.4.2.,publisher,,The filter applied is shown in the facets on the left and above the search results
BQ.1.5.,publisher,"Go through each sort option in the ""sort by"" pull-down",
BQ.1.6.,publisher,"In each case, click the ""sort by"" button to reverse the direction of sort",
BQ.1.6.1.,publisher,,The current search results are ordered correctly according to the selected sort field and the selected sort direction
BQ.1.7.,publisher,Enter a search term in the search box,
BQ.1.7.1.,publisher,,"All the results for the selected constraints are found, and the first page is shown"
BQ.1.7.2.,publisher,,Your search text ramains in the search box
BQ.1.8.,publisher,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly",
BQ.1.8.1.,publisher,,"If there are search results, the first page is displayed"
BQ.1.8.2.,publisher,,"If there are no search results, suitable ""no results match"" text is displayed"
BQ.1.9.,publisher,"Change the page size, using the page-size pull-down",
BQ.1.9.1.,publisher,,The size of the page of results displays increases appropriately
BQ.1.10.,publisher,"Click the ""Next"" button to go to the next page of results",
BQ.1.10.1.,publisher,,The next page of results is displayed
BQ.1.10.2.,publisher,,"The ""First"" and ""Prev"" buttons are activated"
BQ.1.11.,publisher,"Click ""Next"" again",
BQ.1.12.,publisher,"Click ""Prev""",
BQ.1.12.1.,publisher,,You are navigated one page forward and then one page back in the results
BQ.1.13.,publisher,"Click ""First""",
BQ.1.13.1.,publisher,,You are taken to the first page of the results
BQ.1.14.,publisher,Click the Red X button to clear all filters,
BQ.1.14.1.,publisher,,The interface returns to the initial state as per 1.1.1
----------,----------,----------,----------

----------,----------,----------,----------
## BQ.2,----------,## Test Publisher Journal Search Display,----------
BQ.2.1.,admin,Go to the DOAJ admin journal search at /publisher/,
BQ.2.2.,admin,"Open the In DOAJ facet, and select ""False""",
BQ.2.2.1.,admin,,None of the journal titles in the search results are links
BQ.2.2.2.,admin,,In DOAJ: No metadata is present
BQ.2.3.,admin,"Clear the ""In DOAJ?"" filter",
BQ.2.4.,admin,"Select ""True"" from that facet",
BQ.2.4.1.,admin,,All the journal titles in the search results are links
BQ.2.4.2.,admin,,In DOAJ: Yes metadata is present
BQ.2.5.,admin,Click on the journal title,
BQ.2.5.1.,admin,,You are taken to the DOAJ ToC page for this journal
BQ.2.6.,admin,Click back (twice) in your browser window to go back to the search results,
BQ.2.7.,admin,"Click on the ""Hope page"" URL for a journal result",
BQ.2.7.1.,admin,,You are taken to the Journal's home page
BQ.2.8.,admin,Click back in your browser winder to go back to the search results,
BQ.2.9.,admin,Open the Journal License facet,
BQ.2.10.,admin,Select one of the CC licences from this facet,
BQ.2.10.1.,admin,,"All the journal results show the relevant CC icon under the metadata field ""License"""
BQ.2.11.,admin,"Clear the ""Journal License"" filter",
BQ.2.12.,admin,Click on the View current update request link at the bottom right of any journal,
BQ.2.12.1.,admin,,You are taken to Update Requests tab with this journal id search filter on (journal's id in the search fields is on and only related records are shown)
----------,----------,----------,----------

