Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Publisher dashboards drafts: Publisher dashboard,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,publisher_dashboards_drafts/publisher_dashboard,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CB.1,----------,## Save a draft,----------
CB.1.1.,Publisher,Log in (or register) to submit an application /account/login?redirected=apply,
CB.1.1.1.,Publisher,,You are shown the first page of the application form
CB.1.2.,Publisher,Complete the first two questions of the application form,
CB.1.3.,Publisher,Click 'Save the draft',
CB.1.3.1.,Publisher,,You are shown a message confirming that the draft is saved and with a link to the Publisher dashboard
CB.1.4.,Publisher,Click the link and you are taken back to the dashboard,
CB.1.4.1.,Publisher,,The application you just started it shown at the top of the list as 'Untitled'
CB.1.4.2.,Publisher,,The status is Not yet submitted
CB.1.4.3.,Publisher,,The Last updated date is today's date
CB.1.4.4.,Publisher,,You see an edit and a delete button next to it
CB.1.5.,Publisher,Click Apply and start a new application form,
CB.1.6.,Publisher,Complete the first two questions of the application form and the title of the journal on the next page,
CB.1.7.,Publisher,Click 'Save the draft',
CB.1.7.1.,Publisher,,You are shown a message confirming that the draft is saved and with a link to the Publisher dashboard
CB.1.8.,Publisher,Click the link and you are taken back to the dashboard,
CB.1.8.1.,Publisher,,The application you just started is shown at the top of the list above the first application you started.
CB.1.8.2.,Publisher,,The status is Not yet submitted
CB.1.8.3.,Publisher,,The Last updated date is today's date
CB.1.8.4.,Publisher,,You see an edit and a delete button next to it
----------,----------,----------,----------

----------,----------,----------,----------
## CB.2,----------,## Edit a draft,----------
CB.2.1.,Publisher,Log in (or register) to submit an application /account/login?redirected=apply,
CB.2.1.1.,Publisher,,You are shown the first page of the application form
CB.2.2.,Publisher,Complete the first two questions of the application form and the title on the second page,
CB.2.3.,Publisher,Click 'Save the draft',
CB.2.3.1.,Publisher,,You are shown a message confirming that the draft is saved and with a link to the Publisher dashboard
CB.2.4.,Publisher,Go to the  dashboard,
CB.2.5.,Publisher,Click 'Edit' on the applicatin you just started,
CB.2.5.1.,Publisher,,You are taken back to the first page of the application. All the answers you provided are still there.
CB.2.6.,Publisher,Click 'Save the draft' at the bottom,
CB.2.6.1.,Publisher,,You are shown a message confirming that the draft is saved and with a link to the Publisher dashboard
CB.2.7.,Publisher,Click the link and you are taken back to the dashboard,
