Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CA.1,----------,## View Unset Marketing Preferences,----------
CA.1.1.,any,"Go to the ""Accounts"" page",
CA.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## CA.2,----------,## Accept Marketing,----------
CA.2.1.,any,"Go to the ""Accounts"" page",
CA.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CA.2.2.,any,"select ""I consent...""",
CA.2.3.,any,"Click ""Save Settings""",
CA.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CA.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## CA.3,----------,## Decline Marketing,----------
CA.3.1.,any,"Go to the ""Accounts"" page",
CA.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CA.3.2.,any,"Select ""I do not consent""",
CA.3.3.,any,"Click ""Save Settings""",
CA.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CA.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

