Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Continuations: Continuations,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,continuations/continuations,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## V.1,----------,## Search and Navigate,----------
V.1.1.,admin,Go to the admin journals search at /admin/,
V.1.2.,admin,"Open the facet ""Discontinued year"" and select a year",
V.1.3.,admin,"Open the facet ""Continued"" and select ""Yes""",
V.1.4.,admin,"On one of the search results, click ""Edit this journal""",
V.1.4.1.,admin,,The journal edit form opens
V.1.5.,admin,"Scroll down to the section ""Continuation information"" in the left panel",
V.1.5.1.,admin,,There is an ISSN in one or both of the ISSN fields
V.1.5.2.,admin,,"There is a ""Discontinued Date"" specified, which matches your search"
V.1.6.,admin,"Click ""Unlock and Close""",
V.1.7.,admin,"Clear the filter ""Continued"" and then select ""No"" from that facet",
V.1.8.,admin,"On one of the search results, click ""Edit this journal""",
V.1.8.1.,admin,,The journal edit form opens
V.1.9.,admin,"Scroll down to the section ""Continuation information""",
V.1.9.1.,admin,,There is no ISSN specified
V.1.9.2.,admin,,"There is a ""Discontinued Date"" specified, which matches your search"
V.1.10.,admin,"Click ""Unlock and Close""",
V.1.11.,admin,Clear all your search filters,
V.1.12.,admin,"Open the facet ""In DOAJ"" and select ""True""",
V.1.13.,admin,"Open the facet ""Continued"" and select ""Yes""",
V.1.14.,admin,Click the journal title on one of your search results,
V.1.14.1.,admin,,The journal ToC page opens
V.1.14.2.,admin,,"Near the top it says ""Continued by"" or ""Continues"" and then another journal link"
V.1.15.,admin,Click the continuation journal link,
V.1.15.1.,admin,,A new journal ToC page opens
V.1.15.2.,admin,,"Near the top it says ""Continued by"" or ""Continues"" (the opposite of the previous page) and links back to the first journal you selected"
V.1.15.3.,admin,,Note that not all continuations have bi-directional linking just yet (although they should!) so you may need to repeat theese steps until you can see this behaviour
----------,----------,----------,----------

----------,----------,----------,----------
## V.2,----------,## Make a new preceeding journal,----------
V.2.1.,admin,Go to the admin journals search at /admin/,
V.2.2.,admin,"Open the facet ""In DOAJ"" and select ""True""",
V.2.3.,admin,"Select ""make a preceding continuation"" from one of the search results (take a note of its ISSN for later test result confirmation)",
V.2.3.1.,admin,,"The Journal continuation form appears, with the title ""[your journal] continues..."""
V.2.4.,admin,Enter a title and some ISSNs (they may be made up),
V.2.5.,admin,"Click ""Create""",
V.2.5.1.,admin,,You are taken to the admin journal edit form
V.2.5.2.,admin,,There is a flash message saying that your continuation has been created
V.2.5.3.,admin,,"The journal is currently withdrawn from DOAJ (there is an option to ""Reinstate"" the journal)"
V.2.5.4.,admin,,The journal form is populated with the metadata from the journal you started from
V.2.5.5.,admin,,The ISSNs you provided on the continuations form are used as the journal's ISSNs
V.2.5.6.,admin,,"The ""Continuation Information"" section specifies the ISSN of the original journal in the ""continued by"" field"
V.2.5.7.,admin,,All the notes from the original journal are also available on this Journal
V.2.6.,admin,Make some superficial modifications to the journal metadata,
V.2.7.,admin,"Click in ""Discontinued Date"" and select a date from the pop-up (it can be random)",
V.2.7.1.,admin,,"The ""Discontinued Date"" field is populated with the date you selected"
V.2.8.,admin,"Click ""Add new note""",
V.2.9.,admin,Enter a note saying you have created this preceeding continuation,
V.2.10.,admin,"Click ""SAVE""",
V.2.10.1.,admin,,The journal form is displayed
V.2.10.2.,admin,,"A flash message says ""Journal updated"""
V.2.10.3.,admin,,The metadata changes and note you added are present
V.2.11.,admin,"Click ""Reinstate""",
V.2.11.1.,admin,,A flash message alerts you that this operation has been queued for action
V.2.11.2.,admin,,"The ""Reinstate"" button has changed to 'Reinstating'"
V.2.12.,admin,Wait for the action to complete (this should be quite quick in a test environment),
V.2.13.,admin,Reload the edit form page,
V.2.13.1.,admin,,"A button now exists to ""Withdraw"" the journal from DOAJ"
V.2.14.,admin,"Click ""Unlock and Close""",
V.2.15.,admin,Click on the journal title for which you made a continuation,
V.2.15.1.,admin,,You are taken to the Journal ToC
V.2.15.2.,admin,,"The preceeding journal you just created is linked near the top under ""Continues"""
V.2.16.,admin,Clock on the journal title for the preceeding continuation,
V.2.16.1.,admin,,You are taken to the Journal ToC
V.2.16.2.,admin,,"There is a link back to the original journal under ""Continued By"""
