Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Quick Reject: Quick Reject Feature,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,quick_reject/quick_reject_feature,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BZ.1,----------,## Edit a Rejected Application,----------
BZ.1.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BZ.1.2.,admin,"Select a ""Rejected"" application (e.g. by selecting ""Rejected"" from the ""Application Status"" facet on the left), and click ""View finished application""",
BZ.1.2.1.,admin,,The applicaiton review page is shown
BZ.1.2.2.,admin,,"The application is in status ""Rejected"""
BZ.1.2.3.,admin,,"There is no ""Quick Reject"" button shown on the page"
BZ.1.3.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BZ.2,----------,## Edit an Accepted Application,----------
BZ.2.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BZ.2.2.,admin,"Select an ""Accepted"" application (e.g. by selecting ""Accepted"" from the ""Application Status"" facet on the left), and click  ""View finished application""",
BZ.2.2.1.,admin,,The applicaiton review page is shown
BZ.2.2.2.,admin,,"The application is in status ""Accepted"""
BZ.2.2.3.,admin,,"There is no ""Quick Reject"" button shown on the page"
BZ.2.3.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BZ.3,----------,## Select a pre-determined reject reason only,----------
BZ.3.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BZ.3.2.,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application",
BZ.3.2.1.,admin,,The applicaiton review page is shown
BZ.3.2.2.,admin,,"The ""Quick Reject"" feature is shown above the application form"
BZ.3.3.,admin,"Select a reason for rejection from the pull-down menu.  Select any reason except ""Other"".  Do not enter any text in the additional information box",
BZ.3.4.,admin,"click ""Quick Reject""",
BZ.3.4.1.,admin,,"A flash message containing the text ""This application was rejected with the reason 'X'"" is displayed, where X is the reason you selected for rejection."
BZ.3.4.2.,admin,,"A flash message containing the text ""Sent email to 'X' to tell them that their journal application was rejected"" is displayed, where X is the journal contact"
BZ.3.4.3.,admin,,The applicaiton review page is shown
BZ.3.4.4.,admin,,"The application is in status ""Rejected"""
BZ.3.4.5.,admin,,"There is no ""Quick Reject"" button shown on the page"
BZ.3.4.6.,admin,,"There is a note attached to the application at the current date/time which contains the text ""[User name:] This application was rejected with the reason 'X'"" is displayed, where X is the reason you selected for rejection."
BZ.3.5.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BZ.4,----------,## Select a pre-determined reject reason and add custom text,----------
BZ.4.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BZ.4.2.,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application",
BZ.4.2.1.,admin,,The applicaiton review page is shown
BZ.4.2.2.,admin,,"The ""Quick Reject"" feature is shown above the application form"
BZ.4.3.,admin,"Select a reason for rejection from the pull-down menu.  Select any reason except ""Other"".",
BZ.4.4.,admin,Enter some free-text in the additional information box,
BZ.4.5.,admin,"click ""Quick Reject""",
BZ.4.5.1.,admin,,"A flash message containing the text ""This application was rejected with the reason 'X - Y'"" is displayed, where X is the reason you selected for rejection, and Y is the free text you entered"
BZ.4.5.2.,admin,,"A flash message containing the text ""Sent email to 'X' to tell them that their journal application was rejected"" is displayed, where X is the journal contact"
BZ.4.5.3.,admin,,The applicaiton review page is shown
BZ.4.5.4.,admin,,"The application is in status ""Rejected"""
BZ.4.5.5.,admin,,"There is no ""Quick Reject"" button shown on the page"
BZ.4.5.6.,admin,,"There is a note attached to the application at the current date/time which contains the text ""This application was rejected with the reason 'X - Y'"" is displayed, where X is the reason you selected for rejection, and Y is the free text you entered"
BZ.4.6.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BZ.5,----------,## Provide a custom rejection reason,----------
BZ.5.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BZ.5.2.,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application",
BZ.5.2.1.,admin,,The applicaiton review page is shown
BZ.5.2.2.,admin,,"The ""Quick Reject"" feature is shown above the application form"
BZ.5.3.,admin,"Select ""Other"" from the pull-down menu of reasons for rejection",
BZ.5.4.,admin,Enter some free-text in the additional information box,
BZ.5.5.,admin,"click ""Quick Reject""",
