Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# New Application Form: Publisher's Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,new_application_form/publishers_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BN.1,----------,## PAGE 1 - Open access compliance,----------
BN.1.1.,publisher,Go to the application form,
BN.1.1.1.,publisher,,The top section displays only the journal title
BN.1.1.2.,publisher,,There is no fixed/sticky section
BN.1.2.,publisher,Click the question mark next to the questions.,
BN.1.2.1.,publisher,,A pop-up help box appears 'You can click the link in the help box'
BN.1.3.,publisher,Click close,
BN.1.3.1.,publisher,,The pop-up box disappears
BN.1.4.,publisher,Click Next,
BN.1.5.,publisher,Click Yes on the first question,
BN.1.5.1.,publisher,,The error message disappears
BN.1.6.,publisher,Click No on the first question,
BN.1.6.1.,publisher,,You see the error message: 'DOAJ only indexes open access journals which comply with the statement above. Please check and update the open access statement of your journal. You may return to this application at any time.'
BN.1.7.,publisher,Click Yes on the first question,
BN.1.7.1.,publisher,,The error message disappears
BN.1.8.,publisher,Type XXX into the box for question 2,
BN.1.8.1.,publisher,,The error message changes: 'This value should be a valid URL'
BN.1.9.,publisher,Type https://doaj.org into the box,
BN.1.9.1.,publisher,,The URL is shown underneath the box and is clickable
BN.1.10.,publisher,Click Next,
BN.1.10.1.,publisher,,An error message appears under the last questions indicating that you must answer them
BN.1.11.,publisher,Type 1800,
BN.1.12.,publisher,Click Next,
BN.1.12.1.,publisher,,You see the error message: 'This value should be between 1900 and 2023'
BN.1.13.,publisher,Type 2100,
BN.1.14.,publisher,Click Next,
BN.1.14.1.,publisher,,You see the error message: 'This value should be between 1900 and 2023'
BN.1.15.,publisher,Type 2000,
BN.1.16.,publisher,Click Next,
BN.1.16.1.,publisher,,"You're taken to the ""About"" page"
----------,----------,----------,----------

----------,----------,----------,----------
## BN.2,----------,## PAGE 2 - About,----------
BN.2.1.,publisher,Check the application progress Menu at the right,
BN.2.1.1.,publisher,,"1st page marked with a tick, 2nd tab marked orange as active"
BN.2.2.,publisher,Click on the (1) in the application progress menu,
BN.2.2.1.,publisher,,You're taken to the first tab
BN.2.3.,publisher,"Create an error (eg. Change the answer to the 1st question to ""No"")",
BN.2.4.,publisher,Click on the (2) in the application progress menu,
BN.2.4.1.,publisher,,"You're taken to the 2nd tab, 1st tab is marked red as containing invalid answers"
BN.2.5.,publisher,"Click ""Back"" at the bottom of 2nd tab",
BN.2.5.1.,publisher,,You're taken to the 1st tab
BN.2.6.,publisher,Change the answer to Yes,
BN.2.7.,publisher,Scroll to the bottom and click Next,
BN.2.7.1.,publisher,,"Journal Title, Link to the journal's homepage, ISSN, Keywords, Languages, Publisher's name and country - marked as required"
BN.2.8.,publisher,Fill in the title field and the homepage URL,
BN.2.9.,publisher,In the ISSN (print) field add xxxx-xxxx,
BN.2.9.1.,publisher,,You see the error message: 'This is not a valid ISSN'
BN.2.10.,publisher,Repeat in the ISSN (online) field,
BN.2.10.1.,publisher,,You see the same error message
BN.2.11.,publisher,Enter the same ISSN in both fields,
BN.2.11.1.,publisher,,You see the error message: Value of this field and pissn field must be different
BN.2.12.,publisher,Change the value of one ISSN,
BN.2.12.1.,publisher,,All error messages clear.
BN.2.12.2.,publisher,,Under both ISSN fields the link to 'https://portal.issn.org/resource/ISSN/<issn>' is displayed
BN.2.13.,publisher,Add keywords,
BN.2.13.1.,publisher,,"As you type, you see suggestions in a list below the box"
BN.2.14.,publisher,Select a suggestion,
BN.2.14.1.,publisher,,It is added to the box
BN.2.15.,publisher,Add 7 keywords,
BN.2.15.1.,publisher,,"As you write the 7th keyword, you see the message: You can only select 6 items"
BN.2.16.,publisher,Click on the X in two keywords,
BN.2.16.1.,publisher,,They disappear
BN.2.17.,publisher,Click in the languages box,
BN.2.17.1.,publisher,,You can start to type and suggested languages appear
BN.2.18.,publisher,Select and language and then click the arrow next to it,
BN.2.18.1.,publisher,,A dropdown list of all available languages appears.
BN.2.19.,publisher,Click Add Another,
BN.2.19.1.,publisher,,Another language field appears
BN.2.20.,publisher,Click 'Remove' next to it,
BN.2.20.1.,publisher,,It disappears
BN.2.21.,publisher,Enter the same value in 'Publisher's name' and Other organisation's name',
BN.2.22.,publisher,Click Next,
BN.2.22.1.,publisher,,You see the error message: The Publisher name oand Other organisation name cannot be the same.
BN.2.23.,publisher,"Repeat the previous step, checking if the validator is case insensitive (e.g. ""Publisher's name"" and ""publisher's Name"")",
BN.2.23.1.,publisher,,The error message is still displayed
BN.2.24.,publisher,"Repeat steps X to X for the Publisher's Name, Country, Other organisation's name, Country",
BN.2.25.,publisher,"Delete the values from 'Other organisation's name', leave 'Other organisation's country' filled in",
BN.2.25.1.,publisher,,You see the error message: You cannot provide a country for the other organisation question without providing the other organisation's name
BN.2.26.,publisher,"Fill back in the 'Other organisation's country"" field",
BN.2.26.1.,publisher,,You can submit the page without providing answers to optional questions.
----------,----------,----------,----------

----------,----------,----------,----------
## BN.3,----------,## PAGE 3 - Copyright & licensing,----------
BN.3.1.,publisher,Check the application progress Menu at the right,
BN.3.1.1.,publisher,,"1st and 2nd pages marked with a tick, 3rd page is marked orange as active"
BN.3.2.,publisher,Select 3 of the CC licenses,
BN.3.2.1.,publisher,,You can select multiple items
BN.3.3.,publisher,"With a CC license selected, choose Publisher's own license",
BN.3.3.1.,publisher,,"The CC license remains selected and the ""attributes"" choices appear."
BN.3.4.,publisher,Choose some attributes and try to click on a CC license,
BN.3.4.1.,publisher,,The checkboxes are active
BN.3.5.,publisher,Deselect 'Publisher's own license',
BN.3.5.1.,publisher,,"""Attributes"" question disappears"
BN.3.6.,publisher,Enter a URL in the license terms box,
BN.3.7.,publisher,Embedded licences: click Yes,
BN.3.7.1.,publisher,,The URL field appears.
BN.3.8.,publisher,Click No,
BN.3.8.1.,publisher,,The URL field disappears
BN.3.9.,publisher,Scroll to the bottom and click the Back button,
BN.3.9.1.,publisher,,You are taken to Page 2.
BN.3.10.,publisher,ClickPage 3 Copyright & licensing on the progress bar,
BN.3.10.1.,publisher,,You are taken back to Page 3 and your answers are preserved.
BN.3.11.,publisher,Complete all fields and click Next,
----------,----------,----------,----------

----------,----------,----------,----------
## BN.4,----------,## PAGE 4 - Editorial,----------
BN.4.1.,publisher,Click on 2 or 3 types of peer review,
BN.4.1.1.,publisher,,You can select multiple values
BN.4.2.,publisher,Click Other,
BN.4.2.1.,publisher,,The box 'Other peer review' appears
BN.4.3.,publisher,Unclick Other,
BN.4.3.1.,publisher,,It disappears
