Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Editorial Form Field Placement Changes: Editorial Form Field Placement Changes,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,editorial_form_field_placement_changes/editorial_form_field_placement_changes,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BG.1,----------,## Admin – Updated Form Layout and Field Behaviour,----------
,,Setup: Go to /testdrive/form_rearrangement,
BG.1.1.,admin,"Log in as DukeDingleberry, the admin",
BG.1.2.,admin,Access the journal form at /admin/journal_id,
BG.1.2.1.,admin,,The plagiarism questions appear in the Best Practice section
BG.1.2.2.,admin,,The keywords field is positioned at the end of the Editorial section
BG.1.2.3.,admin,,The subject classification field is positioned at the end of the Editorial section
BG.1.2.4.,admin,,There is no subject classification modal
BG.1.2.5.,admin,,The subject classification question is now displayed directly in the main form body
BG.1.3.,admin,Remove the currently selected subject,
BG.1.3.1.,admin,,The change is correctly reflected under the subject browser
BG.1.4.,admin,Use the search input to find any subject,
BG.1.4.1.,admin,,The subject browser behaves correctly when searched
BG.1.5.,admin,Select a subject,
BG.1.5.1.,admin,,The change is correctly reflected under the subject browser
BG.1.6.,admin,Save the form,
BG.1.6.1.,admin,,The new subject is saved correctly
BG.1.7.,admin,"Click ""Unlock & Close""",
BG.1.8.,admin,Access the application form at /application/application_id,
BG.1.8.1.,admin,,Same checks as above
BG.1.9.,admin,"Click ""Unlock & Close""",
BG.1.10.,admin,Access the update request form at /application/update_request_id,
BG.1.10.1.,admin,,Same checks as above
BG.1.11.,admin,"Click ""Unlock & Close""",
BG.1.12.,admin,Log out of the admin account,
----------,----------,----------,----------

----------,----------,----------,----------
## BG.2,----------,## Editor – Updated Form Layout and Field Behaviour,----------
,,Setup: Go to /testdrive/form_rearrangement,
BG.2.1.,editor,"Log in as CountessCrumblewhisk, the editor",
BG.2.2.,editor,Access the application form at /editor/application/application_id,
BG.2.2.1.,editor,,The plagiarism questions appear in the Best Practice section
BG.2.2.2.,editor,,The keywords field is positioned at the end of the Editorial section
BG.2.2.3.,editor,,The subject classification field is positioned at the end of the Editorial section
BG.2.2.4.,editor,,There is no subject classification modal
BG.2.2.5.,editor,,The subject classification question is now displayed directly in the main form body
BG.2.3.,editor,Remove the currently selected subject,
BG.2.3.1.,editor,,The change is correctly reflected under the subject browser
BG.2.4.,editor,Use the search input to find any subject,
BG.2.4.1.,editor,,The subject browser behaves correctly when searched
BG.2.5.,editor,Select a subject,
BG.2.5.1.,editor,,The change is correctly reflected under the subject browser
BG.2.6.,editor,Save the form,
BG.2.6.1.,editor,,The new subject is saved correctly
BG.2.7.,editor,"Click ""Unlock & Close""",
BG.2.8.,editor,Log out of the editor account,
----------,----------,----------,----------

----------,----------,----------,----------
## BG.3,----------,## Publisher – Fields Remain in Existing Sections,----------
,,Setup: Go to /testdrive/form_rearrangement,
BG.3.1.,publisher,"Log in as LordSniffleton, the publisher",
BG.3.2.,publisher,Access the update request form at /publisher/update_request/journal_id,
BG.3.2.1.,publisher,,The keywords question remains in the About section (not moved to the Editorial section)
BG.3.2.2.,publisher,,The plagiarism questions appear in the Best Practice section
BG.3.3.,publisher,"Click ""Unlock & Close""",
BG.3.4.,publisher,Access the new application form at /apply,
BG.3.4.1.,publisher,,Same checks as above
BG.3.5.,publisher,Log out of the publisher account,
----------,----------,----------,----------

