Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Journal Form: Editor Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,journal_form/editor_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BJ.1,----------,## Interactions,----------
Depends on Journal Form : ManEd Form,,,
BJ.1.1.,editor,Go to Journal Search page at /editor/group_journals,
BJ.1.2.,editor,"Click ""Edit this journal"" link at the bottom of any journal - note the title of the edited journal for future reference",
BJ.1.2.1.,editor,,Page /editor/journal/<id> is open in a new browser window/tab (<id> is id of the chosen journal)
BJ.1.2.2.,editor,,Editor Group drop down in Editorial area is disabled and show your group's name
BJ.1.3.,editor,"Click on the ""Assigned to"" drop down in Editorial area",
BJ.1.3.1.,editor,,All editors from your group are available to choose
BJ.1.4.,editor,"Choose any editor from ""Assigned to"" drop down by clicking on his name",
BJ.1.4.1.,editor,,"Now chosen editor's name is displayed in ""Assigned"" to field"
BJ.1.4.2.,editor,,"Besides ""Editorial"" only ""Basic Journal Information"", ""Subject classification"", ""Quality and Transparency of the Editoria Process"", ""How Open is the Journal"", ""Contact licensing"", ""Copyright and Permissions"" and ""Notes"" areas are displayed to edit"
BJ.1.4.3.,editor,,Note that you cannot change the Editor Group but can assign the journal to different Editor
BJ.1.4.4.,editor,,All displayed questions are editable
BJ.1.5.,editor,Edit value of one of the fields,
BJ.1.6.,editor,"Click red ""Save"" button",
BJ.1.6.1.,editor,,"Message banner ""Journal updated."" is shown at the top of the page"
BJ.1.7.,editor,Click Dismiss at the right of the banner,
BJ.1.7.1.,editor,,The banner hides
BJ.1.8.,editor,"Click ""Unlock and Close"" button at the top of the application",
BJ.1.8.1.,editor,,"You see the message: This record is now unlocked
You may close this tab safely."
BJ.1.9.,editor,Close the tab.,
BJ.1.10.,editor,Go back to the /editor/group_journals,
BJ.1.10.1.,editor,,Confirm appropriate data was changed either on search result (you may need to refresh the page to see them applied) or on Journals page at /toc/<id>
----------,----------,----------,----------

----------,----------,----------,----------
## BJ.2,----------,## Note features for Editor,----------
BJ.2.1.,editor,"Prepare two editor accounts (editor1 and editor2), they both can access to the same journal (e.g. /editor/journal/1234)",
BJ.2.2.,editor,Login as `editor1`,
BJ.2.3.,editor,Go to Journal page at `/editor/journal/1234`,
BJ.2.4.,editor,"Click ""ADD"" button in ""Notes"" area",
BJ.2.4.1.,editor,,New note UI is displayed for you to fill in
BJ.2.5.,editor,Fill in the note,
BJ.2.6.,editor,"Click ""Save"" button",
BJ.2.6.1.,editor,,The note is saved and displayed in the list of notes
BJ.2.6.2.,editor,,you username and user id will be showed on that note
BJ.2.6.3.,editor,,the date and time you created the note will be shown
BJ.2.7.,editor,Click into the note field and edit the note,
BJ.2.7.1.,editor,,The note is editable
BJ.2.8.,editor,"Click ""Remove"" underneath the note",
BJ.2.8.1.,editor,,The note is deleted
BJ.2.9.,editor,Create a new note as per the above steps,
BJ.2.10.,editor,Switch to other associate editor account `editor2`,
BJ.2.11.,editor,Go to Journal page at `/editor/journal/1234`,
BJ.2.11.1.,editor,,You can see the note that you have created before with `editor1`
BJ.2.12.,editor,Attempt to click into the note area and edit it,
BJ.2.12.1.,editor,,you are unable to edit the note
BJ.2.13.,editor,"Attempt to click the ""Remove"" button",
BJ.2.13.1.,editor,,You are unable to delete the note
BJ.2.14.,editor,"Click ""copy"" button next to one of the fields (eg. Title)",
BJ.2.14.1.,editor,,Confirmation with fields value is displayed for 3 seconds
BJ.2.15.,editor,Attempt to paste the value (use separate editor),
BJ.2.15.1.,editor,,Correct value is pasted
----------,----------,----------,----------

