Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Admin Article Metadata Form: Admin Article Metadata Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,admin_article_metadata_form/admin_article_metadata_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## B.1,----------,## Preparation,----------
,,Setup: Ensure you own a journal with ISSNs 1234-5678 and 9876-5432 and no articles attached,
,,Setup: Ensure you are an owner of a journal with ISSN 0000-0000 that is not in DOAJ,
B.1.1.,Admin,"Upload set of test articles

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/4145_prompt_at_rejection/doajtest/xml_upload_test_package/admin_metadata_form_test_pack.xml",
B.1.1.1.,Admin,,3 Articles are uploaded and attached to the journal
----------,----------,----------,----------

----------,----------,----------,----------
## B.2,----------,## Updating data other then DOI and Fulltext URL,----------
Depends on Admin Article Metadata Form : Admin Article Metadata Form : Preparation,,,
B.2.1.,Admin,"Go to admin journal and articles search, choose Articles from the ""Journals vs Articles"" facets at the left",
B.2.1.1.,Admin,,"Each article in the search results has ""Delete this article | Edit this article"" option in the lower right corner"
B.2.2.,Admin,"Find ""Success 300"" article",
B.2.3.,Admin,"Click ""Edit this article""",
B.2.3.1.,Admin,,"The Admin Metadata Form for ""Success 300"" article is opened in the new window"
B.2.4.,Admin,Check if PISSN and EISSN dropdowns have 1234-5678 and 9876-5432 options,
B.2.5.,Admin,Check that PISSN and EISSN dropdowns have not 0000-0000 option,
B.2.6.,Admin,Check the Authors section,
B.2.6.1.,Admin,,"There is only one author and no ""Remove Author"" button"
B.2.7.,Admin,"Click ""Add Author""",
B.2.7.1.,Admin,,"New empty Author Subform appears, each has ""Remove Author"" option"
B.2.8.,Admin,"Click ""Remove Author"" under one of the authors",
B.2.8.1.,Admin,,The author is removed from the list
B.2.9.,Admin,"Change the title to ""Success 400""",
