Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Public Site: ToC,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,public_site/toc,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BS.1,----------,## Test Correctly Displayed Discontinued  Date,----------
BS.1.1.,anonymous,Search for every journal from the list above,
BS.1.1.1.,anonymous,,On the ToC of the journal with discontinued date in the past or today - the discontinued date is displayed
BS.1.1.2.,anonymous,,On the ToC of the journal with discontinued date in the future - the discontinued date is not displayed
----------,----------,----------,----------

----------,----------,----------,----------
## BS.2,----------,## Test articles journal's page,----------
BS.2.1.,anonymous,"To prepare for this test, ensure that a journal is publicly available in DOAJ, containing a minimum of 4 articles, with 2 from one month and 2 from another, and these months must not be consecutive (e.g. 2 articles from January and 2 from March).",
BS.2.2.,anonymous,Search for the above journal,
BS.2.2.1.,anonymous,,"On the ""Articles"" tab in the ToC of the journal, the articles are displayed."
BS.2.2.2.,anonymous,,"On the left, the ""Month"" facet is displayed."
BS.2.3.,anonymous,Select one of the years from the Year facet,
BS.2.4.,anonymous,Select one of the months from the list,
BS.2.4.1.,anonymous,,"On the ""Articles"" tab in the ToC of the journal, the articles from the selected month are displayed."
BS.2.4.2.,anonymous,,"On the left, the ""Month"" facet is displayed."
BS.2.4.3.,anonymous,,"The selected month is displayed as selected in the ""Month"" facet."
----------,----------,----------,----------

----------,----------,----------,----------
## BS.3,----------,## Journal with Last Full Review date,----------
BS.3.1.,anonymous,"To prepare for this test, ensure that a journal is publicly available in DOAJ with a Last Full Review date set in the past. You can use the testdrive setup linked here if none are available

http://testdoaj.cottagelabs.com//testdrive/publisher_with_journal",
BS.3.2.,anonymous,"Search for the above journal on the public search page (e.g. by the identifier provided by the testdrive)

http://testdoaj.cottagelabs.com//search/journals",
BS.3.3.,anonymous,click the journal title to go to the ToC page,
BS.3.3.1.,anonymous,,"At the bottom of the ToC page is a ""Last Full Review"" date, showing the date set in the journal record."
----------,----------,----------,----------

----------,----------,----------,----------
## BS.4,----------,## Update Request link behaviour for publisher and non-owner,----------
BS.4.1.,anonymous,Ensure you are not logged in.  You may use a private browsing window to do this if you are already logged in.,
BS.4.2.,anonymous,"Go to the public page of ""Journal of Exoplanetary Biosignatures XXXXX"".  Where XXXX is the unique identifier provided on the testdrive page.  You may follow the link from the testdrive page to get to the journal's public page.",
BS.4.2.1.,anonymous,,"In the ""Journal metadata"" column, in the ""Publisher"" tile, a message is displayed ""Are you associated with this journal? Help us keep your record accurate! Click here to submit an update."""
BS.4.3.,anonymous,"Click the ""Click here to submit an update"" link.",
BS.4.3.1.,anonymous,,A right-hand drawer opens displaying a login form.
BS.4.4.,anonymous,Log in using the admin credentials for Celestial Frontiers Press provided on the testdrive page.,
BS.4.4.1.,anonymous,,"The update request form for the journal ""Journal of Exoplanetary Biosignatures"" is displayed."
BS.4.5.,anonymous,"Without logging out, return to the public page of ""Journal of Exoplanetary Biosignatures"".",
BS.4.5.1.,anonymous,,"In the ""Journal metadata"" column, in the ""Publisher"" tile, a message is displayed ""This is your journal! Help us keep your record accurate. Click here to submit an update."""
BS.4.6.,anonymous,"Click the ""Click here to submit an update"" link.",
BS.4.6.1.,anonymous,,"The update request form for the journal ""Journal of Exoplanetary Biosignatures"" is displayed."
BS.4.7.,anonymous,"Without logging out, go to the public page of ""Annals of Stellar Habitat Studies XXXXX"". Where XXXXX is the unique identifier provided on the testdrive page.  You may follow the link from the testdrive page to get to the journal's public page.",
BS.4.7.1.,anonymous,,"In the ""Journal metadata"" column, in the ""Publisher"" tile, no update request link is displayed."
BS.4.8.,anonymous,Log out.,
BS.4.9.,anonymous,"Go to the public page of ""Annals of Stellar Habitat Studies"".",
BS.4.9.1.,anonymous,,"In the ""Journal metadata"" column, in the ""Publisher"" tile, the update request link is displayed."
BS.4.10.,anonymous,"Click the ""Click here to submit an update"" link.",
BS.4.10.1.,anonymous,,A right-hand drawer opens displaying a login form.
BS.4.11.,anonymous,"Log in as ""Celestial Frontier Press"" using the credentials provided on the testdrive page.",
BS.4.11.1.,anonymous,,"You are redirected to the ""My journals"" section of the Publisher Dashboard."
BS.4.11.2.,anonymous,,"A message is displayed at the top of the page ""You are not the owner of a journal you're trying to access. Here are the journals associated with your account."""
----------,----------,----------,----------

