Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CK.1,----------,## View Unset Marketing Preferences,----------
CK.1.1.,any,"Go to the ""Accounts"" page",
CK.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## CK.2,----------,## Accept Marketing,----------
CK.2.1.,any,"Go to the ""Accounts"" page",
CK.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CK.2.2.,any,"select ""I consent...""",
CK.2.3.,any,"Click ""Save Settings""",
CK.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CK.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## CK.3,----------,## Decline Marketing,----------
CK.3.1.,any,"Go to the ""Accounts"" page",
CK.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CK.3.2.,any,"Select ""I do not consent""",
CK.3.3.,any,"Click ""Save Settings""",
CK.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CK.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

