Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CJ.1,----------,## View Unset Marketing Preferences,----------
CJ.1.1.,any,"Go to the ""Accounts"" page",
CJ.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## CJ.2,----------,## Accept Marketing,----------
CJ.2.1.,any,"Go to the ""Accounts"" page",
CJ.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CJ.2.2.,any,"select ""I consent...""",
CJ.2.3.,any,"Click ""Save Settings""",
CJ.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CJ.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## CJ.3,----------,## Decline Marketing,----------
CJ.3.1.,any,"Go to the ""Accounts"" page",
CJ.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CJ.3.2.,any,"Select ""I do not consent""",
CJ.3.3.,any,"Click ""Save Settings""",
CJ.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CJ.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

