Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Administrative Search: Journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,administrative_search/journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## F.1,----------,## Test Admin Journal Search Interactions,----------
F.1.1.,admin,Go to the DOAJ admin journal search at /admin/,
F.1.1.1.,admin,,"All available records are found, and the first page of results is shown"
F.1.2.,admin,Open and Collapse all the facets on the left,
F.1.2.1.,admin,,The facets opens and closes as expected
F.1.2.2.,admin,,Each facet contains a maximum of 10 values relevant to that field
F.1.3.,admin,Open one of the facets of your choice,
F.1.4.,admin,Select one of the values for that facet,
F.1.4.1.,admin,,"All the results for the selected constraints are found, and the first page is shown"
F.1.4.2.,admin,,The filter applied is shown in the facets on the left and above the search results
F.1.5.,admin,Click the value off in the facet to the left so all values are shown again,
F.1.5.1.,admin,,The search results reset
F.1.6.,admin,Go through each sort option in the sort option for one facet,
F.1.6.1.,admin,,The order that the filters are listed in changes accordingly
F.1.7.,admin,"In each case, click the ""sort by"" button to reverse the direction of sort",
F.1.7.1.,admin,,The order that the filters are listed in changes accordingly
F.1.8.,admin,"Go through each SORT BY option at the top of the search results, choosing from Relevance, Title, Last updated, Date added  and remembering to change the order from Ascending to Descending",
F.1.8.1.,admin,,The current search results change with each selection and are then ordered correctly according to the selected sort field and the selected sort direction
F.1.9.,admin,Enter a search term in the search box,
F.1.9.1.,admin,,"All the results for the selected constraints are found, and the first page is shown"
F.1.9.2.,admin,,Your search text remains in the search box
F.1.9.3.,admin,,"You can click into the search box, your search terms remains and you can modify it"
F.1.10.,admin,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly",
F.1.10.1.,admin,,"If there are search results, the first page is displayed"
