Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Dashboard: Historical Statistics,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,dashboard/historical_statistics,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BC.1,----------,## Historical Statistics Display - Managing Editor with 3 groups,----------
BC.1.1.,admin,"Navigate to ""/testdrive/statistics"" and wait for the page to load slowly. This should be done once at the beginning of the test session and not refreshed between individual tests.",
BC.1.2.,admin,Log in with provided managing_editor credentials.,
BC.1.2.1.,admin,,User dashboard is displayed.
BC.1.3.,admin,Verify historical statistics in the Activity section at the bottom.,
BC.1.3.1.,admin,,Three groups are displayed.
BC.1.3.2.,admin,,Only associate editors are shown in the Activity section for each group.
BC.1.3.3.,admin,,Each group has the correct statistics for the current year.
BC.1.3.4.,admin,,"The number of READY/COMPLETED applications matches the ""additional information"" table."
BC.1.4.,admin,Log out.,
BC.1.5.,admin,(Optional) Click the link at the bottom of the testdrive page to free resources after finishing this test session.,
----------,----------,----------,----------

----------,----------,----------,----------
## BC.2,----------,## Historical Statistics Display - Editor with 2 groups,----------
BC.2.1.,editor,"Navigate to ""/testdrive/statistics"" and wait for the page to load slowly. This should be done once at the beginning of the test session and not refreshed between individual tests.",
BC.2.2.,editor,Log in with provided editor_1 credentials.,
BC.2.2.1.,editor,,User dashboard is displayed.
BC.2.3.,editor,Verify the motivational banner at the top of the dashboard (green) and check number of finished applications.,
BC.2.3.1.,editor,,The motivational banner is GREEN and shows the correct sum of applications finished in both groups.
BC.2.4.,editor,Verify historical statistics in the Activity section at the bottom.,
BC.2.4.1.,editor,,Two groups are displayed.
BC.2.4.2.,editor,,Only associate editors are shown in the Activity section for each group.
BC.2.4.3.,editor,,Each group has the correct statistics for the current year.
BC.2.4.4.,editor,,"The number of READY/COMPLETED applications matches the ""additional information"" table."
BC.2.5.,editor,Log out.,
BC.2.6.,editor,(Optional) Click the link at the bottom of the testdrive page to free resources after finishing this test session.,
----------,----------,----------,----------

----------,----------,----------,----------
## BC.3,----------,## Historical Statistics Display - Editor with 1 group,----------
BC.3.1.,editor,"Navigate to ""/testdrive/statistics"" and wait for the page to load slowly. This should be done once at the beginning of the test session and not refreshed between individual tests.",
BC.3.2.,editor,Log in with provided editor_2 credentials.,
BC.3.2.1.,editor,,User dashboard is displayed.
BC.3.3.,editor,Verify the motivational banner at the top of the dashboard (green) and check number of finished applications.,
BC.3.3.1.,editor,,The motivational banner is GREEN and shows the correct sum of applications finished in the group.
BC.3.4.,editor,Verify historical statistics in the Activity section at the bottom.,
BC.3.4.1.,editor,,One group is displayed.
BC.3.4.2.,editor,,Only associate editors are shown in the Activity section for the group.
BC.3.4.3.,editor,,The group has the correct statistics for the current year.
BC.3.4.4.,editor,,"The number of READY/COMPLETED applications matches the ""additional information"" table."
BC.3.5.,editor,Log out.,
BC.3.6.,editor,(Optional) Click the link at the bottom of the testdrive page to free resources after finishing this test session.,
----------,----------,----------,----------

----------,----------,----------,----------
## BC.4,----------,## Historical Statistics Display - Associate Editors with 0 finished applications,----------
BC.4.1.,associate editor,"Navigate to ""/testdrive/statistics"" and wait for the page to load slowly. This should be done once at the beginning of the test session and not refreshed between individual tests.",
BC.4.2.,associate editor,Log in with provided associate_editor_1 credentials.,
BC.4.2.1.,associate editor,,User dashboard is displayed.
BC.4.3.,associate editor,Verify the motivational banner at the top of the dashboard (grey).,
BC.4.3.1.,associate editor,,The motivational banner is GREY with appropriate information about no finished applications.
BC.4.4.,associate editor,Verify no statistics are displayed at the bottom of the page.,
BC.4.4.1.,associate editor,,No statistics are displayed in the Activity section.
BC.4.5.,associate editor,Log out.,
----------,----------,----------,----------

----------,----------,----------,----------
## BC.5,----------,## Historical Statistics Display - Associate Editor 2,----------
BC.5.1.,associate editor,"Navigate to ""/testdrive/statistics"" and wait for the page to load slowly. This should be done once at the beginning of the test session and not refreshed between individual tests.",
BC.5.2.,associate editor,Log in with provided associate_editor_2 credentials.,
BC.5.2.1.,associate editor,,User dashboard is displayed.
BC.5.3.,associate editor,Verify the motivational banner at the top of the dashboard (green).,
BC.5.3.1.,associate editor,,The motivational banner is GREEN.
BC.5.4.,associate editor,Verify no statistics are displayed at the bottom of the page.,
BC.5.4.1.,associate editor,,No statistics are displayed in the Activity section.
BC.5.5.,associate editor,Log out.,
BC.5.6.,associate editor,(Optional) Click the link at the bottom of the testdrive page to free resources after finishing this test session.,
----------,----------,----------,----------

