Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Quick Reject: Quick Reject Feature,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,quick_reject/quick_reject_feature,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BQ.1,----------,## Edit a Rejected Application,----------
BQ.1.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BQ.1.2.,admin,"Select a ""Rejected"" application (e.g. by selecting ""Rejected"" from the ""Application Status"" facet on the left), and click ""View finished application""",
BQ.1.2.1.,admin,,The applicaiton review page is shown
BQ.1.2.2.,admin,,"The application is in status ""Rejected"""
BQ.1.2.3.,admin,,"There is no ""Quick Reject"" button shown on the page"
BQ.1.3.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BQ.2,----------,## Edit an Accepted Application,----------
BQ.2.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BQ.2.2.,admin,"Select an ""Accepted"" application (e.g. by selecting ""Accepted"" from the ""Application Status"" facet on the left), and click  ""View finished application""",
BQ.2.2.1.,admin,,The applicaiton review page is shown
BQ.2.2.2.,admin,,"The application is in status ""Accepted"""
BQ.2.2.3.,admin,,"There is no ""Quick Reject"" button shown on the page"
BQ.2.3.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BQ.3,----------,## Select a pre-determined reject reason only,----------
BQ.3.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BQ.3.2.,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application",
BQ.3.2.1.,admin,,The applicaiton review page is shown
BQ.3.2.2.,admin,,"The ""Quick Reject"" feature is shown above the application form"
BQ.3.3.,admin,"Select a reason for rejection from the pull-down menu.  Select any reason except ""Other"".  Do not enter any text in the additional information box",
BQ.3.4.,admin,"click ""Quick Reject""",
BQ.3.4.1.,admin,,"A flash message containing the text ""This application was rejected with the reason 'X'"" is displayed, where X is the reason you selected for rejection."
BQ.3.4.2.,admin,,"A flash message containing the text ""Sent email to 'X' to tell them that their journal application was rejected"" is displayed, where X is the journal contact"
BQ.3.4.3.,admin,,The applicaiton review page is shown
BQ.3.4.4.,admin,,"The application is in status ""Rejected"""
BQ.3.4.5.,admin,,"There is no ""Quick Reject"" button shown on the page"
BQ.3.4.6.,admin,,"There is a note attached to the application at the current date/time which contains the text ""[User name:] This application was rejected with the reason 'X'"" is displayed, where X is the reason you selected for rejection."
BQ.3.5.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BQ.4,----------,## Select a pre-determined reject reason and add custom text,----------
BQ.4.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BQ.4.2.,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application",
BQ.4.2.1.,admin,,The applicaiton review page is shown
BQ.4.2.2.,admin,,"The ""Quick Reject"" feature is shown above the application form"
BQ.4.3.,admin,"Select a reason for rejection from the pull-down menu.  Select any reason except ""Other"".",
BQ.4.4.,admin,Enter some free-text in the additional information box,
BQ.4.5.,admin,"click ""Quick Reject""",
BQ.4.5.1.,admin,,"A flash message containing the text ""This application was rejected with the reason 'X - Y'"" is displayed, where X is the reason you selected for rejection, and Y is the free text you entered"
BQ.4.5.2.,admin,,"A flash message containing the text ""Sent email to 'X' to tell them that their journal application was rejected"" is displayed, where X is the journal contact"
BQ.4.5.3.,admin,,The applicaiton review page is shown
BQ.4.5.4.,admin,,"The application is in status ""Rejected"""
BQ.4.5.5.,admin,,"There is no ""Quick Reject"" button shown on the page"
BQ.4.5.6.,admin,,"There is a note attached to the application at the current date/time which contains the text ""This application was rejected with the reason 'X - Y'"" is displayed, where X is the reason you selected for rejection, and Y is the free text you entered"
BQ.4.6.,admin,"Click the ""Unlock and Close"" button",
----------,----------,----------,----------

----------,----------,----------,----------
## BQ.5,----------,## Provide a custom rejection reason,----------
BQ.5.1.,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
BQ.5.2.,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application",
BQ.5.2.1.,admin,,The applicaiton review page is shown
BQ.5.2.2.,admin,,"The ""Quick Reject"" feature is shown above the application form"
BQ.5.3.,admin,"Select ""Other"" from the pull-down menu of reasons for rejection",
BQ.5.4.,admin,Enter some free-text in the additional information box,
BQ.5.5.,admin,"click ""Quick Reject""",
