Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Public Site: Home Page,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,public_site/home_page,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BK.1,----------,## Launching off from Home Page,----------
BK.1.1.,anonymous,Ensure you are not logged into the system,
BK.1.2.,anonymous,Ensure you have cleared your browser cookies (you could use an ingognito browser window),
BK.1.3.,anonymous,Go to the DOAJ home page,
BK.1.3.1.,anonymous,,The DOAJ home page is displayed
BK.1.3.2.,anonymous,,The DOAJ Cookie banner is displayed
BK.1.4.,anonymous,Dismiss the Cookie Banner,
BK.1.4.1.,anonymous,,The Cookie banner disappears and does not reappear on subsequent pages
BK.1.5.,anonymous,Hover over Support,
BK.1.5.1.,anonymous,,The dropdown menu appears
BK.1.6.,anonymous,Move your mouse away from Support,
BK.1.6.1.,anonymous,,The dropdown menu disappears
BK.1.7.,anonymous,"Click ""Support"" at the top",
BK.1.7.1.,anonymous,,You are taken to Support DOAJ page
BK.1.8.,anonymous,Go back to the home page,
BK.1.9.,anonymous,Repeat for the Apply menu,
BK.1.10.,anonymous,Hover over About,
BK.1.10.1.,anonymous,,The dropdown appears
BK.1.11.,anonymous,Move your mouse away from Apply,
BK.1.11.1.,anonymous,,The dropdown menu disappears
BK.1.12.,anonymous,"Click ""About"" at the top",
BK.1.12.1.,anonymous,,The About menu appears and stays open
BK.1.13.,anonymous,"Click ""About"" at the top",
BK.1.13.1.,anonymous,,The menu disappears
BK.1.14.,anonymous,Repeat for Search and Documentation menus,
BK.1.15.,anonymous,"Click the orange magnifying glass, top right",
BK.1.15.1.,anonymous,,The Quick search box appears over the homepage
BK.1.16.,anonymous,Click it again.,
BK.1.16.1.,anonymous,,The Quick search box disappears
BK.1.17.,anonymous,Click Login,
BK.1.17.1.,anonymous,,You are taken to the Login page: https://testdoaj.cottagelabs.com/account/login
BK.1.18.,anonymous,Click the DOAJ logo top left,
BK.1.18.1.,anonymous,,You are taken to the homepage
