Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Administrative Search: Journals and Articles (Admin),~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,administrative_search/journals_and_articles_admin,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## F.1,----------,## Test Admin Journals and Articles Search Interactions,----------
F.1.1.,admin,Go to the DOAJ admin Journals and Articles search at /admin/admin_site_search,
F.1.1.1.,admin,,"All available records are found, and the first page of results is shown"
F.1.2.,admin,Open and Collapse all the facets on the left,
F.1.2.1.,admin,,The facet opens and closes as expected
F.1.2.2.,admin,,Each facet contains a maximum of 10 values relevant to that field
F.1.3.,admin,Open one of the facets of your choice,
F.1.4.,admin,Select one of the values for that facet,
F.1.4.1.,admin,,"All the results for the selected constraints are found, and the first page is shown"
F.1.4.2.,admin,,The filter applied is shown in the facets on the left and above the search results
F.1.5.,admin,"Go through each sort option in the ""sort by"" pull-down",
F.1.6.,admin,"In each case, click the ""sort by"" button to reverse the direction of sort",
F.1.6.1.,admin,,The current search results are ordered correctly according to the selected sort field and the selected sort direction
F.1.7.,admin,Enter a search term in the search box,
F.1.7.1.,admin,,"All the results for the selected constraints are found, and the first page is shown"
F.1.7.2.,admin,,Your search text ramains in the search box
F.1.8.,admin,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly",
F.1.8.1.,admin,,"If there are search results, the first page is displayed"
F.1.8.2.,admin,,"If there are no search results, suitable ""no results match"" text is displayed"
F.1.9.,admin,"Change the page size, using the page-size pull-down",
F.1.9.1.,admin,,The size of the page of results displays increases appropriately
F.1.10.,admin,"Click the ""Next"" button to go to the next page of results",
F.1.10.1.,admin,,The next page of results is displayed
F.1.10.2.,admin,,"The ""First"" and ""Prev"" buttons are activated"
F.1.11.,admin,"Click ""Next"" again",
F.1.12.,admin,"Click ""Prev""",
F.1.12.1.,admin,,You are navigated one page forward and then one page back in the results
F.1.13.,admin,"Click ""First""",
F.1.13.1.,admin,,You are taken to the first page of the results
F.1.14.,admin,Click the black X button to clear all filters,
F.1.14.1.,admin,,The interface returns to the initial state as per 1.1.1
----------,----------,----------,----------

----------,----------,----------,----------
## F.2,----------,## Test Admin Articles Search Display,----------
F.2.1.,admin,Go to the DOAJ admin Journals and Articles search at /admin/admin_site_search,
F.2.2.,admin,"Open the ""Journals vs Articles"" facet and select ""Articles""",
F.2.2.1.,admin,,Only articles are visible in the search results
F.2.3.,admin,Find an article that has a DOI and click on it,
F.2.3.1.,admin,,You are linked through the DOI to the journal page
F.2.4.,admin,Find an article that author has an ORCID iD and click on it,
F.2.4.1.,admin,,You are linked through the logo to the relevant orcid.org profile website
F.2.5.,admin,"Click ""back"" in your browser",
F.2.6.,admin,Find an article that has a Full text link,
F.2.7.,admin,Click on the Full text,
F.2.7.1.,admin,,You are taken to the publisher's copy of the full text
F.2.8.,admin,"Click ""back"" in your browser",
F.2.9.,admin,"Click ""(show/hide)"" by an Abstract",
F.2.9.1.,admin,,The abstract is displayed
F.2.10.,admin,"Click ""(""show/hide)"" again",
F.2.10.1.,admin,,The abstract is hidden
F.2.11.,admin,"Click ""Delete this article"" at the bottom of a search result",
F.2.11.1.,admin,,A confirmation box appears
F.2.12.,admin,"Click ""Cancel""",
F.2.12.1.,admin,,"The operation is cancelled, the article is not deleted"
F.2.13.,admin,"Click ""Delete this article"" at the bottom of a search result",
F.2.14.,admin,"Click ""OK""",
F.2.14.1.,admin,,A confirmation box appears saying the operation was successful
F.2.14.2.,admin,,The article disappears from the search results
----------,----------,----------,----------

----------,----------,----------,----------
## F.3,----------,## Test Admin Journals Search Display,----------
F.3.1.,admin,Go to the DOAJ admin Journals and Articles search at /admin/admin_site_search,
F.3.2.,admin,"Open the ""Journals vs Articles"" facet and select ""Journals""",
F.3.2.1.,admin,,Only journals are visible in the search results
F.3.3.,admin,"Open the In DOAJ facet, and select ""False""",
F.3.3.1.,admin,,None of the journal titles in the search results are links
F.3.3.2.,admin,,"""In DOAJ: No"" metadata is present"
F.3.4.,admin,"Clear the ""In DOAJ?"" filter",
F.3.5.,admin,"Select ""True"" from that facet",
F.3.5.1.,admin,,All the journal titles in the search results are links
F.3.5.2.,admin,,"""In DOAJ: Yes"" metadata is present"
F.3.6.,admin,Click on the journal title,
F.3.6.1.,admin,,You are taken to the DOAJ ToC page for this journal
F.3.7.,admin,Click back (twice) in your browser window to go back to the search results,
F.3.8.,admin,"Click on the ""journal"" URL for a journal result",
F.3.8.1.,admin,,You are taken to the Journal's home page
F.3.9.,admin,Click back in your browser to go back to the search results,
F.3.10.,admin,Click on a APC URL,
F.3.10.1.,admin,,You are taken to the relevant page on a journal's website
F.3.11.,admin,Click back in your browser to go back to the search results,
F.3.12.,admin,"Click ""Edit this journal""",
F.3.12.1.,admin,,A new browser window opens containing the edit form for the journal
F.3.13.,admin,"Click ""Unlock and Close""",
----------,----------,----------,----------

