Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Marketing Consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/marketing_consent,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CD.1,----------,## View Unset Marketing Preferences,----------
CD.1.1.,any,"Go to the ""Accounts"" page",
CD.1.1.1.,any,,marketing consent text and radio button options should be visiblle with no marketing consent option selected (this is just the first time before an option has been chosen)
----------,----------,----------,----------

----------,----------,----------,----------
## CD.2,----------,## Accept Marketing,----------
CD.2.1.,any,"Go to the ""Accounts"" page",
CD.2.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CD.2.2.,any,"select ""I consent...""",
CD.2.3.,any,"Click ""Save Settings""",
CD.2.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CD.2.3.2.,any,,"""I consent"" is selected"
----------,----------,----------,----------

----------,----------,----------,----------
## CD.3,----------,## Decline Marketing,----------
CD.3.1.,any,"Go to the ""Accounts"" page",
CD.3.1.1.,any,,"marketing consent text and radio button options should be visiblle with the previous option selected, if set"
CD.3.2.,any,"Select ""I do not consent""",
CD.3.3.,any,"Click ""Save Settings""",
CD.3.3.1.,any,,"Page reloads, flash message says ""Record Updated"""
CD.3.3.2.,any,,"""I do not consent"" is selected"
----------,----------,----------,----------

